name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arsenal,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,6.0,6.0
Aston Villa,16.0,11.0,6.0,6.0,6.0,9.0,16.0,15.0,15.0,17.0,20.0,,
Birmingham,18.0,,19.0,,9.0,18.0,,,,,,,
Blackburn,6.0,10.0,7.0,15.0,10.0,15.0,19.0,,,,,,
Blackpool,,,,,,19.0,,,,,,,
Bolton,8.0,7.0,16.0,13.0,14.0,14.0,18.0,,,,,,
Bournemouth,,,,,,,,,,,16.0,12.0,12.0
Bradford,,,,,,,,,,,,,
Brighton & Hove Albion,,,,,,,,,,,,15.0,15.0
Burnley,,,,,18.0,18.0,,,,19.0,,7.0,7.0
Cardiff,,,,,,,,,20.0,,,,
Charlton,13.0,19.0,,,,,,,,,,,
Chelsea,1.0,2.0,2.0,3.0,1.0,2.0,6.0,3.0,3.0,1.0,10.0,5.0,5.0
Coventry,,,,,,,,,,,,,
Crystal Palace,18.0,,,,,,,,11.0,10.0,15.0,11.0,11.0
Derby,,,20.0,,,,,,,,,,
Everton,11.0,6.0,5.0,5.0,8.0,7.0,7.0,6.0,5.0,11.0,11.0,8.0,8.0
Fulham,12.0,,17.0,7.0,12.0,8.0,9.0,12.0,19.0,,,,
Huddersfield Town,,,,,,,,,,,,16.0,16.0
Hull,,,,17.0,17.0,,,16.0,16.0,18.0,,,
Ipswich,,,,,,,,,,,,,
Leeds,,,,,,,,,,,,,
Leicester,,,,,18.0,,,,14.0,1.0,,9.0,9.0
Liverpool,3.0,3.0,4.0,2.0,7.0,6.0,8.0,7.0,2.0,2.0,8.0,4.0,4.0
Man City,15.0,14.0,9.0,10.0,5.0,3.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0
Man United,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0
Middlesbrough,14.0,12.0,13.0,19.0,,,,,,,,,
Newcastle,7.0,13.0,12.0,18.0,,12.0,5.0,16.0,10.0,15.0,18.0,10.0,10.0
Norwich,,,,,,,12.0,12.0,18.0,,19.0,,
Portsmouth,17.0,9.0,8.0,14.0,20.0,,,,,,,,
QPR,,,,,,17.0,17.0,20.0,,,,,
Reading,8.0,8.0,18.0,,,,19.0,,,20.0,,,
Sheffield United,,18.0,,,,,20.0,,,,,,
Southampton,,,,,,,,14.0,8.0,7.0,6.0,17.0,17.0
Stoke,,,,12.0,11.0,13.0,14.0,13.0,14.0,9.0,9.0,19.0,18.0
Sunderland,20.0,,,20.0,13.0,10.0,13.0,17.0,9.0,8.0,12.0,18.0,18.0
Swansea,,,,,,11.0,11.0,9.0,6.0,12.0,3.0,3.0,3.0
Tottenham,5.0,5.0,11.0,8.0,4.0,5.0,4.0,5.0,20.0,5.0,13.0,14.0,14.0
Watford,20.0,20.0,20.0,,,20.0,20.0,,,13.0,,,
West Brom,19.0,17.0,,,20.0,11.0,11.0,10.0,13.0,,14.0,20.0,20.0
West Ham,9.0,15.0,10.0,9.0,17.0,20.0,20.0,,,12.0,7.0,13.0,13.0
Wigan,10.0,,14.0,11.0,16.0,16.0,17.0,,,20.0,,,
Wolves,,,,,,,,,,,,,
