age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
37,Retired,"Nov 10, 1969",,,122,"Mar 1, 2011",€5.70m,Jens Lehmann,['Germany'],Arsenal-FC,Goalkeeper,2006-2007,,
30,Retired,"May 19, 1977",right,"1,91m",16621,"Jul 14, 2004",€1.50m,Manuel Almunia,['Spain'],Arsenal-FC,Goalkeeper,2006-2007,Celta de Vigo,
35,Retired,"Feb 3, 1972",left,"1,95m",3715,"Aug 31, 2005",€1.00m,Mart Poom,['Estonia'],Arsenal-FC,Goalkeeper,2006-2007,Sunderland AFC,
19,LOSC Lille,"Mar 2, 1988",right,"1,88m",33781,"Jul 4, 2005",€600k,Vito Mannone,['Italy'],Arsenal-FC,Goalkeeper,2006-2007,Atalanta Primavera,
26,Retired,"Mar 19, 1981",right,"1,78m",3202,"Feb 14, 2002",€19.50m,Kolo Touré,"[""Cote d'Ivoire"", 'England']",Arsenal-FC,Centre-Back,2006-2007,ASEC Mimosas,
29,Retired,"Aug 17, 1977",right,"1,82m",3156,"Aug 31, 2006",€17.50m,William Gallas,"['France', 'Guadeloupe']",Arsenal-FC,Centre-Back,2006-2007,Chelsea FC,
22,Retired,"Feb 14, 1985",right,"1,89m",4277,"Jul 1, 2003",€9.70m,Philippe Senderos,"['Switzerland', 'Spain']",Arsenal-FC,Centre-Back,2006-2007,: Ablöse €3.55m,
20,Retired,"Jan 18, 1987",,,34561,"Jul 1, 2004",€3.60m,Johan Djourou,"['Switzerland', ""Cote d'Ivoire""]",Arsenal-FC,Centre-Back,2006-2007,Arsenal FC U18,
33,Retired,"Apr 29, 1974",left,"1,92m",3193,"Jul 1, 2002",€1.40m,Pascal Cygan,"['France', 'Poland']",Arsenal-FC,Centre-Back,2006-2007,: Ablöse €3.83m,
20,Retired,"Feb 9, 1987",right,"1,88m",44797,"Jul 1, 2006",€250k,Joe O'Cearuill,"['Ireland', 'England']",Arsenal-FC,Centre-Back,2006-2007,Watford FC U18,
19,Retired,"Sep 24, 1987",right,"1,88m",34559,,€50k,Matthew Connolly,['England'],Arsenal-FC,Centre-Back,2006-2007,,
21,Retired,"Jul 26, 1985",left,"1,76m",7449,"Aug 4, 2003",€5.80m,Gaël Clichy,"['France', 'Martinique']",Arsenal-FC,Left-Back,2006-2007,: Ablöse €375k,
17,Retired,"Oct 8, 1989",left,"1,84m",33783,"Jul 1, 2007",€650k,Armand Traoré,"['Senegal', 'France']",Arsenal-FC,Left-Back,2006-2007,Arsenal FC U18,
17,Retired,"Sep 26, 1989",left,"1,81m",44792,"Jul 1, 2007",,Kieran Gibbs,['England'],Arsenal-FC,Left-Back,2006-2007,Arsenal FC U18,
24,Retired,"Jun 4, 1983",right,"1,78m",13058,"Jan 7, 2005",€7.75m,Emmanuel Eboué,"[""Cote d'Ivoire"", 'Belgium']",Arsenal-FC,Right-Back,2006-2007,KSK Beveren (- 2010),
30,Retired,"Jan 19, 1977",both,"1,82m",3189,"Jul 1, 2000",€6.00m,Laurén,"['Cameroon', 'Equatorial Guinea']",Arsenal-FC,Right-Back,2006-2007,RCD Mallorca,
