age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
36,Retired,"Sep 4, 1971",right,"1,93m",3723,"Mar 22, 2004",€2.75m,Maik Taylor,"['Northern Ireland', 'Germany']",Birmingham-City,Goalkeeper,2007-2008,Fulham FC,
23,Bradford City,"Jun 12, 1985",right,"1,96m",28728,"Jul 1, 2003",€700k,Colin Doyle,['Ireland'],Birmingham-City,Goalkeeper,2007-2008,Birmingham City U18,
30,Retired,"Jun 13, 1978",right,"1,83m",7125,"Jul 1, 2007",€500k,Richard Kingson,"['Ghana', 'Türkiye']",Birmingham-City,Goalkeeper,2007-2008,: Ablöse free transfer,
21,Dundee FC,"Nov 28, 1986",,"1,90m",43858,"Jul 1, 2015",€100k,Adam Legzdins,"['England', 'Latvia']",Birmingham-City,Goalkeeper,2007-2008,Leyton Orient,
21,Retired,"Jan 18, 1987",,,34561,"Aug 10, 2007",€3.75m,Johan Djourou,"['Switzerland', ""Cote d'Ivoire""]",Birmingham-City,Centre-Back,2007-2008,: Ablöse free transfer,
23,Retired,"Jul 21, 1984",both,"1,88m",4070,"Aug 3, 2007",€3.75m,Liam Ridgewell,['England'],Birmingham-City,Centre-Back,2007-2008,: Ablöse €3.00m,
27,Retired,"Dec 17, 1980",left,"1,82m",5640,"Aug 1, 2007",€3.50m,Rafael,"['Brazil', 'France']",Birmingham-City,Centre-Back,2007-2008,: Ablöse €500k,
32,Retired,"Aug 30, 1975",both,"1,92m",19310,"Jul 1, 2006",€1.75m,Radhi Jaïdi,"['Tunisia', 'England']",Birmingham-City,Centre-Back,2007-2008,: Ablöse €3.25m,
23,Retired,"Feb 26, 1985",left,"1,80m",3930,"Jan 1, 2006",€1.10m,Mat Sadler,['England'],Birmingham-City,Centre-Back,2007-2008,Birmingham City U21,
28,Retired,"Nov 9, 1979",right,"1,95m",3822,"Jan 1, 2004",€1.00m,Martin Taylor,['England'],Birmingham-City,Centre-Back,2007-2008,Blackburn Rovers,
18,Alvechurch FC,"Jan 5, 1990",right,"1,85m",62331,"Jul 1, 2007",€100k,Krystian Pearce,"['Barbados', 'England']",Birmingham-City,Centre-Back,2007-2008,Birmingham City U18,
29,Retired,"Aug 27, 1978",left,"1,83m",3711,"Aug 3, 2007",€3.25m,Franck Queudrue,['France'],Birmingham-City,Left-Back,2007-2008,Fulham FC,
24,Retired,"Mar 1, 1984",left,"1,85m",3868,"Jan 1, 2008",€2.25m,David Murphy,['England'],Birmingham-City,Left-Back,2007-2008,Hibernian FC,
24,Retired,"Sep 6, 1983",right,"1,84m",12125,"Jul 1, 2006",€2.25m,Stephen Kelly,['Ireland'],Birmingham-City,Right-Back,2007-2008,Tottenham Hotspur,
25,Retired,"Jul 19, 1982",right,"1,78m",3866,"Jul 1, 2007",€1.50m,Stuart Parnaby,['England'],Birmingham-City,Right-Back,2007-2008,Middlesbrough FC,
26,Retired,"May 17, 1982",right,"1,78m",15715,"Aug 1, 2007",€3.00m,Borja Oubiña,['Spain'],Birmingham-City,Defensive Midfield,2007-2008,Celta de Vigo,
29,Retired,"Nov 28, 1978",left,"1,79m",7862,"Jul 1, 2005",€2.50m,Mehdi Nafti,"['Tunisia', 'France']",Birmingham-City,Defensive Midfield,2007-2008,Racing Santander,
23,Retired,"Jul 29, 1984",right,"1,81m",58361,"Jul 1, 2007",€1.00m,Wilson Palacios,['Honduras'],Birmingham-City,Defensive Midfield,2007-2008,CD Olimpia,
20,Retired,"Apr 6, 1988",right,"1,88m",35586,"Jul 1, 2007",€4.50m,Fabrice Muamba,"['England', 'DR Congo']",Birmingham-City,Central Midfield,2007-2008,: Ablöse €6.00m,
23,Retired,"Jun 6, 1985",right,"1,78m",31720,"Jan 31, 2007",€4.00m,Sebastian Larsson,['Sweden'],Birmingham-City,Central Midfield,2007-2008,: Ablöse €1.50m,
29,Retired,"Nov 18, 1978",right,"1,73m",3940,"Mar 8, 2002",€1.25m,Damien Johnson,['Northern Ireland'],Birmingham-City,Central Midfield,2007-2008,Blackburn Rovers,
25,Retired,"Nov 23, 1982",right,"1,75m",4108,"Jul 1, 2006",€950k,Neil Danns,"['Guyana', 'England']",Birmingham-City,Central Midfield,2007-2008,Colchester United,
16,Gold Coast Knights,"Dec 2, 1991",right,"1,84m",57207,"Jul 1, 2009",,Jordon Mutch,['England'],Birmingham-City,Central Midfield,2007-2008,Birmingham City U18,
27,Retired,"Sep 27, 1980",left,"1,84m",5438,"Jul 1, 2007",€4.00m,Olivier Kapo,"['France', ""Cote d'Ivoire""]",Birmingham-City,Attacking Midfield,2007-2008,: Ablöse €2.30m,
25,Retired,"Aug 13, 1982",left,"1,73m",25383,"Aug 16, 2006",€4.25m,Gary McSheffrey,['England'],Birmingham-City,Left Winger,2007-2008,Coventry City,
24,Retired,"Mar 6, 1984",right,"1,80m",15894,"Jul 1, 2007",€2.00m,Daniël de Ridder,"['Netherlands', 'Israel']",Birmingham-City,Left Winger,2007-2008,: Ablöse free transfer,
