age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom
36,Retired,"May 18, 1971",right,"1,91m",3476,"Nov 3, 2000",€2.50m,Brad Friedel,"['United States', 'England']",Blackburn-Rovers,Goalkeeper,2006-2007,: Ablöse free transfer
30,Retired,"Mar 10, 1977",right,"1,88m",3719,"Jan 1, 2004",€1.25m,Peter Enckelman,['Finland'],Blackburn-Rovers,Goalkeeper,2006-2007,: Ablöse €215k
25,Retired,"May 18, 1982",,,15916,"Jul 1, 2006",€300k,Jason Brown,['Wales'],Blackburn-Rovers,Goalkeeper,2006-2007,Gillingham FC
29,Retired,"Mar 9, 1978",right,"1,85m",3826,"Sep 7, 2001",€3.60m,Lucas Neill,"['Australia', 'Northern Ireland']",Blackburn-Rovers,Centre-Back,2006-2007,: Ablöse €1.50m
32,Retired,"Sep 7, 1974",right,"1,85m",3210,"Sep 9, 2006",€3.40m,Stéphane Henchoz,"['Switzerland', 'Germany']",Blackburn-Rovers,Centre-Back,2006-2007,Without Club
32,Retired,"Jul 11, 1974",right,"1,87m",4345,"Aug 1, 2006",€3.00m,André Ooijer,['Netherlands'],Blackburn-Rovers,Centre-Back,2006-2007,: Ablöse €3.00m
25,Retired,"Oct 6, 1981",right,"1,86m",9621,"Jul 1, 2006",€2.50m,Zurab Khizanishvili,['Georgia'],Blackburn-Rovers,Centre-Back,2006-2007,: Ablöse €750k
29,Retired,"Oct 18, 1977",right,"1,85m",28878,"Jan 6, 2005",€2.00m,Ryan Nelsen,['New Zealand'],Blackburn-Rovers,Centre-Back,2006-2007,: Ablöse free transfer
32,Retired,"Sep 21, 1974",right,"1,78m",3103,"Jul 1, 2002",€1.80m,Andy Todd,['England'],Blackburn-Rovers,Centre-Back,2006-2007,Charlton Athletic
26,Retired,"Nov 25, 1980",right,"1,85m",4756,"Jan 1, 2005",€1.75m,Aaron Mokoena,['South Africa'],Blackburn-Rovers,Centre-Back,2006-2007,: Ablöse €900k
22,Retired,"Feb 11, 1985",left,"1,86m",3825,"Jul 1, 2002",€750k,Jay McEveley,"['Scotland', 'England']",Blackburn-Rovers,Centre-Back,2006-2007,Blackburn Rovers U18
23,Retired,"Mar 28, 1984",,,29016,"Jan 25, 2007",€500k,Christopher Samba,"['Congo', 'France']",Blackburn-Rovers,Centre-Back,2006-2007,: Ablöse €500k
18,Retired,"Aug 5, 1988",right,"1,83m",47601,"Jul 1, 2006",,Eddie Nolan,['Ireland'],Blackburn-Rovers,Centre-Back,2006-2007,Blackburn Rovers U18
25,Retired,"Dec 12, 1981",left,"1,78m",3308,"Jan 22, 2007",€1.80m,Stephen Warnock,['England'],Blackburn-Rovers,Left-Back,2006-2007,: Ablöse €2.25m
32,Retired,"Aug 3, 1974",left,"1,70m",4128,"Jan 27, 2004",€1.50m,Michael Gray,['England'],Blackburn-Rovers,Left-Back,2006-2007,Sunderland AFC
29,Retired,"Nov 21, 1977",left,"1,85m",1589,"Jan 1, 2007",€450k,Bruno Berner,['Switzerland'],Blackburn-Rovers,Left-Back,2006-2007,: Ablöse €500k
26,Retired,"Mar 10, 1981",right,"1,85m",7330,"Jul 1, 2003",€3.80m,Steven Reid,"['Ireland', 'England']",Blackburn-Rovers,Right-Back,2006-2007,: Ablöse €3.60m
32,Retired,"Oct 18, 1974",both,"1,83m",3797,"Jan 1, 2005",€4.00m,Robbie Savage,['Wales'],Blackburn-Rovers,Defensive Midfield,2006-2007,: Ablöse €4.50m
36,Retired,"Aug 24, 1970",right,"1,76m",3703,"Jul 1, 2001",€1.30m,Tugay Kerimoğlu,['Türkiye'],Blackburn-Rovers,Defensive Midfield,2006-2007,: Ablöse €1.95m
25,Retired,"Sep 8, 1981",left,"1,83m",22741,"Aug 27, 2004",€6.20m,Morten Gamst Pedersen,['Norway'],Blackburn-Rovers,Central Midfield,2006-2007,Tromsø IL
22,Retired,"Sep 8, 1984",right,"1,85m",10501,"Jul 1, 2003",€1.25m,Paul Gallagher,['Scotland'],Blackburn-Rovers,Central Midfield,2006-2007,Blackburn Rovers U18
28,Retired,"Feb 22, 1979",right,"1,85m",4367,"Jul 10, 2003",€4.50m,Brett Emerton,['Australia'],Blackburn-Rovers,Right Midfield,2006-2007,: Ablöse €3.00m
22,Retired,"Aug 27, 1984",right,"1,78m",3205,"Feb 15, 2013",€4.40m,David Bentley,['England'],Blackburn-Rovers,Right Midfield,2006-2007,Tottenham Hotspur
20,Retired,"Oct 12, 1986",,,29341,"Jul 1, 2005",€500k,Sergio Peter,['Germany'],Blackburn-Rovers,Left Midfield,2006-2007,Blackburn Rovers Reserves
27,Retired,"Dec 27, 1979",right,"1,78m",4243,"Jan 17, 2007",€5.50m,David Dunn,['England'],Blackburn-Rovers,Attacking Midfield,2006-2007,: Ablöse €3.20m
29,Retired,"Nov 12, 1977",right,"1,84m",3091,"Jul 1, 2006",€6.00m,Benni McCarthy,['South Africa'],Blackburn-Rovers,Centre-Forward,2006-2007,FC Porto
30,Retired,"Mar 6, 1977",right,"1,82m",3499,"Aug 1, 2006",€4.00m,Shabani Nonda,"['DR Congo', 'France']",Blackburn-Rovers,Centre-Forward,2006-2007,: Ablöse ?
29,Retired,"Jan 25, 1978",right,"1,85m",3666,"Jul 3, 2006",€3.85m,Jason Roberts,"['Grenada', 'England']",Blackburn-Rovers,Centre-Forward,2006-2007,Wigan Athletic
30,Retired,"Nov 10, 1976",right,"1,88m",12398,"Jul 1, 2005",€3.70m,Shefki Kuqi,"['Finland', 'Kosovo']",Blackburn-Rovers,Centre-Forward,2006-2007,Ipswich Town
26,Retired,"Jan 25, 1981",right,"1,78m",3186,"Jul 3, 2006",€2.60m,Francis Jeffers,['England'],Blackburn-Rovers,Centre-Forward,2006-2007,Charlton Athletic
21,Retired,"Apr 14, 1986",right,"1,80m",15175,"Jul 1, 2006",€200k,Matt Derbyshire,['England'],Blackburn-Rovers,Centre-Forward,2006-2007,Blackburn Rovers Reserves
37,Retired,"May 18, 1971",right,"1,91m",3476,"Nov 3, 2000",€3.50m,Brad Friedel,"['United States', 'England']",Blackburn-Rovers,Goalkeeper,2007-2008,: Ablöse free transfer
31,Retired,"Mar 10, 1977",right,"1,88m",3719,"Jan 1, 2004",€900k,Peter Enckelman,['Finland'],Blackburn-Rovers,Goalkeeper,2007-2008,: Ablöse €215k
26,Retired,"May 18, 1982",,,15916,"Jul 1, 2006",€600k,Jason Brown,['Wales'],Blackburn-Rovers,Goalkeeper,2007-2008,Gillingham FC
21,Without Club,"Oct 7, 1986",right,"1,91m",23086,"Jul 2, 2007",€400k,Gunnar Nielsen,['Faroe Islands'],Blackburn-Rovers,Goalkeeper,2007-2008,BK Frem
20,Stoke City,"Apr 4, 1988",right,"1,85m",57070,"Jul 1, 2007",€300k,Frank Fielding,['England'],Blackburn-Rovers,Goalkeeper,2007-2008,Blackburn Rovers U18
24,Retired,"Mar 28, 1984",,,29016,"Jan 25, 2007",€5.00m,Christopher Samba,"['Congo', 'France']",Blackburn-Rovers,Centre-Back,2007-2008,: Ablöse €500k
30,Retired,"Oct 18, 1977",right,"1,85m",28878,"Jan 6, 2005",€3.50m,Ryan Nelsen,['New Zealand'],Blackburn-Rovers,Centre-Back,2007-2008,: Ablöse free transfer
33,Retired,"Jul 11, 1974",right,"1,87m",4345,"Aug 1, 2006",€3.00m,André Ooijer,['Netherlands'],Blackburn-Rovers,Centre-Back,2007-2008,: Ablöse €3.00m
27,Retired,"Nov 25, 1980",right,"1,85m",4756,"Jan 1, 2005",€3.00m,Aaron Mokoena,['South Africa'],Blackburn-Rovers,Centre-Back,2007-2008,: Ablöse €900k
26,Retired,"Oct 6, 1981",right,"1,86m",9621,"Jul 1, 2006",€1.75m,Zurab Khizanishvili,['Georgia'],Blackburn-Rovers,Centre-Back,2007-2008,: Ablöse €750k
33,Retired,"Sep 7, 1974",right,"1,85m",3210,"Sep 9, 2006",€800k,Stéphane Henchoz,"['Switzerland', 'Germany']",Blackburn-Rovers,Centre-Back,2007-2008,Without Club
20,Balcatta FC,"Mar 10, 1988",right,"1,87m",67715,"Jul 1, 2007",€150k,Rostyn Griffiths,"['Australia', 'England']",Blackburn-Rovers,Centre-Back,2007-2008,Blackburn Rovers U18
19,Retired,"Aug 5, 1988",right,"1,83m",47601,"Jul 1, 2006",€100k,Eddie Nolan,['Ireland'],Blackburn-Rovers,Centre-Back,2007-2008,Blackburn Rovers U18
18,Retired,"Aug 20, 1989",right,"1,75m",71282,,€50k,Dean Winnard,['England'],Blackburn-Rovers,Centre-Back,2007-2008,
26,Retired,"Dec 12, 1981",left,"1,78m",3308,"Jan 22, 2007",€4.00m,Stephen Warnock,['England'],Blackburn-Rovers,Left-Back,2007-2008,: Ablöse €2.25m
30,Retired,"Nov 21, 1977",left,"1,85m",1589,"Jan 1, 2007",€500k,Bruno Berner,['Switzerland'],Blackburn-Rovers,Left-Back,2007-2008,: Ablöse €500k
20,Malmö FF,"May 17, 1988",left,"1,78m",38073,"Jul 1, 2007",€300k,Martin Olsson,['Sweden'],Blackburn-Rovers,Left-Back,2007-2008,Blackburn Rovers U18
27,Retired,"Mar 10, 1981",right,"1,85m",7330,"Jul 1, 2003",€3.50m,Steven Reid,"['Ireland', 'England']",Blackburn-Rovers,Right-Back,2007-2008,: Ablöse €3.60m
20,Retired,"Aug 29, 1987",both,"1,83m",46762,"Jul 1, 2006",€300k,Tony Kane,['Northern Ireland'],Blackburn-Rovers,Right-Back,2007-2008,Blackburn Rovers U18
