age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
29.0,Retired,"Jun 4, 1982",right,"1,85m",48254,"Jul 1, 2008",€1.00m,Matt Gilks,"['Scotland', 'England']",Blackpool-FC,Goalkeeper,2010-2011,: Ablöse free transfer,
33.0,Retired,"Jun 13, 1978",right,"1,83m",7125,"Sep 1, 2010",€1.00m,Richard Kingson,"['Ghana', 'Türkiye']",Blackpool-FC,Goalkeeper,2010-2011,Wigan Athletic,
30.0,Retired,"May 21, 1981",right,"1,85m",4098,"Jul 1, 2007",€500k,Paul Rachubka,"['England', 'United States']",Blackpool-FC,Goalkeeper,2010-2011,: Ablöse free transfer,
20.0,Widnes FC,"Sep 17, 1990",right,"1,90m",99972,"Jul 1, 2009",€50k,Mark Halstead,['England'],Blackpool-FC,Goalkeeper,2010-2011,Blackpool FC U18,
18.0,Retired,"Oct 25, 1992",,"1,93m",177953,"Jul 1, 2011",,Chris Kettings,['Scotland'],Blackpool-FC,Goalkeeper,2010-2011,Blackpool FC U18,
,Unknown,,,,162610,,,Josh Roberts,['England'],Blackpool-FC,Defender,2010-2011,,
29.0,Retired,"Nov 19, 1981",right,"1,91m",37127,"Jul 1, 2006",€2.50m,Ian Evatt,['England'],Blackpool-FC,Centre-Back,2010-2011,: Ablöse free transfer,
22.0,Retired,"Feb 6, 1989",right,"1,89m",59606,"Aug 11, 2010",€2.00m,Craig Cathcart,['Northern Ireland'],Blackpool-FC,Centre-Back,2010-2011,Manchester United Reserves,
22.0,Retired,"Jul 20, 1988",right,"1,90m",52495,"Aug 13, 2010",€1.00m,Chris Basham,['England'],Blackpool-FC,Centre-Back,2010-2011,: Ablöse €1.40m,
28.0,Retired,"Dec 25, 1982",right,"1,85m",4068,"Jul 1, 2008",€1.00m,Rob Edwards,['Wales'],Blackpool-FC,Centre-Back,2010-2011,Wolverhampton Wanderers,
26.0,Los Angeles Force,"Sep 15, 1984",left,"1,85m",24476,"Jul 29, 2010",€1.00m,Dekel Keinan,['Israel'],Blackpool-FC,Centre-Back,2010-2011,: Ablöse free transfer,
25.0,Without Club,"Jan 31, 1986",right,"1,80m",16660,"Jul 1, 2008",€500k,Alex Baptiste,['England'],Blackpool-FC,Centre-Back,2010-2011,Mansfield Town,
20.0,Without Club,"Mar 22, 1991",right,"1,91m",118265,"Jul 1, 2009",€25k,Ashley Eastham,['England'],Blackpool-FC,Centre-Back,2010-2011,Blackpool FC U18,
18.0,Without Club,"Oct 4, 1992",,"1,91m",150673,,,Biko Bradnock-Brennan,"['Ireland', 'England']",Blackpool-FC,Centre-Back,2010-2011,,
30.0,Retired,"Jun 22, 1981",left,"1,75m",9499,"Jul 10, 2007",€1.50m,Stephen Crainey,['Scotland'],Blackpool-FC,Left-Back,2010-2011,Leeds United,
25.0,Without Club,"Aug 21, 1985",left,"1,78m",22352,"Jan 24, 2011",€200k,Salaheddine Sbaï,"['Morocco', 'Belgium']",Blackpool-FC,Left-Back,2010-2011,: Ablöse free transfer,
18.0,Bamber Bridge FC,"May 14, 1993",left,"1,87m",160851,"Jul 1, 2011",,Adam Dodd,['England'],Blackpool-FC,Left-Back,2010-2011,Blackpool FC U18,
22.0,Retired,"Nov 6, 1988",right,"1,80m",49428,"Aug 7, 2009",€1.00m,Neal Eardley,['Wales'],Blackpool-FC,Right-Back,2010-2011,: Ablöse €425k,
29.0,Retired,"Oct 3, 1981",right,"1,80m",37898,"Jul 1, 1998",€250k,Danny Coid,['England'],Blackpool-FC,Right-Back,2010-2011,Blackpool FC U18,
28.0,Retired,"Feb 18, 1983",left,"1,71m",14178,"Aug 4, 2008",€2.00m,David Vaughan,['Wales'],Blackpool-FC,Defensive Midfield,2010-2011,Real Sociedad,
22.0,Retired,"Aug 25, 1988",right,"1,80m",40875,"Aug 11, 2010",€500k,Malaury Martin,['France'],Blackpool-FC,Defensive Midfield,2010-2011,: Ablöse free transfer,
,Retired,,,,171414,,,Pa Modou Jobe,"['Belgium', 'The Gambia']",Blackpool-FC,Midfielder,2010-2011,,
25.0,Retired,"Dec 10, 1985",left,"1,85m",28990,"Aug 4, 2009",€4.50m,Charlie Adam,['Scotland'],Blackpool-FC,Central Midfield,2010-2011,: Ablöse €590k,
27.0,Retired,"Feb 5, 1984",right,"1,82m",43248,"Aug 1, 2010",€1.50m,Ludovic Sylvestre,"['France', 'Guadeloupe']",Blackpool-FC,Central Midfield,2010-2011,FK Mlada Boleslav,
30.0,Retired,"Apr 24, 1981",right,"1,78m",44986,"Jul 1, 2002",€1.00m,Keith Southern,['England'],Blackpool-FC,Central Midfield,2010-2011,Everton FC Reserves,
25.0,Kissos Kissonergas,"Jun 18, 1986",left,"1,73m",47995,"Jan 31, 2011",€450k,Jason Puncheon,"['England', 'Jamaica']",Blackpool-FC,Central Midfield,2010-2011,: Ablöse free transfer,
20.0,Retired,"Oct 29, 1990",right,"1,80m",60932,"Feb 1, 2010",€250k,Stephen Husband,['Scotland'],Blackpool-FC,Central Midfield,2010-2011,Heart of Midlothian FC,
18.0,Without Club,"Oct 21, 1992",right,"1,80m",174214,"Jul 1, 2011",,Liam Tomsett,['England'],Blackpool-FC,Central Midfield,2010-2011,Blackpool FC U18,
18.0,Bethnal Green United FC,"Oct 28, 1992",right,,140916,,,Kingsley Francis-Reynolds,['England'],Blackpool-FC,Right Midfield,2010-2011,,
