age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
29,Retired,"Mar 5, 1985",right,"1,87m",9500,"Jul 1, 2009",€2.50m,David Marshall,['Scotland'],Cardiff-City,Goalkeeper,2013-2014,: Ablöse €550k,
26,Retired,"Oct 6, 1987",right,"1,98m",25834,"Jul 1, 2012",€500k,Joe Lewis,['England'],Cardiff-City,Goalkeeper,2013-2014,Peterborough United,
24,Sunderland AFC,"May 19, 1990",right,"1,91m",123536,"Jul 29, 2013",€250k,Simon Moore,['England'],Cardiff-City,Goalkeeper,2013-2014,: Ablöse €175k,
26,CA Boca Juniors,"Aug 3, 1987",right,"1,71m",60889,"Aug 11, 2013",€11.00m,Gary Medel,"['Chile', 'Spain']",Cardiff-City,Centre-Back,2013-2014,Sevilla FC,
22,Ankara Keciörengücü,"Dec 29, 1991",right,"1,91m",121280,"Jul 31, 2013",€7.50m,Steven Caulker,"['Sierra Leone', 'England']",Cardiff-City,Centre-Back,2013-2014,Tottenham Hotspur,
24,GNK Dinamo Zagreb,"Oct 28, 1989",right,"1,83m",60603,"Aug 31, 2013",€3.50m,Kévin Théophile-Catherine,"['Martinique', 'France']",Cardiff-City,Centre-Back,2013-2014,Stade Rennais FC,
25,Retired,"Aug 21, 1988",left,"1,93m",39518,"Aug 31, 2011",€2.00m,Ben Turner,"['England', 'Wales']",Cardiff-City,Centre-Back,2013-2014,Coventry City,
26,Retired,"Sep 24, 1987",right,"1,88m",34559,"Aug 22, 2012",€1.00m,Matthew Connolly,['England'],Cardiff-City,Centre-Back,2013-2014,: Ablöse €635k,
24,Retired,"Nov 26, 1989",right,"1,86m",67089,"Feb 1, 2014",€1.00m,Juan Cala,['Spain'],Cardiff-City,Centre-Back,2013-2014,Sevilla FC,
32,Retired,"Mar 30, 1982",right,"1,87m",3640,"Jul 2, 2009",€500k,Mark Hudson,['England'],Cardiff-City,Centre-Back,2013-2014,Charlton Athletic,
