age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
21,Manchester City,"Sep 3, 1985",right,"1,88m",14555,"Aug 16, 2006",€2.50m,Scott Carson,['England'],Charlton-Athletic,Goalkeeper,2006-2007,: Ablöse free transfer,
33,Retired,"Oct 16, 1973",left,"1,88m",3566,"Jul 1, 2005",€1.40m,Thomas Myhre,['Norway'],Charlton-Athletic,Goalkeeper,2006-2007,Sunderland AFC,
25,Vaerebro BK,"Nov 26, 1981",right,"1,88m",17880,"Jul 1, 2004",€1.00m,Stephan Andersen,['Denmark'],Charlton-Athletic,Goalkeeper,2006-2007,Akademisk Boldklub,
20,Retired,"May 12, 1987",right,"1,87m",51321,"Jul 1, 2005",€150k,Darren Randolph,"['Ireland', 'United States']",Charlton-Athletic,Goalkeeper,2006-2007,Charlton Athletic U18,
21,Retired,"Apr 30, 1986",left,"1,90m",39037,"Jul 1, 2004",€75k,Rob Elliot,"['Ireland', 'England']",Charlton-Athletic,Goalkeeper,2006-2007,Charlton Athletic U18,
28,Retired,"Dec 24, 1978",right,"1,87m",12503,"Aug 30, 2006",€3.30m,Souleymane Diawara,"['Senegal', 'France']",Charlton-Athletic,Centre-Back,2006-2007,: Ablöse €5.40m,
27,Retired,"Mar 1, 1980",left,"1,91m",3598,"Aug 8, 2006",€3.20m,Djimi Traoré,"['Mali', 'France']",Charlton-Athletic,Centre-Back,2006-2007,: Ablöse €2.80m,
30,Retired,"Jul 8, 1976",right,"1,86m",4130,"Jul 1, 2004",€2.20m,Talal El Karkouri,"['Morocco', 'France']",Charlton-Athletic,Centre-Back,2006-2007,: Ablöse €1.50m,
27,Retired,"Oct 9, 1979",left,"1,90m",13488,"Jul 14, 2005",€2.00m,Gonzalo Sorondo,"['Uruguay', 'Brazil']",Charlton-Athletic,Centre-Back,2006-2007,: Ablöse free transfer,
27,Retired,"Jan 14, 1980",,,1186,"Jul 1, 2006",€1.60m,Cory Gibbs,"['United States', 'Jamaica']",Charlton-Athletic,Centre-Back,2006-2007,: Ablöse free transfer,
26,Retired,"Aug 23, 1980",right,"1,88m",4103,"Aug 31, 2010",€1.00m,Jonathan Fortune,['England'],Charlton-Athletic,Centre-Back,2006-2007,Sheffield United,
24,Retired,"Oct 7, 1982",right,"1,90m",38074,"Jan 28, 2007",€900k,Madjid Bougherra,"['Algeria', 'France']",Charlton-Athletic,Centre-Back,2006-2007,: Ablöse €3.79m,
32,Retired,"Jul 11, 1974",left,"1,85m",3860,"Mar 27, 2003",€3.00m,Hermann Hreidarsson,['Iceland'],Charlton-Athletic,Left-Back,2006-2007,Ipswich Town,
31,Retired,"Nov 30, 1975",left,"1,78m",3304,"Jan 1, 2007",€2.30m,Ben Thatcher,"['Wales', 'England']",Charlton-Athletic,Left-Back,2006-2007,: Ablöse €750k,
20,Without Club,"Jan 30, 1987",left,"1,75m",34065,"Jul 1, 2005",,Nathan Ashton,['England'],Charlton-Athletic,Left-Back,2006-2007,Charlton Athletic U18,
27,Retired,"Jul 19, 1979",right,"1,83m",3271,"Jul 1, 2001",€4.50m,Luke Young,['England'],Charlton-Athletic,Right-Back,2006-2007,: Ablöse €6.00m,
22,Retired,"Mar 19, 1985",right,"1,83m",4105,"Jul 1, 2005",€300k,Osei Sankofa,"['England', 'Jamaica']",Charlton-Athletic,Right-Back,2006-2007,Charlton Athletic U21,
19,Retired,"Sep 9, 1987",right,"1,85m",27394,"Jan 30, 2007",€2.90m,Alex Song,"['Cameroon', 'France']",Charlton-Athletic,Defensive Midfield,2006-2007,: Ablöse €275k,
30,Retired,"Mar 12, 1977",right,"1,84m",5428,"Aug 1, 2006",€2.40m,Amdy Faye,"['Senegal', 'France']",Charlton-Athletic,Defensive Midfield,2006-2007,Newcastle United,
32,Retired,"Jul 30, 1974",right,"1,80m",3001,"Jul 1, 2000",€2.10m,Radostin Kishishev,['Bulgaria'],Charlton-Athletic,Defensive Midfield,2006-2007,: Ablöse €4.50m,
26,Retired,"Aug 20, 1980",right,"1,80m",21556,"Aug 9, 2007",€1.20m,Zhi Zheng,['China'],Charlton-Athletic,Defensive Midfield,2006-2007,Shandong Luneng Taishan,
19,Unknown,"Nov 28, 1987",,,254544,"Jun 1, 2006",,Alistair John,['England'],Charlton-Athletic,Midfielder,2006-2007,Unknown,
33,Retired,"Apr 11, 1974",right,"1,75m",3102,"Jul 1, 2003",€3.10m,Matt Holland,"['Ireland', 'England']",Charlton-Athletic,Central Midfield,2006-2007,Ipswich Town,
19,Retired,"Sep 13, 1987",right,"1,85m",24797,"Jul 7, 2006",€525k,Simon Walton,['England'],Charlton-Athletic,Central Midfield,2006-2007,Leeds United,
27,Retired,"Feb 28, 1980",right,"1,83m",44450,"Aug 1, 2006",€400k,Omar Pouso,['Uruguay'],Charlton-Athletic,Central Midfield,2006-2007,CA Peñarol,
23,Retired,"Feb 29, 1984",right,"1,83m",4086,"Jul 8, 2005",€2.00m,Darren Ambrose,['England'],Charlton-Athletic,Right Midfield,2006-2007,Newcastle United,
19,Retired,"Feb 25, 1988",,,15961,"Aug 31, 2005",€70k,Rúrik Gíslason,['Iceland'],Charlton-Athletic,Right Midfield,2006-2007,HK Kópavogs,
24,Retired,"Jul 29, 1982",left,"1,70m",10008,"Jul 1, 2006",€4.75m,Andy Reid,['Ireland'],Charlton-Athletic,Left Midfield,2006-2007,Tottenham Hotspur,Groin injury - Return unknown
31,Retired,"Jun 19, 1976",right,"1,78m",3939,"Jul 1, 2004",€1.80m,Bryan Hughes,['England'],Charlton-Athletic,Attacking Midfield,2006-2007,: Ablöse free transfer,
24,Retired,"Mar 23, 1983",left,"1,77m",3560,"Feb 2, 2004",€750k,Jerome Thomas,"['England', 'Guyana']",Charlton-Athletic,Left Winger,2006-2007,Arsenal FC Reserves,
28,Retired,"Jul 22, 1978",right,"1,79m",4361,"Jul 1, 2004",€3.00m,Dennis Rommedahl,['Denmark'],Charlton-Athletic,Right Winger,2006-2007,: Ablöse €3.50m,
22,Retired,"Sep 27, 1984",right,"1,73m",12131,"Jul 1, 2003",€300k,Lloyd Sam,"['Ghana', 'England']",Charlton-Athletic,Right Winger,2006-2007,Charlton Athletic U18,
23,Retired,"Feb 6, 1984",right,"1,80m",13239,"Jul 1, 2005",€7.50m,Darren Bent,"['England', 'Jamaica']",Charlton-Athletic,Centre-Forward,2006-2007,Ipswich Town,
29,Cornard United FC,"May 19, 1978",right,"1,88m",9958,"Jan 1, 2006",€3.75m,Marcus Bent,"['England', 'Jamaica']",Charlton-Athletic,Centre-Forward,2006-2007,: Ablöse €3.00m,
35,Retired,"Mar 27, 1972",right,"1,78m",3175,"Jul 1, 2006",€3.50m,Jimmy Floyd Hasselbaink,"['Netherlands', 'Suriname']",Charlton-Athletic,Centre-Forward,2006-2007,: Ablöse free transfer,
28,Retired,"Oct 17, 1978",right,"1,78m",4097,"Jul 1, 1996",€2.00m,Kevin Lisbie,"['Jamaica', 'England']",Charlton-Athletic,Centre-Forward,2006-2007,Charlton Athletic U18,
19,Retired,"Nov 25, 1987",right,"1,80m",39038,"Jul 1, 2005",,James Walker,"['Antigua and Barbuda', 'England']",Charlton-Athletic,Centre-Forward,2006-2007,Charlton Athletic U18,
