age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom
27,Retired,"Jun 7, 1981",right,"1,89m",3873,"Aug 29, 2006",€2.00m,Stephen Bywater,['England'],Derby-County,Goalkeeper,2007-2008,: Ablöse €750k
30,Retired,"Sep 30, 1977",right,"1,89m",3534,"Jan 24, 2008",€1.50m,Roy Carroll,['Northern Ireland'],Derby-County,Goalkeeper,2007-2008,: Ablöse free transfer
23,Retired,"Jul 19, 1984",right,"1,91m",13350,"Jul 1, 2007",€500k,Lewis Price,"['Wales', 'England']",Derby-County,Goalkeeper,2007-2008,Ipswich Town
19,Stockport County,"Oct 9, 1988",,"1,85m",49597,"Jul 10, 2007",€100k,Ben Hinchliffe,['England'],Derby-County,Goalkeeper,2007-2008,: Ablöse free transfer
29,Retired,"Mar 6, 1979",right,"1,91m",14006,"Jul 1, 2007",€2.50m,Claude Davis,['Jamaica'],Derby-County,Centre-Back,2007-2008,Sheffield United
23,Retired,"Feb 11, 1985",left,"1,86m",3825,"Jan 1, 2007",€1.25m,Jay McEveley,"['Scotland', 'England']",Derby-County,Centre-Back,2007-2008,Blackburn Rovers
33,Retired,"Sep 21, 1974",right,"1,78m",3103,"Jul 1, 2007",€1.25m,Andy Todd,['England'],Derby-County,Centre-Back,2007-2008,Blackburn Rovers
34,Retired,"Apr 22, 1974",right,"1,88m",3243,"Jan 1, 2006",€1.25m,Darren Moore,"['Jamaica', 'England']",Derby-County,Centre-Back,2007-2008,: Ablöse €400k
24,Retired,"Jun 10, 1984",right,"1,90m",4039,"Jul 1, 2006",€1.00m,Dean Leacock,"['England', 'Barbados']",Derby-County,Centre-Back,2007-2008,Fulham FC
36,Retired,"Oct 6, 1971",,,3472,"Jan 1, 2008",€1.00m,Alan Stubbs,['England'],Derby-County,Centre-Back,2007-2008,: Ablöse free transfer
34,Retired,"Jul 4, 1973",right,"1,80m",3936,"Jul 1, 2003",€800k,Michael Johnson,"['Jamaica', 'England']",Derby-County,Centre-Back,2007-2008,: Ablöse €225k
19,Retired,"Aug 18, 1988",left,"1,88m",37014,"Jul 1, 2005",€500k,Lewin Nyatanga,"['Wales', 'Zimbabwe']",Derby-County,Centre-Back,2007-2008,Derby County U18
27,Retired,"Nov 12, 1980",right,"1,83m",9622,"Jul 1, 2006",€300k,Bob Malcolm,['Scotland'],Derby-County,Centre-Back,2007-2008,: Ablöse free transfer
19,Retired,"Jan 7, 1989",right,"1,89m",39377,"Jul 1, 2007",€100k,Miles Addison,['England'],Derby-County,Centre-Back,2007-2008,Derby County U18
33,Retired,"Jun 25, 1975",left,"1,80m",4236,"Jul 1, 2006",€1.00m,Mohamed Camara,"['Guinea', 'France']",Derby-County,Left-Back,2007-2008,Celtic FC
25,Retired,"Feb 18, 1983",right,"1,81m",14050,"Jan 1, 2007",€1.50m,Tyrone Mears,"['England', 'Sierra Leone']",Derby-County,Right-Back,2007-2008,: Ablöse €1.50m
31,Retired,"May 18, 1977",right,"1,80m",3743,"Jan 1, 2008",€900k,Danny Mills,['England'],Derby-County,Right-Back,2007-2008,: Ablöse free transfer
29,Retired,"Mar 17, 1979",right,"1,73m",3579,"Aug 1, 2007",€800k,Andy Griffin,['England'],Derby-County,Right-Back,2007-2008,: Ablöse free transfer
35,Retired,"Dec 24, 1972",right,"1,80m",4235,"Jul 1, 2005",€450k,Marc Edworthy,['England'],Derby-County,Right-Back,2007-2008,: Ablöse free transfer
19,Retired,"Sep 2, 1988",right,"1,85m",57492,"Jul 1, 2007",€100k,Mitchell Hanson,['England'],Derby-County,Right-Back,2007-2008,Derby County U18
18,Retired,"Jul 12, 1989",right,"1,84m",57487,,€100k,Jason Beardsley,['England'],Derby-County,Right-Back,2007-2008,
33,Retired,"Oct 18, 1974",both,"1,83m",3797,"Jan 1, 2008",€2.25m,Robbie Savage,['Wales'],Derby-County,Defensive Midfield,2007-2008,Blackburn Rovers
30,Retired,"Aug 17, 1977",right,"1,77m",3784,"Jul 1, 2006",€1.00m,Matt Oakley,['England'],Derby-County,Defensive Midfield,2007-2008,Southampton FC
18,Retired,"Dec 1, 1989",,"1,76m",57496,"Jul 1, 2007",€100k,Matthew Richards,['England'],Derby-County,Defensive Midfield,2007-2008,Derby County U18
26,Retired,"Dec 15, 1981",right,"1,83m",7448,"Jan 11, 2008",€2.00m,Hossam Ghaly,['Egypt'],Derby-County,Central Midfield,2007-2008,Tottenham Hotspur
25,Retired,"Oct 2, 1982",left,"1,82m",12673,"Jul 1, 2006",€1.75m,Stephen Pearson,['Scotland'],Derby-County,Central Midfield,2007-2008,Celtic FC
23,Retired,"Nov 4, 1984",left,"1,83m",24634,"Nov 1, 2006",€1.00m,David Jones,"['England', 'Wales']",Derby-County,Central Midfield,2007-2008,Manchester United
23,Retired,"Jan 19, 1985",both,"1,75m",33118,"Jul 1, 2007",€900k,Benny Feilhaber,"['United States', 'Austria']",Derby-County,Central Midfield,2007-2008,: Ablöse €1.50m
29,Retired,"May 27, 1979",both,"1,81m",5656,"Feb 4, 2008",€1.50m,Mile Sterjovski,"['Australia', 'North Macedonia']",Derby-County,Left Midfield,2007-2008,: Ablöse €400k
34,Retired,"May 17, 1974",left,"1,78m",3484,"Aug 1, 2007",€1.25m,Eddie Lewis,['United States'],Derby-County,Left Midfield,2007-2008,Leeds United
33,Retired,"May 21, 1975",both,"1,76m",3316,"Jan 8, 2008",€500k,Laurent Robert,['France'],Derby-County,Left Winger,2007-2008,Without Club
21,Without Club,"Apr 2, 1987",left,"1,75m",13463,"Jul 1, 2003",€300k,Lee Holmes,['England'],Derby-County,Left Winger,2007-2008,Derby County U18
29,Retired,"Jul 21, 1978",,,13543,"Jan 1, 2007",€1.25m,Gary Teale,['Scotland'],Derby-County,Right Winger,2007-2008,Wigan Athletic
28,Retired,"Dec 23, 1979",right,"1,78m",4750,"Aug 1, 2007",€4.75m,Kenny Miller,['Scotland'],Derby-County,Centre-Forward,2007-2008,Celtic FC
27,Retired,"Apr 6, 1981",right,"1,73m",12707,"Jul 1, 2007",€3.50m,Robert Earnshaw,"['Wales', 'Zambia']",Derby-County,Centre-Forward,2007-2008,: Ablöse €5.20m
26,Retired,"Feb 24, 1982",right,"1,80m",54022,"Jan 1, 2008",€3.00m,Emanuel Villa,"['Argentina', 'Mexico']",Derby-County,Centre-Forward,2007-2008,: Ablöse €3.00m
19,Retired,"Aug 5, 1988",right,"1,83m",37236,"Jul 1, 2005",€2.75m,Giles Barnes,"['Jamaica', 'England']",Derby-County,Centre-Forward,2007-2008,Derby County U18
