age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
28,Retired,"Mar 6, 1979",right,"1,91m",4267,"Jul 1, 2007",€4.90m,Tim Howard,"['United States', 'Hungary']",Everton-FC,Goalkeeper,2006-2007,Manchester United,
29,Retired,"Nov 5, 1977",right,"1,90m",3120,"Jul 1, 2002",€1.00m,Richard Wright,['England'],Everton-FC,Goalkeeper,2006-2007,: Ablöse €5.50m,
23,Retired,"Jan 26, 1984",right,"1,93m",3582,"Jul 1, 2003",€150k,Iain Turner,['Scotland'],Everton-FC,Goalkeeper,2006-2007,Stirling Albion FC,
24,Retired,"Aug 16, 1982",left,"1,91m",4241,"Jul 1, 2006",€7.50m,Joleon Lescott,['England'],Everton-FC,Centre-Back,2006-2007,Wolverhampton Wanderers,
26,Retired,"Sep 6, 1980",right,"1,88m",3270,"Jul 1, 2003",€7.00m,Joseph Yobo,"['Nigeria', 'England']",Everton-FC,Centre-Back,2006-2007,: Ablöse €6.00m,
37,Retired,"May 10, 1970",right,"1,91m",3312,"Feb 1, 1999",€1.00m,David Weir,['Scotland'],Everton-FC,Centre-Back,2006-2007,Heart of Midlothian FC,
35,Retired,"Oct 6, 1971",,,3472,"Jan 1, 2006",€1.00m,Alan Stubbs,['England'],Everton-FC,Centre-Back,2006-2007,Sunderland AFC,
20,Clitheroe FC,"Dec 9, 1986",right,"1,90m",38121,,€150k,Mark Hughes,['England'],Everton-FC,Centre-Back,2006-2007,,
32,Retired,"Sep 12, 1974",left,"1,82m",9831,"Jul 1, 2005",€3.50m,Nuno Valente,['Portugal'],Everton-FC,Left-Back,2006-2007,FC Porto,
31,Retired,"Jul 27, 1975",both,"1,80m",3588,"Jul 1, 2000",€1.60m,Alessandro Pistone,['Italy'],Everton-FC,Left-Back,2006-2007,Newcastle United,
28,Retired,"Nov 16, 1978",left,"1,78m",3589,"Oct 1, 2000",€1.40m,Gary Naysmith,['Scotland'],Everton-FC,Left-Back,2006-2007,Heart of Midlothian FC,
20,Gartcairn FA Juniors,"Mar 20, 1987",left,"1,72m",23489,"Jul 1, 2005",€200k,Paddy Boyle,['Scotland'],Everton-FC,Left-Back,2006-2007,: Ablöse -,
30,Retired,"Jan 21, 1977",right,"1,80m",3404,"Jul 1, 2005",€5.00m,Phil Neville,['England'],Everton-FC,Right-Back,2006-2007,Manchester United,
26,Retired,"Feb 20, 1981",right,"1,73m",3614,"Jul 1, 2000",€3.90m,Tony Hibbert,['England'],Everton-FC,Right-Back,2006-2007,: Ablöse -,
33,Retired,"Feb 28, 1974",right,"1,78m",3618,"Jan 1, 2003",€2.80m,Lee Carsley,"['Ireland', 'England']",Everton-FC,Defensive Midfield,2006-2007,Coventry City,
24,Retired,"Aug 28, 1982",both,"1,88m",16122,"Jul 1, 2005",€500k,Anderson Silva,"['Brazil', 'Spain']",Everton-FC,Defensive Midfield,2006-2007,Club Nacional,
25,Retired,"Mar 26, 1982",right,"1,77m",7451,"Jul 1, 2005",€11.00m,Mikel Arteta,['Spain'],Everton-FC,Central Midfield,2006-2007,Real Sociedad,
