age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
35,Retired,"May 31, 1972",right,"1,86m",3101,,"Jan 10, 2006",€5.00m,Antti Niemi,['Finland'],Fulham-FC,Goalkeeper,2006-2007,Southampton FC,
24,MFK Havirov,"Jul 7, 1982",right,"1,89m",28186,,"Aug 1, 2006",€2.40m,Jan Lastuvka,['Czech Republic'],Fulham-FC,Goalkeeper,2006-2007,: Ablöse free transfer,
33,Retired,"May 11, 1974",right,"1,93m",10259,,"Aug 1, 2005",€1.50m,Tony Warner,"['Trinidad and Tobago', 'England']",Fulham-FC,Goalkeeper,2006-2007,: Ablöse free transfer,
20,Casa Pia AC,"Nov 19, 1986",left,"1,92m",24846,,"Jul 1, 2004",€1.00m,Ricardo Batista,"['Angola', 'Portugal']",Fulham-FC,Goalkeeper,2006-2007,Vitória Setúbal FC U19,
38,Retired,"Jun 16, 1969",right,"1,91m",4041,,"Jul 1, 2003",€500k,Mark Crossley,"['Wales', 'England']",Fulham-FC,Goalkeeper,2006-2007,: Ablöse €750k,
27,Retired,"May 2, 1980",right,"1,98m",4012,,"Jul 1, 1999",€3.30m,Zat Knight,['England'],Fulham-FC,Centre-Back,2006-2007,Fulham FC U18,
28,Retired,"May 25, 1979",left,"1,83m",15829,,"Jan 13, 2003",€2.50m,Carlos Bocanegra,"['United States', 'Mexico']",Fulham-FC,Centre-Back,2006-2007,: Ablöse free transfer,
21,Retired,"May 31, 1986",right,"1,86m",41990,,"Jul 11, 2006",€1.50m,Gabriel Zakuani,"['DR Congo', 'England']",Fulham-FC,Centre-Back,2006-2007,Leyton Orient,
33,Retired,"May 7, 1974",right,"1,85m",3879,,"Jan 1, 2004",€1.50m,Ian Pearce,['England'],Fulham-FC,Centre-Back,2006-2007,: Ablöse €1.60m,
28,Retired,"Aug 31, 1978",right,"1,89m",6741,,"Jul 1, 2005",€1.00m,Philippe Christanval,"['France', 'Guadeloupe']",Fulham-FC,Centre-Back,2006-2007,Olympique Marseille,
16,Retired,"Mar 6, 1991",left,"1,83m",51318,,"Jul 1, 2011",€100k,Matthew Briggs,"['Guyana', 'England']",Fulham-FC,Centre-Back,2006-2007,Fulham FC Reserves,
28,Retired,"Aug 27, 1978",left,"1,83m",3711,,"Jul 27, 2006",€4.80m,Franck Queudrue,['France'],Fulham-FC,Left-Back,2006-2007,: Ablöse €4.50m,
32,Retired,"Aug 17, 1974",,,3809,,"Jul 1, 2005",€1.40m,Niclas Jensen,['Denmark'],Fulham-FC,Left-Back,2006-2007,Borussia Dortmund,
20,Dorking Wanderers,"Jan 2, 1987",left,"1,80m",55851,,"Jul 1, 2008",,Rob Milsom,['England'],Fulham-FC,Left-Back,2006-2007,Fulham FC Reserves,
24,Retired,"Jan 21, 1983",,,4048,,"Jan 1, 2004",€3.50m,Moritz Volz,['Germany'],Fulham-FC,Right-Back,2006-2007,: Ablöse €1.00m,
22,Retired,"Jul 9, 1984",right,"1,78m",15166,,"Nov 1, 2003",€1.50m,Liam Rosenior,"['England', 'Sierra Leone']",Fulham-FC,Right-Back,2006-2007,: Ablöse €80k,
18,Without Club,"Dec 15, 1988",right,"1,79m",47844,,"Aug 1, 2006",,Elliot Omozusi,"['England', 'Nigeria']",Fulham-FC,Right-Back,2006-2007,Fulham FC U18,
32,Retired,"May 1, 1975",right,"1,74m",5379,,"Jan 1, 2007",€6.50m,Aleksey Smertin,['Russia'],Fulham-FC,Defensive Midfield,2006-2007,: Ablöse free transfer,
33,Retired,"Jun 10, 1974",right,"1,83m",26831,,"Jan 1, 2006",€800k,Simon Elliott,['New Zealand'],Fulham-FC,Defensive Midfield,2006-2007,: Ablöse free transfer,
29,---,"Jan 28, 1978",right,"1,94m",5485,,"Jul 1, 2004",€5.50m,Papa Bouba Diop,['Senegal'],Fulham-FC,Central Midfield,2006-2007,: Ablöse €9.00m,
28,Retired,"Oct 23, 1978",right,"1,78m",13510,,"Jul 1, 2006",€4.50m,Jimmy Bullard,"['England', 'Germany']",Fulham-FC,Central Midfield,2006-2007,Wigan Athletic,
30,Retired,"Jan 25, 1977",,,13509,,"Jan 1, 2006",€3.00m,Michael Brown,['England'],Fulham-FC,Central Midfield,2006-2007,: Ablöse €2.30m,
22,Dulwich Hamlet,"Mar 19, 1985",left,"1,77m",28951,,"Jul 1, 2004",€125k,Michael Timlin,"['Ireland', 'England']",Fulham-FC,Central Midfield,2006-2007,Fulham FC U18,
21,Without Club,"Mar 31, 1986",right,"1,78m",66531,,,,Matthew Collins,['Wales'],Fulham-FC,Central Midfield,2006-2007,,
27,Retired,"Oct 23, 1979",right,"1,78m",4056,,"Jan 24, 2007",€3.70m,Simon Davies,['Wales'],Fulham-FC,Right Midfield,2006-2007,: Ablöse free transfer,
26,Parramatta Eagles,"May 30, 1981",right,"1,83m",30220,,"Jul 1, 2005",€750k,Ahmad Elrich,['Australia'],Fulham-FC,Right Midfield,2006-2007,Busan I'Park,
29,Retired,"Aug 4, 1977",left,"1,78m",3422,,"Jul 1, 2001",€3.80m,Luís Boa Morte,"['Portugal', 'Sao Tome and Principe']",Fulham-FC,Left Midfield,2006-2007,Southampton FC,
36,Retired,"Nov 29, 1970",,,3615,,"Aug 31, 2003",€1.00m,Mark Pembridge,['Wales'],Fulham-FC,Left Midfield,2006-2007,: Ablöse €750k,
30,Retired,"Apr 29, 1977",right,"1,83m",3099,,"Jul 1, 2004",€4.50m,Claus Jensen,['Denmark'],Fulham-FC,Attacking Midfield,2006-2007,Charlton Athletic,
22,Retired,"Jan 7, 1985",right,"1,70m",14066,,"Aug 31, 2006",€2.80m,Wayne Routledge,"['England', 'Jamaica']",Fulham-FC,Left Winger,2006-2007,Tottenham Hotspur,
24,Retired,"Mar 9, 1983",right,"1,85m",27577,,"Jan 1, 2014",€1.00m,Clint Dempsey,['United States'],Fulham-FC,Second Striker,2006-2007,: Ablöse ?,
33,Retired,"Jun 18, 1974",both,"1,72m",5960,,"Jan 4, 2007",€5.00m,Vincenzo Montella,['Italy'],Fulham-FC,Centre-Forward,2006-2007,: Ablöse ?,
33,Retired,"Dec 14, 1973",left,"1,74m",3585,,"Jul 23, 2004",€3.00m,Tomasz Radzinski,"['Canada', 'Poland']",Fulham-FC,Centre-Forward,2006-2007,: Ablöse €3.00m,
23,Retired,"Mar 1, 1984",,,3454,,"Jul 1, 2006",€2.25m,Björn Runström,['Sweden'],Fulham-FC,Centre-Forward,2006-2007,Hammarby IF,
21,Retired,"Oct 17, 1985",right,"1,85m",4694,,"Jan 1, 2004",€2.25m,Collins John,"['Netherlands', 'Liberia']",Fulham-FC,Centre-Forward,2006-2007,: Ablöse €3.50m,
35,Retired,"Jun 19, 1972",right,"1,83m",3469,,"Jan 20, 2004",€1.50m,Brian McBride,['United States'],Fulham-FC,Centre-Forward,2006-2007,: Ablöse €800k,
