age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
29,FC Midtjylland,"Feb 1, 1989",right,"1,95m",48870,"Jan 31, 2020",€5.00m,Jonas Lössl,['Denmark'],Huddersfield-Town,Goalkeeper,2017-2018,Everton FC,
22,Bolton Wanderers,"Sep 26, 1995",right,"1,98m",285551,"Jul 1, 2016",€500k,Joel Coleman,['England'],Huddersfield-Town,Goalkeeper,2017-2018,: Ablöse ?,
38,Retired,"Jan 18, 1980",right,"1,91m",11680,"Aug 27, 2017",€250k,Rob Green,['England'],Huddersfield-Town,Goalkeeper,2017-2018,Leeds United,
18,Floreat Athena,"Dec 11, 1999",right,"1,90m",495441,"Jul 1, 2019",€100k,Ryan Schofield,['England'],Huddersfield-Town,Goalkeeper,2017-2018,Huddersfield Town U23,
24,NAC Breda,"Feb 14, 1994",left,"1,88m",152651,"Jul 1, 2018",€10.00m,Terence Kongolo,"['Netherlands', 'DR Congo']",Huddersfield-Town,Centre-Back,2017-2018,: Ablöse €20.00m,
28,Without Club,"Apr 29, 1990",right,"1,88m",57842,"Jul 1, 2016",€6.00m,Christopher Schindler,['Germany'],Huddersfield-Town,Centre-Back,2017-2018,TSV 1860 Munich,Hamstring injury - Return unknown
28,RSC Anderlecht,"Apr 23, 1990",right,"1,89m",52059,"Jul 7, 2017",€5.00m,Zanka,['Denmark'],Huddersfield-Town,Centre-Back,2017-2018,: Ablöse €2.70m,
27,Retired,"Sep 1, 1990",right,"1,92m",102382,"Jul 1, 2016",€1.50m,Michael Hefele,['Germany'],Huddersfield-Town,Centre-Back,2017-2018,SG Dynamo Dresden,
31,Retired,"Sep 26, 1986",right,"1,83m",27659,"Jul 22, 2015",€500k,Martin Cranie,"['England', 'Scotland']",Huddersfield-Town,Centre-Back,2017-2018,Barnsley FC,
27,Without Club,"Mar 25, 1991",left,"1,89m",101682,"Jul 5, 2017",€3.00m,Scott Malone,['England'],Huddersfield-Town,Left-Back,2017-2018,Fulham FC,
