age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
26,Retired,"Nov 9, 1982",right,"1,91m",3838,"Jan 1, 2004",€3.30m,Boaz Myhill,"['Wales', 'United States']",Hull-City,Goalkeeper,2008-2009,: Ablöse €75k,
31,Retired,"Jul 16, 1977",right,"1,95m",36885,"Jul 1, 2004",€600k,Matt Duke,['England'],Hull-City,Goalkeeper,2008-2009,Burton Albion,
35,Retired,"May 11, 1974",right,"1,93m",10259,"Jul 1, 2008",€300k,Tony Warner,"['Trinidad and Tobago', 'England']",Hull-City,Goalkeeper,2008-2009,Fulham FC,
25,Retired,"Nov 9, 1983",right,"1,93m",12127,"Jul 6, 2006",€4.00m,Michael Turner,['England'],Hull-City,Centre-Back,2008-2009,: Ablöse €475k,
23,Retired,"Jan 6, 1986",right,"1,83m",24636,"Aug 31, 2009",€3.00m,Paul McShane,['Ireland'],Hull-City,Centre-Back,2008-2009,Sunderland AFC,
24,Retired,"Mar 7, 1985",right,"1,87m",33820,"Jan 23, 2009",€3.00m,Kamil Zayatte,"['Guinea', 'France']",Hull-City,Centre-Back,2008-2009,BSC Young Boys,
31,Retired,"Aug 20, 1977",left,"1,83m",13996,"Jul 1, 2007",€1.00m,Wayne Brown,['England'],Hull-City,Centre-Back,2008-2009,Colchester United,
28,Retired,"Sep 19, 1980",left,"1,96m",4053,"Aug 1, 2008",€800k,Anthony Gardner,"['England', 'Jamaica']",Hull-City,Centre-Back,2008-2009,Tottenham Hotspur,
20,Beverley Town FC,"Jan 18, 1989",right,"1,91m",44378,"Jul 1, 2006",€50k,Matty Plummer,['England'],Hull-City,Centre-Back,2008-2009,Hull City U18,
17,CSKA-Sofia,"Aug 30, 1991",left,"1,86m",75067,"Jul 1, 2009",€50k,Liam Cooper,"['Scotland', 'England']",Hull-City,Centre-Back,2008-2009,Hull City U18,
30,Retired,"Oct 20, 1978",left,"1,75m",36860,"Jul 1, 2003",€2.00m,Andy Dawson,['England'],Hull-City,Left-Back,2008-2009,Scunthorpe United,
27,Retired,"Oct 11, 1981",,,30434,"Jul 1, 2006",€2.70m,Sam Ricketts,"['Wales', 'England']",Hull-City,Right-Back,2008-2009,: Ablöse €450k,
27,Retired,"Aug 20, 1981",right,"1,80m",3707,"Jul 11, 2008",€2.60m,Bernard Mendy,"['France', 'Senegal']",Hull-City,Right-Back,2008-2009,: Ablöse free transfer,
32,Retired,"Sep 6, 1976",right,"1,85m",36857,"Jul 1, 2002",€3.00m,Ian Ashbee,['England'],Hull-City,Defensive Midfield,2008-2009,Cambridge United,
33,Retired,"Sep 5, 1975",right,"1,76m",3358,"Jul 1, 2008",€2.40m,George Boateng,"['Netherlands', 'Ghana']",Hull-City,Defensive Midfield,2008-2009,Middlesbrough FC,
22,Retired,"Jan 12, 1987",right,"1,80m",13452,"Feb 1, 2007",€300k,Nathan Doyle,['England'],Hull-City,Defensive Midfield,2008-2009,: Ablöse €225k,
30,Retired,"Oct 23, 1978",right,"1,78m",13510,"Jan 1, 2009",€5.00m,Jimmy Bullard,"['England', 'Germany']",Hull-City,Central Midfield,2008-2009,Fulham FC,
25,Retired,"Jan 31, 1984",right,"1,83m",4055,"Jul 14, 2006",€3.00m,Dean Marney,['England'],Hull-City,Central Midfield,2008-2009,Tottenham Hotspur,
25,Retired,"Jan 10, 1984",right,"1,70m",3313,"Jul 1, 2005",€250k,John Welsh,['England'],Hull-City,Central Midfield,2008-2009,: Ablöse €2.25m,
20,Hartlepool United,"Sep 22, 1988",right,"1,70m",45607,"Jul 1, 2006",€150k,Nicky Featherstone,['England'],Hull-City,Central Midfield,2008-2009,Hull City U18,
20,Mickleover FC,"Oct 14, 1988",right,"1,78m",61427,"Jul 1, 2006",€50k,Will Atkinson,['England'],Hull-City,Central Midfield,2008-2009,Hull City U18,
32,Retired,"Feb 1, 1977",left,"1,83m",4135,"Jan 15, 2009",€3.00m,Kevin Kilbane,"['Ireland', 'England']",Hull-City,Left Midfield,2008-2009,Wigan Athletic,
29,Király SE,"Sep 25, 1979",left,"1,82m",5001,"Jul 1, 2008",€1.60m,Péter Halmosi,['Hungary'],Hull-City,Left Midfield,2008-2009,Plymouth Argyle,
35,Retired,"Feb 11, 1974",,,3222,"Jul 1, 2004",€600k,Nick Barmby,['England'],Hull-City,Left Midfield,2008-2009,Leeds United,
29,Retired,"Jan 11, 1980",right,"1,70m",7609,"Jul 1, 2008",€4.50m,Geovanni,['Brazil'],Hull-City,Attacking Midfield,2008-2009,: Ablöse free transfer,
33,Retired,"Jun 19, 1976",right,"1,78m",3939,"Jul 1, 2007",€800k,Bryan Hughes,['England'],Hull-City,Attacking Midfield,2008-2009,Charlton Athletic,
34,Retired,"Jul 12, 1974",right,"1,72m",4254,"Jul 1, 2008",€1.75m,Stelios Giannakopoulos,['Greece'],Hull-City,Right Winger,2008-2009,: Ablöse free transfer,
28,Retired,"Dec 13, 1980",right,"1,80m",36864,"Sep 26, 2003",€400k,Ryan France,['England'],Hull-City,Right Winger,2008-2009,Alfreton Town,
27,Retired,"Sep 4, 1981",right,"1,80m",3695,"Jul 1, 2007",€1.80m,Richard García,"['Australia', 'Uruguay']",Hull-City,Second Striker,2008-2009,Colchester United,
29,Retired,"Apr 26, 1980",right,"1,85m",14037,"Aug 1, 2008",€3.50m,Marlon King,"['Jamaica', 'England']",Hull-City,Centre-Forward,2008-2009,Wigan Athletic,
32,Retired,"Feb 7, 1977",,,6261,"Sep 1, 2008",€3.20m,Daniel Cousin,"['Gabon', 'France']",Hull-City,Centre-Forward,2008-2009,: Ablöse €1.90m,
26,Racing Madrid City FC,"Mar 7, 1983",left,"1,90m",64484,"Jan 1, 2009",€2.30m,Manucho,"['Angola', 'Portugal']",Hull-City,Centre-Forward,2008-2009,Manchester United,
26,Retired,"Dec 11, 1982",right,"1,80m",3928,"Mar 7, 2008",€1.80m,Craig Fagan,"['England', 'Jamaica']",Hull-City,Centre-Forward,2008-2009,: Ablöse €1.03m,
26,Retired,"Oct 26, 1982",right,"1,88m",46816,"Aug 1, 2007",€1.30m,Caleb Folan,"['Ireland', 'England']",Hull-City,Centre-Forward,2008-2009,Wigan Athletic,
40,Retired,"Apr 1, 1969",right,"1,78m",3328,"Jan 1, 2007",€600k,Dean Windass,['England'],Hull-City,Centre-Forward,2008-2009,Bradford City,
27,Retired,"Nov 9, 1982",right,"1,91m",3838,"Jan 1, 2004",€3.50m,Boaz Myhill,"['Wales', 'United States']",Hull-City,Goalkeeper,2009-2010,: Ablöse €75k,
32,Retired,"Jul 16, 1977",right,"1,95m",36885,"Jul 1, 2004",€750k,Matt Duke,['England'],Hull-City,Goalkeeper,2009-2010,Burton Albion,
36,Retired,"May 11, 1974",right,"1,93m",10259,"Jul 1, 2008",€250k,Tony Warner,"['Trinidad and Tobago', 'England']",Hull-City,Goalkeeper,2009-2010,Fulham FC,
26,Retired,"Nov 9, 1983",right,"1,93m",12127,"Jul 6, 2006",€5.50m,Michael Turner,['England'],Hull-City,Centre-Back,2009-2010,: Ablöse €475k,
25,Retired,"Mar 7, 1985",right,"1,87m",33820,"Jan 23, 2009",€3.50m,Kamil Zayatte,"['Guinea', 'France']",Hull-City,Centre-Back,2009-2010,BSC Young Boys,
24,Retired,"Jan 6, 1986",right,"1,83m",24636,"Aug 31, 2009",€3.00m,Paul McShane,['Ireland'],Hull-City,Centre-Back,2009-2010,Sunderland AFC,
29,Retired,"Sep 19, 1980",left,"1,96m",4053,"Aug 1, 2008",€2.00m,Anthony Gardner,"['England', 'Jamaica']",Hull-City,Centre-Back,2009-2010,Tottenham Hotspur,
29,Retired,"Jan 22, 1981",right,"1,90m",36813,"Sep 1, 2009",€1.00m,Ibrahima Sonko,"['Senegal', 'France']",Hull-City,Centre-Back,2009-2010,Stoke City,
23,Retired,"Jan 24, 1987",right,"1,90m",58188,"Jul 1, 2009",€1.00m,Steven Mouyokolo,"['France', 'Congo']",Hull-City,Centre-Back,2009-2010,US Boulogne,
18,CSKA-Sofia,"Aug 30, 1991",left,"1,86m",75067,"Jul 1, 2009",€50k,Liam Cooper,"['Scotland', 'England']",Hull-City,Centre-Back,2009-2010,Hull City U18,
31,Retired,"Oct 20, 1978",left,"1,75m",36860,"Jul 1, 2003",€2.50m,Andy Dawson,['England'],Hull-City,Left-Back,2009-2010,Scunthorpe United,
28,Retired,"Aug 20, 1981",right,"1,80m",3707,"Jul 11, 2008",€2.50m,Bernard Mendy,"['France', 'Senegal']",Hull-City,Right-Back,2009-2010,: Ablöse free transfer,
33,Retired,"Sep 6, 1976",right,"1,85m",36857,"Jul 1, 2002",€2.50m,Ian Ashbee,['England'],Hull-City,Defensive Midfield,2009-2010,Cambridge United,
34,Retired,"Sep 5, 1975",right,"1,76m",3358,"Jul 1, 2008",€2.00m,George Boateng,"['Netherlands', 'Ghana']",Hull-City,Defensive Midfield,2009-2010,Middlesbrough FC,
23,Retired,"Jan 12, 1987",right,"1,80m",13452,"Feb 1, 2007",€300k,Nathan Doyle,['England'],Hull-City,Defensive Midfield,2009-2010,: Ablöse €225k,
31,Retired,"Oct 23, 1978",right,"1,78m",13510,"Jan 1, 2009",€4.50m,Jimmy Bullard,"['England', 'Germany']",Hull-City,Central Midfield,2009-2010,Fulham FC,
26,Retired,"Jan 31, 1984",right,"1,83m",4055,"Jul 14, 2006",€3.00m,Dean Marney,['England'],Hull-City,Central Midfield,2009-2010,Tottenham Hotspur,
30,Retired,"Jun 30, 1980",both,"1,93m",18719,"Aug 6, 2009",€3.00m,Seyi Olofinjana,['Nigeria'],Hull-City,Central Midfield,2009-2010,Stoke City,
21,Hartlepool United,"Sep 22, 1988",right,"1,70m",45607,"Jul 1, 2006",€150k,Nicky Featherstone,['England'],Hull-City,Central Midfield,2009-2010,Hull City U18,
21,Mickleover FC,"Oct 14, 1988",right,"1,78m",61427,"Jul 1, 2006",€50k,Will Atkinson,['England'],Hull-City,Central Midfield,2009-2010,Hull City U18,
19,Fulham FC,"Jan 20, 1991",left,"1,85m",123275,"Jul 1, 2009",,Tom Cairney,"['Scotland', 'England']",Hull-City,Central Midfield,2009-2010,Hull City U18,
28,Retired,"Aug 1, 1981",left,"1,74m",36799,"Aug 13, 2009",€5.00m,Stephen Hunt,['Ireland'],Hull-City,Left Midfield,2009-2010,Reading FC,
33,Retired,"Feb 1, 1977",left,"1,83m",4135,"Jan 15, 2009",€2.00m,Kevin Kilbane,"['Ireland', 'England']",Hull-City,Left Midfield,2009-2010,Wigan Athletic,
30,Király SE,"Sep 25, 1979",left,"1,82m",5001,"Jul 1, 2008",€1.00m,Péter Halmosi,['Hungary'],Hull-City,Left Midfield,2009-2010,Plymouth Argyle,
36,Retired,"Feb 11, 1974",,,3222,"Jul 1, 2004",€500k,Nick Barmby,['England'],Hull-City,Left Midfield,2009-2010,Leeds United,
30,Retired,"Jan 11, 1980",right,"1,70m",7609,"Jul 1, 2008",€4.00m,Geovanni,['Brazil'],Hull-City,Attacking Midfield,2009-2010,: Ablöse free transfer,
19,Retired,"Jul 6, 1990",right,"1,78m",85662,"Jul 1, 2008",€100k,Jamie Devitt,['Ireland'],Hull-City,Attacking Midfield,2009-2010,Hull City U18,
28,Retired,"Sep 4, 1981",right,"1,80m",3695,"Jul 1, 2007",€2.00m,Richard García,"['Australia', 'Uruguay']",Hull-City,Second Striker,2009-2010,Colchester United,
26,Retired,"Mar 9, 1984",right,"1,77m",40928,"Aug 13, 2009",€2.00m,Kamel Ghilas,"['Algeria', 'France']",Hull-City,Second Striker,2009-2010,Celta de Vigo,
27,Retired,"Apr 1, 1983",both,"1,86m",38178,"Jan 1, 2010",€4.00m,Amr Zaki,['Egypt'],Hull-City,Centre-Forward,2009-2010,Zamalek SC,
31,Retired,"Nov 7, 1978",right,"1,91m",4362,"Aug 1, 2009",€3.50m,Jan Vennegoor of Hesselink,['Netherlands'],Hull-City,Centre-Forward,2009-2010,Celtic FC,
20,MLS Pool,"Nov 6, 1989",right,"1,85m",39378,"Aug 6, 2009",€3.00m,Jozy Altidore,"['United States', 'Haiti']",Hull-City,Centre-Forward,2009-2010,Villarreal CF,
33,Retired,"Feb 7, 1977",,,6261,"Sep 1, 2008",€2.00m,Daniel Cousin,"['Gabon', 'France']",Hull-City,Centre-Forward,2009-2010,: Ablöse €1.90m,
27,Retired,"Dec 11, 1982",right,"1,80m",3928,"Mar 7, 2008",€2.00m,Craig Fagan,"['England', 'Jamaica']",Hull-City,Centre-Forward,2009-2010,: Ablöse €1.03m,
27,Retired,"Oct 26, 1982",right,"1,88m",46816,"Aug 1, 2007",€1.00m,Caleb Folan,"['Ireland', 'England']",Hull-City,Centre-Forward,2009-2010,Wigan Athletic,
20,Unknown,"Sep 14, 1989",,"1,85m",85671,"Jul 1, 2007",€50k,Ryan Kendall,['England'],Hull-City,Striker,2009-2010,Hull City U18,
18,Bamber Bridge FC,"Apr 21, 1992",right,"1,76m",127802,"Jul 1, 2010",,Mark Cullen,['England'],Hull-City,Centre-Forward,2009-2010,Hull City U18,
32,Retired,"Jan 31, 1982",right,"1,83m",9422,"Jul 2, 2013",€2.00m,Allan McGregor,['Scotland'],Hull-City,Goalkeeper,2013-2014,Besiktas JK,
29,Retired,"Oct 2, 1984",right,"1,91m",2857,"Jul 9, 2012",€500k,Eldin Jakupovic,"['Switzerland', 'Bosnia-Herzegovina']",Hull-City,Goalkeeper,2013-2014,: Ablöse free transfer,
39,Retired,"Mar 14, 1975",right,"1,88m",3562,"Jul 15, 2013",€250k,Steve Harper,['England'],Hull-City,Goalkeeper,2013-2014,Newcastle United,
23,Harrogate Town,"Sep 28, 1990",right,"1,90m",67232,"Aug 1, 2008",€150k,Mark Oxley,['England'],Hull-City,Goalkeeper,2013-2014,Rotherham United,
29,Retired,"Mar 15, 1985",right,"1,88m",18227,"Jul 1, 2013",€4.00m,Curtis Davies,"['Sierra Leone', 'England']",Hull-City,Centre-Back,2013-2014,: Ablöse €2.65m,
