age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
36,Retired,"Oct 29, 1970",right,"1,99m",3516,,"Jul 1, 2005",€5.40m,Edwin van der Sar,['Netherlands'],Manchester-United,Goalkeeper,2006-2007,Fulham FC,
25,Retired,"Mar 20, 1982",,,1320,,"Jul 2, 2007",€3.40m,Tomasz Kuszczak,"['Poland', 'England']",Manchester-United,Goalkeeper,2006-2007,West Bromwich Albion,
21,Manchester United,"Apr 15, 1986",right,"1,88m",34130,,"Jul 2, 2021",€100k,Tom Heaton,['England'],Manchester-United,Goalkeeper,2006-2007,: Ablöse free transfer,
28,Retired,"Nov 7, 1978",right,"1,89m",3235,,"Jul 22, 2002",€27.00m,Rio Ferdinand,['England'],Manchester-United,Centre-Back,2006-2007,Leeds United,
25,Retired,"Oct 21, 1981",right,"1,90m",19726,,"Jan 5, 2006",€14.20m,Nemanja Vidic‎,['Serbia'],Manchester-United,Centre-Back,2006-2007,: Ablöse €10.50m,
29,Retired,"Apr 19, 1978",left,"1,79m",5555,,"Jul 1, 2004",€13.10m,Gabriel Heinze,"['Argentina', 'Italy']",Manchester-United,Centre-Back,2006-2007,: Ablöse €10.00m,
26,Retired,"Apr 30, 1981",right,"1,92m",3540,,"Jul 1, 2001",€5.20m,John O'Shea,['Ireland'],Manchester-United,Centre-Back,2006-2007,Manchester United Reserves,
27,Retired,"Oct 13, 1979",right,"1,85m",3405,,"Jul 1, 1996",€5.00m,Wes Brown,['England'],Manchester-United,Centre-Back,2006-2007,Manchester United U18,
19,Manchester United,"Jan 3, 1988",both,"1,88m",42412,,"Jul 18, 2023",€500k,Jonny Evans,['Northern Ireland'],Manchester-United,Centre-Back,2006-2007,Leicester City,
19,Retired,"Oct 4, 1987",right,"1,91m",45861,,,,Ryan Shawcross,"['England', 'Wales']",Manchester-United,Centre-Back,2006-2007,,
18,Retired,"Feb 6, 1989",right,"1,89m",59606,,,,Craig Cathcart,['Northern Ireland'],Manchester-United,Centre-Back,2006-2007,,
26,Retired,"May 15, 1981",left,"1,74m",5285,,"Jan 10, 2006",€8.50m,Patrice Evra,"['France', 'Senegal']",Manchester-United,Left-Back,2006-2007,: Ablöse €8.00m,
22,Retired,"Oct 21, 1984",left,"1,77m",3548,,"Jul 1, 2001",€5.00m,Kieran Richardson,['England'],Manchester-United,Left-Back,2006-2007,: Ablöse free transfer,
29,Retired,"Aug 9, 1977",,,3393,,"Sep 10, 1999",€4.90m,Mikaël Silvestre,"['France', 'Guadeloupe']",Manchester-United,Left-Back,2006-2007,: Ablöse €5.70m,
21,Retired,"Sep 7, 1985",left,"1,80m",37138,,,€75k,Adam Eckersley,['England'],Manchester-United,Left-Back,2006-2007,,
32,Retired,"Feb 18, 1975",right,"1,80m",3403,,"Jul 1, 1992",€7.00m,Gary Neville,['England'],Manchester-United,Right-Back,2006-2007,Manchester United U18,
20,Retired,"Jan 4, 1987",right,"1,76m",37442,,"Jul 1, 2007",€50k,Danny Simpson,"['England', 'Jamaica']",Manchester-United,Right-Back,2006-2007,Manchester United Reserves,
19,Retired,"May 4, 1988",right,"1,80m",37678,,"Jul 1, 2006",,David Gray,['Scotland'],Manchester-United,Right-Back,2006-2007,Manchester United U18,
25,Retired,"Jul 28, 1981",right,"1,89m",3878,,"Jul 31, 2006",€26.50m,Michael Carrick,['England'],Manchester-United,Defensive Midfield,2006-2007,Tottenham Hotspur,
20,Retired,"Mar 7, 1987",right,"1,87m",4218,,,€250k,Floribert N'Galula,"['Belgium', 'DR Congo']",Manchester-United,Defensive Midfield,2006-2007,,
19,Retired,"Jun 22, 1988",right,"1,85m",50439,,,€50k,Kieran Lee,['England'],Manchester-United,Defensive Midfield,2006-2007,,
32,Retired,"Nov 16, 1974",right,"1,68m",3397,,"Jan 8, 2012",€11.00m,Paul Scholes,['England'],Manchester-United,Central Midfield,2006-2007,,
23,Retired,"Feb 1, 1984",right,"1,84m",3547,,"Jul 1, 2001",€6.00m,Darren Fletcher,['Scotland'],Manchester-United,Central Midfield,2006-2007,Manchester United U18,
26,Retired,"Oct 28, 1980",,,3768,,"Jul 1, 2004",€5.40m,Alan Smith,['England'],Manchester-United,Central Midfield,2006-2007,Leeds United,
22,Retired,"Nov 4, 1984",left,"1,83m",24634,,"Jul 1, 2004",€1.50m,David Jones,"['England', 'Wales']",Manchester-United,Central Midfield,2006-2007,Manchester United Reserves,
20,Retired,"Sep 26, 1986",right,"1,83m",37140,,"Jul 1, 2005",€175k,Ritchie Jones,['England'],Manchester-United,Central Midfield,2006-2007,Manchester United U18,
