age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
25,Newcastle United,"Oct 24, 1986",right,"1,92m",29712,"Jul 1, 2010",€4.50m,John Ruddy,['England'],Norwich-City,Goalkeeper,2011-2012,: Ablöse €600k,
21,Retired,"Jan 16, 1991",right,"1,91m",74088,"Jul 1, 2009",€500k,Declan Rudd,['England'],Norwich-City,Goalkeeper,2011-2012,Norwich City U18,
19,Peterborough United,"Sep 23, 1992",left,"1,83m",110867,"Jul 1, 2010",€250k,Jed Steer,"['England', 'Scotland']",Norwich-City,Goalkeeper,2011-2012,Norwich City U18,
22,Retired,"Mar 6, 1990",right,"1,88m",67252,"Jan 1, 2012",€3.50m,Ryan Bennett,['England'],Norwich-City,Centre-Back,2011-2012,Peterborough United,
26,Retired,"Jan 4, 1986",right,"1,83m",67303,"Jan 4, 2010",€3.00m,Russell Martin,"['Scotland', 'England']",Norwich-City,Centre-Back,2011-2012,Peterborough United,
26,Retired,"Nov 30, 1985",right,"1,85m",33484,"Jan 1, 2011",€2.50m,Leon Barnett,"['England', 'Jamaica']",Norwich-City,Centre-Back,2011-2012,West Bromwich Albion,
27,Retired,"Jan 19, 1985",right,"1,85m",15838,"Jul 1, 2010",€2.00m,Elliott Ward,['England'],Norwich-City,Centre-Back,2011-2012,Coventry City,
28,Retired,"Jan 10, 1984",left,"1,88m",22230,"Jan 8, 2010",€1.50m,Zak Whitbread,"['United States', 'England']",Norwich-City,Centre-Back,2011-2012,: Ablöse €100k,
21,Potters Bar Town,"Nov 7, 1990",right,"1,90m",78966,"Aug 13, 2011",€500k,Daniel Ayala,['Spain'],Norwich-City,Centre-Back,2011-2012,: Ablöse €900k,
26,Retired,"Aug 23, 1985",left,"1,83m",67346,"Jan 1, 2011",€1.00m,Marc Tierney,"['England', 'Ireland']",Norwich-City,Left-Back,2011-2012,Colchester United,
33,Retired,"Aug 29, 1978",left,"1,80m",11663,"Mar 1, 2001",€500k,Adam Drury,['England'],Norwich-City,Left-Back,2011-2012,Peterborough United,
