age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
36,Retired,"Aug 1, 1970",,,3646,,"Aug 12, 2006",€3.90m,David James,"['England', 'Jamaica']",Portsmouth-FC,Goalkeeper,2006-2007,: Ablöse €1.70m,
36,Retired,"Oct 10, 1970",left,"1,85m",3748,,"Jan 1, 2006",€1.20m,Dean Kiely,"['Ireland', 'England']",Portsmouth-FC,Goalkeeper,2006-2007,Charlton Athletic,
26,Retired,"Nov 30, 1980",right,"1,90m",13397,,"Jul 1, 2004",€800k,Jamie Ashdown,['England'],Portsmouth-FC,Goalkeeper,2006-2007,Reading FC,
32,Retired,"Sep 18, 1974",,,3198,,"Aug 1, 2006",€7.70m,Sol Campbell,"['England', 'Jamaica']",Portsmouth-FC,Centre-Back,2006-2007,: Ablöse free transfer,
27,Retired,"Mar 1, 1980",left,"1,91m",3598,,"Jan 11, 2007",€3.20m,Djimi Traoré,"['Mali', 'France']",Portsmouth-FC,Centre-Back,2006-2007,Charlton Athletic,
28,Retired,"Apr 14, 1979",right,"1,80m",5531,,"Jan 1, 2006",€3.00m,Noé Pamarot,['France'],Portsmouth-FC,Centre-Back,2006-2007,: Ablöse ?,
28,Retired,"Jun 29, 1979",right,"1,91m",3228,,"Jul 1, 2005",€2.80m,Andrew O'Brien,"['Ireland', 'England']",Portsmouth-FC,Centre-Back,2006-2007,Newcastle United,
33,Retired,"Sep 14, 1973",right,"1,80m",4266,,"Jul 1, 2000",€2.00m,Linvoy Primus,['England'],Portsmouth-FC,Centre-Back,2006-2007,Reading FC,
32,Retired,"Oct 28, 1974",left,"1,80m",4308,,"Jul 1, 2003",€1.70m,Dejan Stefanovic,['Serbia'],Portsmouth-FC,Centre-Back,2006-2007,Vitesse Arnhem,
21,Retired,"Aug 30, 1985",right,"1,81m",16082,,"Jan 26, 2004",€500k,Richard Duffy,['Wales'],Portsmouth-FC,Centre-Back,2006-2007,Swansea City,
30,Retired,"Jan 19, 1977",both,"1,82m",3189,,"Jan 18, 2007",€6.00m,Laurén,"['Cameroon', 'Equatorial Guinea']",Portsmouth-FC,Right-Back,2006-2007,: Ablöse €550k,
22,Retired,"Aug 23, 1984",both,"1,82m",3881,,"Aug 31, 2007",€3.70m,Glen Johnson,['England'],Portsmouth-FC,Right-Back,2006-2007,Chelsea FC,
28,Retired,"Mar 17, 1979",right,"1,73m",3579,,"Jul 1, 2004",€2.20m,Andy Griffin,['England'],Portsmouth-FC,Right-Back,2006-2007,Newcastle United,
27,Retired,"Sep 20, 1979",right,"1,78m",4036,,"Jan 12, 2006",€3.30m,Sean Davis,['England'],Portsmouth-FC,Defensive Midfield,2006-2007,: Ablöse €2.80m,
28,Retired,"Jun 25, 1979",left,"1,75m",9207,,"Jul 1, 2002",€1.00m,Richard Hughes,['Scotland'],Portsmouth-FC,Defensive Midfield,2006-2007,: Ablöse €80k,
22,Retired,"Jan 28, 1985",right,"1,72m",20622,,"Jul 5, 2007",€800k,Arnold Mvuemba,"['DR Congo', 'France']",Portsmouth-FC,Defensive Midfield,2006-2007,Stade Rennais FC,
24,Retired,"May 18, 1983",right,"1,74m",3995,,"Jul 1, 2000",€3.75m,Gary O'Neil,['England'],Portsmouth-FC,Central Midfield,2006-2007,: Ablöse -,
28,Retired,"Feb 26, 1979",both,"1,77m",9811,,"Jan 1, 2006",€3.30m,Pedro Mendes,['Portugal'],Portsmouth-FC,Central Midfield,2006-2007,: Ablöse ?,
