age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom
34,Retired,"May 17, 1978",right,"1,85m",13524,"Jul 1, 2010",€1.00m,Paddy Kenny,"['Ireland', 'England']",Queens-Park-Rangers,Goalkeeper,2011-2012,Sheffield United
38,Retired,"Feb 18, 1974",right,"1,87m",21010,"Jul 1, 2008",€500k,Radek Cerny,['Czech Republic'],Queens-Park-Rangers,Goalkeeper,2011-2012,Tottenham Hotspur
29,Retired,"May 7, 1983",right,"1,85m",4190,"Jul 1, 2011",€500k,Brian Murphy,['Ireland'],Queens-Park-Rangers,Goalkeeper,2011-2012,Ipswich Town
21,Great Yarmouth Town FC,"Jun 12, 1991",right,"1,88m",120713,"Jul 1, 2009",€50k,Elvijs Putnins,['Latvia'],Queens-Park-Rangers,Goalkeeper,2011-2012,Queens Park Rangers U18
25,Retired,"Nov 12, 1986",right,"1,83m",28810,"Jan 1, 2012",€4.00m,Nedum Onuoha,"['England', 'Nigeria']",Queens-Park-Rangers,Centre-Back,2011-2012,: Ablöse €4.70m
27,Retired,"Feb 18, 1985",right,"1,85m",3698,"Aug 31, 2011",€3.50m,Anton Ferdinand,"['England', 'St. Lucia']",Queens-Park-Rangers,Centre-Back,2011-2012,Sunderland AFC
24,Retired,"Sep 24, 1987",right,"1,88m",34559,"Jan 2, 2008",€1.50m,Matthew Connolly,['England'],Queens-Park-Rangers,Centre-Back,2011-2012,Arsenal FC Reserves
30,Retired,"Nov 6, 1981",left,"1,91m",30379,"Jul 1, 2008",€1.00m,Kaspars Gorkss,['Latvia'],Queens-Park-Rangers,Centre-Back,2011-2012,Blackpool FC
33,Retired,"Oct 19, 1978",left,"1,83m",13583,"Jul 1, 2010",€750k,Clint Hill,['England'],Queens-Park-Rangers,Centre-Back,2011-2012,: Ablöse free transfer
31,Retired,"Dec 20, 1980",right,"1,93m",6580,"Jan 4, 2008",€750k,Fitz Hall,['England'],Queens-Park-Rangers,Centre-Back,2011-2012,Wigan Athletic
28,Retired,"Nov 22, 1983",right,"1,85m",28801,"Jul 1, 2008",€750k,Peter Ramage,"['England', 'Scotland']",Queens-Park-Rangers,Centre-Back,2011-2012,Newcastle United
31,Retired,"Sep 2, 1980",right,"1,91m",13736,"Jan 27, 2011",€750k,Danny Shittu,['Nigeria'],Queens-Park-Rangers,Centre-Back,2011-2012,: Ablöse free transfer
32,Retired,"Aug 8, 1979",right,"1,78m",12709,"Jul 25, 2011",€500k,Danny Gabbidon,"['Wales', 'Jamaica']",Queens-Park-Rangers,Centre-Back,2011-2012,: Ablöse free transfer
24,CP San Cristóbal,"Jul 6, 1987",right,"1,91m",67996,"Aug 1, 2011",€250k,Bruno Perone,"['Brazil', 'Italy']",Queens-Park-Rangers,Centre-Back,2011-2012,Tombense Futebol Clube (MG)
19,AFC Rushden & Diamonds,"Oct 23, 1992",right,"1,71m",155233,"Jul 1, 2011",,Michael Harriman,"['Ireland', 'England']",Queens-Park-Rangers,Centre-Back,2011-2012,Queens Park Rangers U18
