age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom
35,Retired,"Jun 15, 1972",right,"1,87m",4140,"Aug 1, 2002",€1.25m,Marcus Hahnemann,"['United States', 'Germany']",Reading-FC,Goalkeeper,2006-2007,Fulham FC
25,Retired,"Sep 26, 1981",right,"1,88m",3559,"Aug 1, 2006",€350k,Graham Stack,"['Ireland', 'England']",Reading-FC,Goalkeeper,2006-2007,: Ablöse free transfer
22,Retired,"Jan 31, 1985",right,"1,88m",4233,"Jul 1, 2005",€100k,Adam Federici,"['Australia', 'Italy']",Reading-FC,Goalkeeper,2006-2007,FFA Centre of Excellence (- 2017)
18,BK Fremad Amager,"Dec 17, 1988",right,"1,95m",42694,"Jan 26, 2007",,Mikkel Andersen,['Denmark'],Reading-FC,Goalkeeper,2006-2007,Akademisk Boldklub
31,Retired,"Oct 14, 1975",both,"1,85m",3633,"Jan 31, 2007",€2.25m,Michael Duberry,"['England', 'Montserrat']",Reading-FC,Centre-Back,2006-2007,Stoke City
22,Retired,"Jan 8, 1985",right,"1,83m",14270,"Jul 1, 2007",€1.25m,André Bikey,"['Cameroon', 'Spain']",Reading-FC,Centre-Back,2006-2007,: Ablöse €1.50m
29,Retired,"Aug 20, 1977",left,"1,88m",7434,"Oct 1, 2003",€800k,Ívar Ingimarsson,['Iceland'],Reading-FC,Centre-Back,2006-2007,Wolverhampton Wanderers
26,Retired,"Jan 22, 1981",right,"1,90m",36813,"Jul 1, 2004",€700k,Ibrahima Sonko,"['Senegal', 'France']",Reading-FC,Centre-Back,2006-2007,: Ablöse free transfer
28,Retired,"May 25, 1979",right,"1,83m",41897,"Jul 1, 2006",€600k,Sam Sodje,"['Nigeria', 'England']",Reading-FC,Centre-Back,2006-2007,: Ablöse €350k
22,Blyth Spartans,"Dec 8, 1984",right,"1,93m",42062,"Jan 1, 2007",€400k,Greg Halford,['England'],Reading-FC,Centre-Back,2006-2007,Colchester United
22,Retired,"Dec 2, 1984",right,"1,95m",35008,"Aug 30, 2006",€300k,Péter Máté,['Hungary'],Reading-FC,Centre-Back,2006-2007,: Ablöse €575k
24,Highgate United,"Jun 23, 1983",right,"1,96m",20953,"Jan 5, 2006",€200k,Aaron Brown,['England'],Reading-FC,Centre-Back,2006-2007,Tamworth FC
18,Leatherhead FC,"Nov 9, 1988",right,"1,88m",47768,"Jul 1, 2006",,Alex Pearce,"['Ireland', 'Scotland']",Reading-FC,Centre-Back,2006-2007,Reading FC U18
25,Retired,"Oct 4, 1981",right,"1,87m",34616,"Jan 30, 2007",,Alan Bennett,['Ireland'],Reading-FC,Centre-Back,2006-2007,Cork City FC
26,Retired,"Feb 19, 1981",left,"1,75m",13426,"Jul 10, 2012",€1.00m,Nicky Shorey,['England'],Reading-FC,Left-Back,2006-2007,West Bromwich Albion
19,Retired,"Feb 29, 1988",left,"1,74m",37457,"Jan 1, 2006",€125k,Scott Golbourne,['England'],Reading-FC,Left-Back,2006-2007,: Ablöse €100k
33,Retired,"Feb 8, 1974",right,"1,80m",3842,"Jul 1, 2006",€1.30m,Ulises de la Cruz,"['Ecuador', 'England']",Reading-FC,Right-Back,2006-2007,: Ablöse free transfer
32,Retired,"Nov 13, 1974",right,"1,78m",13418,"Jul 6, 1998",€500k,Graeme Murty,['Scotland'],Reading-FC,Right-Back,2006-2007,York City
20,FC Godalming Town,"Mar 8, 1987",right,"1,80m",48449,,,Curtis Osano,['Kenya'],Reading-FC,Right-Back,2006-2007,
31,Retired,"Oct 16, 1975",right,"1,85m",9885,"Jul 1, 2005",€750k,Brynjar Gunnarsson,['Iceland'],Reading-FC,Defensive Midfield,2006-2007,Watford FC
25,Retired,"Feb 14, 1982",right,"1,82m",3556,"Jan 1, 2006",€350k,John Halls,['England'],Reading-FC,Defensive Midfield,2006-2007,Stoke City
23,Retired,"Dec 5, 1983",right,"1,81m",20642,"Jan 1, 2007",€200k,Daniel Bocandé,['Senegal'],Reading-FC,Midfielder,2006-2007,: Ablöse free transfer
24,Retired,"Dec 14, 1982",right,"1,83m",13427,"Feb 1, 2003",€2.00m,Steve Sidwell,['England'],Reading-FC,Central Midfield,2006-2007,Arsenal FC Reserves
26,Without Club,"Nov 9, 1980",right,"1,78m",13410,"Feb 28, 2001",€1.00m,James Harper,"['England', 'Ghana']",Reading-FC,Central Midfield,2006-2007,Arsenal FC Reserves
28,Retired,"Dec 8, 1978",right,"1,75m",13918,"Jul 1, 2005",€700k,John Oster,"['Wales', 'England']",Reading-FC,Central Midfield,2006-2007,: Ablöse free transfer
18,Without Club,"Jan 8, 1989",left,"1,79m",43117,"Jan 29, 2007",,Oliver Bozanic,"['Australia', 'Slovenia']",Reading-FC,Central Midfield,2006-2007,Heidelberg United FC
31,Retired,"Oct 15, 1975",right,"1,91m",9879,"Mar 8, 2009",€800k,Glen Little,['England'],Reading-FC,Right Midfield,2006-2007,: Ablöse free transfer
19,St Mungo Amateurs,"Jul 9, 1987",left,"1,68m",52380,"Jul 1, 2005",,Jonny Hayes,['Ireland'],Reading-FC,Right Midfield,2006-2007,Reading FC U18
18,Aldershot Town,"Jun 10, 1989",right,"1,82m",59268,"Jul 1, 2006",,James Henry,"['England', 'Scotland']",Reading-FC,Right Midfield,2006-2007,Reading FC U18
24,Retired,"May 27, 1983",left,"1,72m",20585,"Jul 22, 2004",€1.80m,Bobby Convey,['United States'],Reading-FC,Left Midfield,2006-2007,: Ablöse €1.20m
25,Retired,"Aug 1, 1981",left,"1,74m",36799,"Jul 1, 2005",€1.25m,Stephen Hunt,['Ireland'],Reading-FC,Left Midfield,2006-2007,: Ablöse free transfer
17,Smári 2020,"Jan 25, 1990",,,115614,,,Viktor Unnar Illugason,['Iceland'],Reading-FC,Left Winger,2006-2007,
28,Retired,"Jan 8, 1979",both,"1,87m",9606,"Jul 1, 2006",€3.50m,Ki-hyeon Seol,"['Korea, South']",Reading-FC,Right Winger,2006-2007,Wolverhampton Wanderers
23,Retired,"Sep 18, 1983",right,"1,80m",35193,"Jul 1, 2005",€5.50m,Kevin Doyle,['Ireland'],Reading-FC,Centre-Forward,2006-2007,Cork City FC
22,Barwell FC,"Dec 28, 1984",right,"1,76m",20975,"Jul 1, 2005",€2.00m,Leroy Lita,"['England', 'DR Congo']",Reading-FC,Centre-Forward,2006-2007,: Ablöse €1.50m
27,Retired,"Jan 21, 1980",right,"1,91m",15698,"Mar 1, 2009",€1.30m,Dave Kitson,['England'],Reading-FC,Centre-Forward,2006-2007,Stoke City
20,Retired,"Jan 22, 1987",both,"1,80m",37304,"Jul 13, 2022",€500k,Shane Long,['Ireland'],Reading-FC,Centre-Forward,2006-2007,Southampton FC
20,Retired,"Apr 28, 1987",left,"1,80m",37150,"Aug 7, 2014",€100k,Simon Cox,"['Ireland', 'England']",Reading-FC,Centre-Forward,2006-2007,: Ablöse €600k
36,Retired,"Jun 15, 1972",right,"1,87m",4140,"Aug 1, 2002",€3.00m,Marcus Hahnemann,"['United States', 'Germany']",Reading-FC,Goalkeeper,2007-2008,Fulham FC
23,Retired,"Jan 31, 1985",right,"1,88m",4233,"Jul 1, 2005",€450k,Adam Federici,"['Australia', 'Italy']",Reading-FC,Goalkeeper,2007-2008,FFA Centre of Excellence (- 2017)
26,Retired,"Sep 26, 1981",right,"1,88m",3559,"Aug 1, 2006",€350k,Graham Stack,"['Ireland', 'England']",Reading-FC,Goalkeeper,2007-2008,: Ablöse free transfer
19,BK Fremad Amager,"Dec 17, 1988",right,"1,95m",42694,"Jan 26, 2007",€200k,Mikkel Andersen,['Denmark'],Reading-FC,Goalkeeper,2007-2008,Akademisk Boldklub
20,Sheffield Wednesday,"Nov 20, 1987",right,"1,93m",67283,"Jul 1, 2005",,Ben Hamer,['England'],Reading-FC,Goalkeeper,2007-2008,Reading FC U18
30,Retired,"Aug 20, 1977",left,"1,88m",7434,"Oct 1, 2003",€3.00m,Ívar Ingimarsson,['Iceland'],Reading-FC,Centre-Back,2007-2008,Wolverhampton Wanderers
32,Retired,"Oct 14, 1975",both,"1,85m",3633,"Jan 31, 2007",€1.75m,Michael Duberry,"['England', 'Montserrat']",Reading-FC,Centre-Back,2007-2008,Stoke City
24,Retired,"Jan 9, 1984",right,"1,88m",22445,"Jul 1, 2007",€1.50m,Kalifa Cissé,"['Mali', 'France']",Reading-FC,Centre-Back,2007-2008,Boavista FC
