age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
21,Girona FC,"Jan 2, 1992",right,"1,95m",195488,,"Jul 20, 2012",€3.50m,Paulo Gazzaniga,"['Argentina', 'Italy']",Southampton-FC,Goalkeeper,2012-2013,Gillingham FC,
33,Retired,"Feb 20, 1980",right,"1,93m",15220,,"Sep 22, 2012",€1.50m,Artur Boruc,['Poland'],Southampton-FC,Goalkeeper,2012-2013,Without Club,
36,Retired,"Sep 29, 1976",right,"1,85m",13640,,"Jul 1, 2006",€250k,Kelvin Davis,['England'],Southampton-FC,Goalkeeper,2012-2013,Sunderland AFC,
26,Retired,"Oct 15, 1986",,"1,98m",61823,,"Jul 1, 2008",€50k,Tommy Forecast,['England'],Southampton-FC,Goalkeeper,2012-2013,Tottenham Hotspur,
24,Los Angeles Galaxy,"Aug 24, 1988",right,"1,89m",81789,,"Aug 30, 2012",€4.50m,Maya Yoshida,['Japan'],Southampton-FC,Centre-Back,2012-2013,VVV-Venlo,
25,SK Træff,"Feb 16, 1988",left,"1,86m",62054,,"Jan 18, 2013",€4.50m,Vegard Forren,['Norway'],Southampton-FC,Centre-Back,2012-2013,Molde FK,
29,Casa Pia AC,"Dec 22, 1983",right,"1,91m",33829,,"Jan 9, 2010",€2.50m,José Fonte,['Portugal'],Southampton-FC,Centre-Back,2012-2013,: Ablöse €1.40m,
30,Retired,"Apr 22, 1983",left,"1,93m",4624,,"Dec 1, 2011",€1.75m,Jos Hooiveld,['Netherlands'],Southampton-FC,Centre-Back,2012-2013,Celtic FC,
26,Retired,"Mar 5, 1987",left,"1,83m",77569,,"Oct 13, 2010",€250k,Danny Seaborne,['England'],Southampton-FC,Centre-Back,2012-2013,: Ablöse €570k,
19,Southampton FC,"Jan 27, 1994",right,"1,85m",163744,,"Jul 1, 2013",,Jack Stephens,['England'],Southampton-FC,Centre-Back,2012-2013,Southampton FC U21,Team captain
18,Cardiff City,"Jan 20, 1995",right,"1,82m",215118,,"Jul 1, 2013",,Calum Chambers,['England'],Southampton-FC,Centre-Back,2012-2013,Southampton FC U21,
17,Manchester United,"Jul 12, 1995",left,"1,78m",183288,,"Nov 1, 2012",€4.50m,Luke Shaw,['England'],Southampton-FC,Left-Back,2012-2013,Southampton FC U18,
27,Winsford United,"May 29, 1986",left,"1,83m",31553,,"Aug 1, 2011",€2.50m,Danny Fox,"['Scotland', 'England']",Southampton-FC,Left-Back,2012-2013,: Ablöse €2.00m,
22,Crystal Palace,"Apr 5, 1991",right,"1,75m",85177,,"Jul 18, 2012",€5.00m,Nathaniel Clyne,"['England', 'Grenada']",Southampton-FC,Right-Back,2012-2013,: Ablöse €3.20m,
30,Retired,"Oct 29, 1982",right,"1,80m",4094,,"Jul 6, 2010",€500k,Frazer Richardson,['England'],Southampton-FC,Right-Back,2012-2013,Charlton Athletic,
33,Retired,"Nov 21, 1979",right,"1,80m",13997,,"Jul 16, 2010",€250k,Danny Butterfield,['England'],Southampton-FC,Right-Back,2012-2013,: Ablöse free transfer,
23,Retired,"Nov 8, 1989",right,"1,86m",56818,,"Jul 1, 2008",€3.00m,Morgan Schneiderlin,['France'],Southampton-FC,Defensive Midfield,2012-2013,: Ablöse €1.50m,
24,Burnley FC U21,"Jun 25, 1989",right,"1,85m",40613,,"Jul 7, 2011",€2.50m,Jack Cork,['England'],Southampton-FC,Defensive Midfield,2012-2013,Chelsea FC Reserves,
18,Eastleigh FC,"Sep 9, 1994",right,"1,80m",226964,,,,Dominic Gape,['England'],Southampton-FC,Defensive Midfield,2012-2013,,
20,Weymouth FC,"Oct 16, 1992",right,"1,88m",226974,,,,Andy Robinson,['England'],Southampton-FC,Defensive Midfield,2012-2013,,
22,CA Peñarol,"Dec 2, 1990",left,"1,83m",123742,,"Aug 31, 2012",€13.00m,Gastón Ramírez,['Uruguay'],Southampton-FC,Central Midfield,2012-2013,: Ablöse €15.20m,
28,Retired,"Jan 1, 1985",right,"1,72m",28973,,"Jul 6, 2012",€4.00m,Steven Davis,['Northern Ireland'],Southampton-FC,Central Midfield,2012-2013,: Ablöse €1.00m,
27,Kissos Kissonergas,"Jun 18, 1986",left,"1,73m",47995,,"Jan 30, 2010",€2.00m,Jason Puncheon,"['England', 'Jamaica']",Southampton-FC,Central Midfield,2012-2013,Plymouth Argyle,
18,Nottingham Forest,"Nov 1, 1994",right,"1,77m",181579,,"Jul 1, 2012",€1.00m,James Ward-Prowse,['England'],Southampton-FC,Central Midfield,2012-2013,Southampton FC U18,
30,Retired,"Mar 7, 1983",right,"1,82m",33065,,"Aug 19, 2009",€750k,Dean Hammond,['England'],Southampton-FC,Central Midfield,2012-2013,Colchester United,
28,Retired,"Feb 2, 1985",right,"1,75m",9975,,"Sep 30, 2010",€500k,Richard Chaplow,['England'],Southampton-FC,Central Midfield,2012-2013,: Ablöse €900k,
26,KMSK Deinze,"Feb 25, 1987",right,"1,78m",41818,,"Jul 1, 2011",€500k,Steve De Ridder,['Belgium'],Southampton-FC,Central Midfield,2012-2013,: Ablöse ?,
19,Dorchester Town,"Nov 21, 1993",right,"1,73m",206268,,,,Corby Moore,['England'],Southampton-FC,Central Midfield,2012-2013,,
25,Southampton FC,"May 10, 1988",both,"1,72m",43530,"Joined from Brighton & Hove Albion; date: Jul 1, 2024; fee: free transfer","Jul 1, 2024",€5.50m,Adam Lallana,['England'],Southampton-FC,Attacking Midfield,2012-2013,Brighton & Hove Albion,
31,Retired,"Dec 31, 1981",right,"1,89m",22801,,"Jan 1, 2011",€1.50m,Guly,"['Brazil', 'Italy']",Southampton-FC,Attacking Midfield,2012-2013,: Ablöse €600k,
21,Southampton FC U21,"Nov 19, 1991",left,"1,71m",171234,,"Jul 1, 2011",,Ben Reeves,"['Northern Ireland', 'England']",Southampton-FC,Attacking Midfield,2012-2013,Southampton FC Reserves,
20,Northampton Town,"Feb 4, 1993",,"1,73m",198861,,"Jul 1, 2011",,Sam Hoskins,['England'],Southampton-FC,Right Winger,2012-2013,Southampton FC U18,
20,Hume City FC,"Jan 12, 1993",right,"1,78m",226965,,"Jan 1, 2014",,Lloyd Isgrove,"['Wales', 'England']",Southampton-FC,Right Winger,2012-2013,Southampton FC U21,
18,Without Club,"Nov 29, 1994",right,"1,72m",226977,,,,Jake Sinclair,"['England', 'Jamaica']",Southampton-FC,Right Winger,2012-2013,,
23,Burnley FC,"Jul 29, 1989",right,"1,85m",53360,,"Jul 1, 2012",€6.50m,Jay Rodríguez,"['England', 'Spain']",Southampton-FC,Centre-Forward,2012-2013,: Ablöse €8.65m,
31,Retired,"Feb 16, 1982",right,"1,87m",49655,,"Aug 1, 2009",€3.50m,Rickie Lambert,['England'],Southampton-FC,Centre-Forward,2012-2013,Bristol Rovers,
27,Doncaster Rovers,"Feb 5, 1986",right,"1,75m",49542,,"Jan 30, 2012",€3.00m,Billy Sharp,['England'],Southampton-FC,Centre-Forward,2012-2013,Doncaster Rovers,
22,Retired,"Nov 21, 1990",right,"1,78m",55709,,"Aug 29, 2012",€3.00m,Emmanuel Mayuka,['Zambia'],Southampton-FC,Centre-Forward,2012-2013,BSC Young Boys,
27,Retired,"Dec 19, 1985",left,"1,82m",81793,,"Jan 13, 2012",€1.00m,Tadanari Lee,['Japan'],Southampton-FC,Centre-Forward,2012-2013,Sanfrecce Hiroshima,
28,Retired,"Jul 18, 1984",right,"1,78m",4058,,"Jan 22, 2010",€250k,Lee Barnard,['England'],Southampton-FC,Centre-Forward,2012-2013,Southend United,
22,Girona FC,"Jan 2, 1992",right,"1,95m",195488,,"Jul 20, 2012",€2.00m,Paulo Gazzaniga,"['Argentina', 'Italy']",Southampton-FC,Goalkeeper,2013-2014,Gillingham FC,
34,Retired,"Feb 20, 1980",right,"1,93m",15220,,"Sep 22, 2012",€1.50m,Artur Boruc,['Poland'],Southampton-FC,Goalkeeper,2013-2014,Without Club,
37,Retired,"Sep 29, 1976",right,"1,85m",13640,,"Jul 1, 2006",€250k,Kelvin Davis,['England'],Southampton-FC,Goalkeeper,2013-2014,Sunderland AFC,
21,Retired,"Feb 16, 1993",right,"1,91m",170540,,,,Cody Cropper,"['United States', 'England']",Southampton-FC,Goalkeeper,2013-2014,,
24,PAOK Thessaloniki,"Jul 5, 1989",right,"1,88m",37838,,"Jul 1, 2013",€12.00m,Dejan Lovren,['Croatia'],Southampton-FC,Centre-Back,2013-2014,: Ablöse €10.00m,"No eligibility - until Jun 30, 2025 - UEFA Europa League"
25,Los Angeles Galaxy,"Aug 24, 1988",right,"1,89m",81789,,"Aug 30, 2012",€4.50m,Maya Yoshida,['Japan'],Southampton-FC,Centre-Back,2013-2014,VVV-Venlo,
30,Casa Pia AC,"Dec 22, 1983",right,"1,91m",33829,,"Jan 9, 2010",€3.50m,José Fonte,['Portugal'],Southampton-FC,Centre-Back,2013-2014,: Ablöse €1.40m,
