age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
28,Retired,"Oct 20, 1983",right,"1,83m",26276,"Aug 7, 2011",€8.50m,Michel Vorm,"['Netherlands', 'Suriname']",Swansea-City,Goalkeeper,2011-2012,: Ablöse €1.70m,
30,Retired,"Mar 20, 1982",right,"1,85m",13216,"Jul 1, 2011",€1.00m,José Moreira,['Portugal'],Swansea-City,Goalkeeper,2011-2012,SL Benfica,
33,Retired,"Nov 16, 1978",,,488,"Aug 1, 2011",€500k,Gerhard Tremmel,['Germany'],Swansea-City,Goalkeeper,2011-2012,: Ablöse free transfer,
27,Retired,"Aug 23, 1984",right,"1,83m",67355,"Jul 1, 2008",€4.00m,Ashley Williams,"['Wales', 'England']",Swansea-City,Centre-Back,2011-2012,: Ablöse €500k,
20,Ankara Keciörengücü,"Dec 29, 1991",right,"1,91m",121280,"Jul 1, 2011",€4.00m,Steven Caulker,"['Sierra Leone', 'England']",Swansea-City,Centre-Back,2011-2012,Tottenham Hotspur,
30,Retired,"Aug 26, 1981",right,"1,93m",9850,"Sep 26, 2011",€600k,Vangelis Moras,['Greece'],Swansea-City,Centre-Back,2011-2012,Without Club,
29,Retired,"Sep 2, 1982",right,"1,85m",7337,"Feb 6, 2004",€500k,Alan Tate,['England'],Swansea-City,Centre-Back,2011-2012,Manchester United,
33,Retired,"Mar 6, 1979",right,"1,83m",4111,"Jul 1, 2004",€500k,Garry Monk,['England'],Swansea-City,Centre-Back,2011-2012,Barnsley FC,
20,Retired,"Mar 18, 1992",right,"1,87m",111059,"Aug 31, 2011",€250k,Darnel Situ,"['France', 'DR Congo']",Swansea-City,Centre-Back,2011-2012,: Ablöse €285k,
20,Without Club,"May 13, 1992",left,"1,80m",156559,,,Joe Walsh,['Wales'],Swansea-City,Centre-Back,2011-2012,,
23,Retired,"Feb 7, 1989",left,"1,76m",67416,"Jul 1, 2010",€3.00m,Neil Taylor,"['Wales', 'India']",Swansea-City,Left-Back,2011-2012,Wrexham AFC,
28,Retired,"Jan 23, 1984",left,"1,79m",57973,"Aug 1, 2011",€500k,Fede Bessone,"['Argentina', 'Spain']",Swansea-City,Left-Back,2011-2012,Leeds United,
29,Retired,"Nov 28, 1982",right,"1,88m",66550,"Jul 1, 2007",€3.50m,Ángel Rangel,['Spain'],Swansea-City,Right-Back,2011-2012,Terrassa FC,
21,Retired,"Apr 12, 1991",right,"1,74m",120241,"Jul 1, 2009",€1.00m,Jazz Richards,['Wales'],Swansea-City,Right-Back,2011-2012,Swansea City U18,
23,Without Club,"Feb 14, 1989",right,"1,73m",125467,"Jan 1, 2012",€250k,Curtis Obeng,"['England', 'Ghana']",Swansea-City,Right-Back,2011-2012,Wrexham AFC,
20,Trefelin Boys & Girls Club,"Feb 23, 1992",right,"1,80m",130216,"Jul 1, 2010",,Daniel Alfei,['Wales'],Swansea-City,Right-Back,2011-2012,Swansea City U18,
19,Oxford United,"Mar 1, 1993",left,"1,78m",128905,"Jan 18, 2012",€4.50m,Josh McEachran,"['England', 'Scotland']",Swansea-City,Central Midfield,2011-2012,Chelsea FC,
22,Swansea City,"Mar 14, 1990",right,"1,70m",51452,"Jul 8, 2022",€4.00m,Joe Allen,['Wales'],Swansea-City,Central Midfield,2011-2012,Stoke City,
29,Retired,"Sep 16, 1982",right,"1,67m",40043,"Jan 19, 2011",€3.50m,Leon Britton,['England'],Swansea-City,Central Midfield,2011-2012,Sheffield United,
30,Retired,"May 5, 1982",right,"1,77m",6756,"Jul 1, 2007",€1.00m,Ferrie Bodde,['Netherlands'],Swansea-City,Central Midfield,2011-2012,ADO Den Haag,Knee injury - Return unknown
25,Without Club,"Aug 20, 1986",right,"1,78m",24862,"Oct 9, 2010",€1.00m,Kemy Agustien,"['Curacao', 'Netherlands']",Swansea-City,Central Midfield,2011-2012,Without Club,
27,Retired,"Aug 3, 1984",left,"1,83m",29117,"Aug 31, 2007",€500k,Andrea Orlandi,['Italy'],Swansea-City,Central Midfield,2011-2012,: Ablöse free transfer,
33,Retired,"Oct 5, 1978",both,"1,80m",39700,"Jul 1, 2008",€500k,Mark Gower,['England'],Swansea-City,Central Midfield,2011-2012,Southend United,
20,Merthyr Town FC,"Jun 10, 1992",right,"1,75m",143851,"Jul 1, 2010",,Lee Lucas,['Wales'],Swansea-City,Central Midfield,2011-2012,Swansea City U18,
24,Retired,"Dec 25, 1987",right,"1,73m",37365,"Jul 1, 2010",€250k,Scott Donnelly,['England'],Swansea-City,Right Midfield,2011-2012,Aldershot Town,
