age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
27,Retired,"Oct 15, 1979",right,"1,93m",3630,,"Jul 1, 2004",€8.40m,Paul Robinson,['England'],Tottenham-Hotspur,Goalkeeper,2006-2007,Leeds United,
20,Retired,"Jan 1, 1987",right,"1,83m",27036,,"Jan 1, 2007",€850k,Ben Alnwick,['England'],Tottenham-Hotspur,Goalkeeper,2006-2007,Sunderland AFC,
24,---,"May 3, 1983",right,"1,98m",17879,,"Jul 1, 2004",€800k,Márton Fülöp,['Hungary'],Tottenham-Hotspur,Goalkeeper,2006-2007,: Ablöse €750k,
33,Retired,"Feb 18, 1974",right,"1,87m",21010,,"Jul 1, 2006",€580k,Radek Cerny,['Czech Republic'],Tottenham-Hotspur,Goalkeeper,2006-2007,: Ablöse €200k,
23,Retired,"Oct 8, 1983",,"1,88m",27814,,"Jul 1, 2001",€50k,Rob Burch,['England'],Tottenham-Hotspur,Goalkeeper,2006-2007,Tottenham Hotspur U18,
26,Retired,"Oct 12, 1980",right,"1,88m",3360,,"Jul 1, 1998",€11.80m,Ledley King,"['England', 'Antigua and Barbuda']",Tottenham-Hotspur,Centre-Back,2006-2007,Tottenham Hotspur U18,
23,Retired,"Nov 18, 1983",right,"1,89m",9988,,"Jan 31, 2005",€7.70m,Michael Dawson,['England'],Tottenham-Hotspur,Centre-Back,2006-2007,: Ablöse €7.00m,
28,Retired,"Oct 3, 1978",right,"1,83m",13211,,"Jan 23, 2007",€4.00m,Ricardo Rocha,['Portugal'],Tottenham-Hotspur,Centre-Back,2006-2007,SL Benfica,
26,Retired,"Sep 19, 1980",left,"1,96m",4053,,"Jan 1, 2000",€2.30m,Anthony Gardner,"['England', 'Jamaica']",Tottenham-Hotspur,Centre-Back,2006-2007,: Ablöse €1.50m,
24,Tavistock FC,"Jan 1, 1983",right,"1,93m",4221,,"Jul 1, 2004",€1.50m,Calum Davenport,['England'],Tottenham-Hotspur,Centre-Back,2006-2007,Coventry City,
21,FC Sion,"Jan 16, 1986",left,"1,83m",9915,,"Aug 31, 2004",€1.45m,Reto Ziegler,['Switzerland'],Tottenham-Hotspur,Centre-Back,2006-2007,: Ablöse €1.00m,
18,Retired,"Jul 25, 1988",right,"1,92m",32029,,"Jul 1, 2006",€350k,Dorian Dervite,['France'],Tottenham-Hotspur,Centre-Back,2006-2007,: Ablöse €1.50m,
19,Retired,"Feb 8, 1988",right,"1,88m",19639,,"Jul 1, 2004",€250k,Leigh Mills,['England'],Tottenham-Hotspur,Centre-Back,2006-2007,Swindon Town U18,
30,Retired,"Apr 23, 1977",both,"1,76m",6156,,"Aug 1, 2005",€4.30m,Young-pyo Lee,"['Korea, South']",Tottenham-Hotspur,Left-Back,2006-2007,: Ablöse €2.00m,
23,Retired,"Mar 24, 1984",left,"1,78m",18310,,"Jul 1, 2006",€4.25m,Benoît Assou-Ekotto,"['Cameroon', 'France']",Tottenham-Hotspur,Left-Back,2006-2007,: Ablöse €5.00m,
28,Skelmersdale United,"Feb 21, 1979",right,"1,82m",18875,,"Jan 26, 2009",€7.90m,Pascal Chimbonda,"['Guadeloupe', 'France']",Tottenham-Hotspur,Right-Back,2006-2007,Sunderland AFC,
29,Retired,"Oct 18, 1977",right,"1,81m",536,,"Jul 1, 2005",€2.40m,Paul Stalteri,"['Canada', 'Italy']",Tottenham-Hotspur,Right-Back,2006-2007,SV Werder Bremen,
20,Retired,"Nov 18, 1986",right,"1,75m",28805,,"Jul 1, 2004",€750k,Philip Ifil,"['England', 'St. Lucia']",Tottenham-Hotspur,Right-Back,2006-2007,Tottenham Hotspur U18,
26,Retired,"Dec 14, 1980",right,"1,80m",13389,,"Jul 1, 2006",€8.80m,Didier Zokora,"[""Cote d'Ivoire""]",Tottenham-Hotspur,Defensive Midfield,2006-2007,: Ablöse €12.35m,
20,Retired,"Dec 28, 1986",right,"1,88m",13465,,"Jul 1, 2005",€4.70m,Tom Huddlestone,['England'],Tottenham-Hotspur,Defensive Midfield,2006-2007,: Ablöse €4.70m,
27,Retired,"Nov 27, 1979",right,"1,75m",4741,,"Jul 1, 2005",€3.80m,Teemu Tainio,['Finland'],Tottenham-Hotspur,Defensive Midfield,2006-2007,AJ Auxerre,
24,Retired,"Feb 18, 1983",right,"1,81m",3461,,"Aug 1, 2005",€11.40m,Jermaine Jenas,['England'],Tottenham-Hotspur,Central Midfield,2006-2007,Newcastle United,
27,Retired,"Jan 6, 1980",right,"1,71m",3569,,"Aug 31, 2006",€8.30m,Steed Malbranque,"['France', 'Belgium']",Tottenham-Hotspur,Central Midfield,2006-2007,Fulham FC,
30,Retired,"Mar 18, 1977",right,"1,77m",3221,,"Jan 31, 2006",€4.10m,Danny Murphy,['England'],Tottenham-Hotspur,Central Midfield,2006-2007,Charlton Athletic,
34,Retired,"Mar 13, 1973",left,"1,69m",5758,,"Jul 1, 2005",€4.00m,Edgar Davids,"['Netherlands', 'Suriname']",Tottenham-Hotspur,Central Midfield,2006-2007,: Ablöse free transfer,
25,Retired,"Dec 15, 1981",right,"1,83m",7448,,"Jan 31, 2006",€3.30m,Hossam Ghaly,['Egypt'],Tottenham-Hotspur,Central Midfield,2006-2007,: Ablöse €3.00m,
20,Retired,"Sep 25, 1986",left,"1,80m",38090,,"Jul 1, 2007",€75k,Jamie O'Hara,['England'],Tottenham-Hotspur,Central Midfield,2006-2007,Tottenham Hotspur Reserves,
20,Retired,"Jan 5, 1987",right,"1,75m",16669,,,€50k,Charlie Lee,['England'],Tottenham-Hotspur,Central Midfield,2006-2007,,
18,Al-Nasr SC (UAE),"May 24, 1989",right,"1,85m",45287,,"Jul 1, 2007",€50k,Adel Taarabt,"['Morocco', 'France']",Tottenham-Hotspur,Central Midfield,2006-2007,: Ablöse €4.00m,
22,Retired,"Jan 11, 1985",right,"1,74m",15167,,"Jul 1, 2003",€75k,Mark Yeates,['Ireland'],Tottenham-Hotspur,Left Winger,2006-2007,Tottenham Hotspur U18,
20,Retired,"Dec 16, 1986",left,"1,75m",57486,,"Jul 1, 2005",,Andy Barcham,['England'],Tottenham-Hotspur,Left Winger,2006-2007,Tottenham Hotspur U18,
20,Retired,"Apr 16, 1987",right,"1,65m",14221,,"Jul 1, 2005",€10.30m,Aaron Lennon,"['England', 'Ireland']",Tottenham-Hotspur,Right Winger,2006-2007,Leeds United,
26,Retired,"Jan 30, 1981",,,65,,"Jul 1, 2006",€17.60m,Dimitar Berbatov,['Bulgaria'],Tottenham-Hotspur,Centre-Forward,2006-2007,Bayer 04 Leverkusen,
24,Retired,"Oct 7, 1982",right,"1,71m",3875,,"Jan 6, 2009",€11.60m,Jermain Defoe,"['England', 'St. Lucia']",Tottenham-Hotspur,Centre-Forward,2006-2007,: Ablöse €16.40m,
26,Retired,"Jul 8, 1980",right,"1,75m",3144,,"Feb 2, 2009",€11.40m,Robbie Keane,['Ireland'],Tottenham-Hotspur,Centre-Forward,2006-2007,: Ablöse €16.70m,
24,Retired,"Feb 23, 1983",both,"1,88m",4329,,"Aug 29, 2006",€5.90m,Mido,['Egypt'],Tottenham-Hotspur,Centre-Forward,2006-2007,: Ablöse €6.75m,
18,Legia Warszawa,"May 26, 1989",right,"1,94m",38746,,"Jul 1, 2008",€500k,Tomas Pekhart,['Czech Republic'],Tottenham-Hotspur,Centre-Forward,2006-2007,Tottenham Hotspur Reserves,
22,Retired,"Jul 18, 1984",right,"1,78m",4058,,"Aug 1, 2002",€150k,Lee Barnard,['England'],Tottenham-Hotspur,Centre-Forward,2006-2007,Tottenham Hotspur U18,
28,Retired,"Oct 15, 1979",right,"1,93m",3630,,"Jul 1, 2004",€5.00m,Paul Robinson,['England'],Tottenham-Hotspur,Goalkeeper,2007-2008,Leeds United,
