age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
24,Retired,"Apr 3, 1983",left,"1,93m",13572,,"Jul 5, 2018",€3.00m,Ben Foster,['England'],Watford-FC,Goalkeeper,2006-2007,West Bromwich Albion,
24,Retired,"Oct 5, 1982",left,"1,83m",14040,,"Jul 1, 2002",€545k,Richard Lee,['England'],Watford-FC,Goalkeeper,2006-2007,Watford FC U18,
43,Retired,"Jun 20, 1964",,"1,88m",14000,,"Jul 10, 1996",€50k,Alec Chamberlain,['England'],Watford-FC,Goalkeeper,2006-2007,: Ablöse €60k,
19,Retired,"May 27, 1988",right,"1,85m",58647,,"Jul 1, 2006",,Scott Loach,['England'],Watford-FC,Goalkeeper,2006-2007,Watford FC U18,
26,Retired,"Sep 2, 1980",right,"1,91m",13736,,"Aug 6, 2006",€2.50m,Danny Shittu,['Nigeria'],Watford-FC,Centre-Back,2006-2007,: Ablöse €2.40m,
27,Retired,"Dec 4, 1979",right,"1,80m",15926,,"Jul 30, 2004",€1.20m,Jay DeMerit,['United States'],Watford-FC,Centre-Back,2006-2007,Northwood FC,
24,Retired,"Dec 1, 1982",right,"1,78m",14008,,"Jul 1, 2001",€695k,Lloyd Doyley,"['Jamaica', 'England']",Watford-FC,Centre-Back,2006-2007,Watford FC U18,
35,Retired,"Feb 19, 1972",right,"1,85m",11714,,"Jul 1, 2005",€545k,Malky Mackay,['Scotland'],Watford-FC,Centre-Back,2006-2007,: Ablöse free transfer,
27,Retired,"Oct 14, 1979",right,"1,85m",13717,,"Jul 1, 2005",€500k,Clarke Carlisle,['England'],Watford-FC,Centre-Back,2006-2007,Leeds United,
20,Wealdstone FC,"Oct 3, 1986",right,"1,79m",38145,,"Aug 30, 2016",€335k,Adrian Mariappa,"['Jamaica', 'England']",Watford-FC,Centre-Back,2006-2007,Crystal Palace,
20,Retired,"Sep 11, 1986",right,"1,87m",44421,,"Jan 31, 2007",,Cédric Avinel,"['Guadeloupe', 'France']",Watford-FC,Centre-Back,2006-2007,: Ablöse free transfer,
19,Retired,"Oct 9, 1987",,"1,85m",66962,,"Jul 1, 2005",,Ben Gill,['England'],Watford-FC,Centre-Back,2006-2007,Arsenal FC U18,
21,Everton FC,"Jul 9, 1985",both,"1,75m",14086,,"Jul 1, 2003",€7.10m,Ashley Young,"['England', 'Jamaica']",Watford-FC,Left-Back,2006-2007,Watford FC U18,
25,Retired,"Mar 3, 1982",left,"1,83m",9217,,"Jul 1, 2005",€620k,Jordan Stewart,['England'],Watford-FC,Left-Back,2006-2007,: Ablöse €150k,
37,Retired,"Sep 8, 1969",left,"1,78m",4100,,"Jul 1, 2006",€350k,Chris Powell,"['England', 'Jamaica']",Watford-FC,Left-Back,2006-2007,Charlton Athletic,
19,Retired,"Feb 12, 1988",right,"1,80m",37453,,"Jul 1, 2005",€75k,Junior Osborne,['England'],Watford-FC,Left-Back,2006-2007,Watford FC U18,
26,Retired,"Nov 20, 1980",right,"1,78m",3676,,"Aug 1, 2004",€695k,James Chambers,['England'],Watford-FC,Right-Back,2006-2007,: Ablöse €375k,
19,Retired,"Nov 15, 1987",,,282470,,"Jul 1, 2006",,Sheku Kamara,['England'],Watford-FC,Right-Back,2006-2007,Charlton Athletic U18,
20,Retired,"Jun 9, 1987",right,"1,88m",37010,,"Jul 1, 2005",€75k,Toumani Diagouraga,"['France', 'Mali']",Watford-FC,Defensive Midfield,2006-2007,Paris Saint-Germain U19,
28,Retired,"Feb 27, 1979",right,"1,83m",11671,,"Jul 1, 2006",€2.30m,Damien Francis,"['Jamaica', 'England']",Watford-FC,Central Midfield,2006-2007,Wigan Athletic,
25,Retired,"Dec 16, 1981",right,"1,86m",9997,,"Jan 31, 2007",€1.00m,Gareth Williams,['Scotland'],Watford-FC,Central Midfield,2006-2007,: Ablöse €1.25m,
30,Retired,"Jan 2, 1977",right,"1,82m",13798,,"Mar 4, 2002",€630k,Gavin Mahon,['England'],Watford-FC,Central Midfield,2006-2007,: Ablöse €225k,
19,Retired,"Jan 24, 1988",right,"1,75m",36791,,"Jul 1, 2004",€480k,Al Bangura,['Sierra Leone'],Watford-FC,Central Midfield,2006-2007,Freetown United FC,
27,Retired,"Nov 17, 1979",right,"1,83m",18873,,"Aug 19, 2005",€300k,Matthew Spring,['England'],Watford-FC,Central Midfield,2006-2007,Leeds United,
27,Retired,"Aug 29, 1979",both,"1,83m",48644,,"Aug 1, 2007",€300k,Douglas Rinaldi,['Brazil'],Watford-FC,Central Midfield,2006-2007,Veranópolis EC,
23,Retired,"Sep 2, 1983",right,"1,88m",15914,,"Jul 1, 2004",€50k,Dominic Blizzard,['England'],Watford-FC,Central Midfield,2006-2007,Watford FC U18,
17,Retired,"Jul 26, 1989",right,"1,82m",67320,,,,Jordan Parkes,['England'],Watford-FC,Central Midfield,2006-2007,,
25,Retired,"Jun 7, 1982",right,"1,78m",46902,,"Jan 5, 2007",,Lee Williamson,"['Jamaica', 'England']",Watford-FC,Central Midfield,2006-2007,Rotherham United,
22,Retired,"Jul 13, 1984",right,"1,68m",14049,,"Jan 1, 2002",€560k,Anthony McNamee,['England'],Watford-FC,Right Midfield,2006-2007,Watford FC U18,
18,Retired,"Oct 11, 1988",,"1,80m",63471,,"Jul 1, 2007",,Alex Campana,['England'],Watford-FC,Right Midfield,2006-2007,Watford FC U18,
22,Retired,"Oct 23, 1984",left,"1,80m",14030,,"Jul 1, 2006",€100k,Albert Jarrett,"['Sierra Leone', 'England']",Watford-FC,Left Midfield,2006-2007,: Ablöse free transfer,
25,Retired,"Sep 12, 1981",left,"1,70m",44687,,"Jan 31, 2007",,Johan Cavalli,['France'],Watford-FC,Attacking Midfield,2006-2007,: Ablöse free transfer,
19,Retired,"Jun 2, 1988",left,"1,83m",40325,,"Jul 1, 2006",€100k,Stephane Seanla,"[""Cote d'Ivoire""]",Watford-FC,Left Winger,2006-2007,Tottenham Hotspur U18,
22,Retired,"Feb 22, 1985",left,"1,78m",36793,,"Jul 1, 2003",€840k,Hamer Bouazza,"['Algeria', 'France']",Watford-FC,Right Winger,2006-2007,Watford FC U18,
19,Retired,"Aug 26, 1987",,"1,75m",37012,,"Jul 1, 2005",€75k,Joel Grant,"['Jamaica', 'England']",Watford-FC,Right Winger,2006-2007,Watford FC U18,
27,Retired,"Apr 26, 1980",right,"1,85m",14037,,"Jul 1, 2005",€2.50m,Marlon King,"['Jamaica', 'England']",Watford-FC,Centre-Forward,2006-2007,: Ablöse €650k,
20,FC Göstling/Ybbs,"Sep 27, 1986",right,"1,89m",43716,,"Jul 1, 2006",€1.50m,Tamás Priskin,['Hungary'],Watford-FC,Centre-Forward,2006-2007,: Ablöse €1.50m,
25,Retired,"Sep 7, 1981",,"1,85m",15919,,"Jul 1, 2005",€1.25m,Darius Henderson,['England'],Watford-FC,Centre-Forward,2006-2007,Gillingham FC,
21,Without Club,"May 6, 1986",right,"1,78m",15928,,"Jan 1, 2007",€890k,Will Hoskins,['England'],Watford-FC,Centre-Forward,2006-2007,Rotherham United,
27,Retired,"May 22, 1980",right,"1,78m",12401,,"Aug 20, 2006",€870k,Tommy Smith,['England'],Watford-FC,Centre-Forward,2006-2007,: Ablöse €725k,
26,Retired,"Mar 7, 1981",right,"1,78m",13522,,"Jan 26, 2007",€750k,Steve Kabba,"['England', 'Sierra Leone']",Watford-FC,Centre-Forward,2006-2007,Sheffield United,
20,Retired,"Jun 27, 1987",right,"1,78m",3997,,"Jan 1, 2007",€140k,Moses Ashikodi,"['Antigua and Barbuda', 'England']",Watford-FC,Centre-Forward,2006-2007,: Ablöse €100k,
18,Bromsgrove Sporting,"Jan 22, 1989",right,"1,75m",39514,,"Jul 1, 2006",€50k,Theo Robinson,"['Jamaica', 'England']",Watford-FC,Centre-Forward,2006-2007,Watford FC U18,
29,Retired,"Feb 1, 1987",right,"2,03m",47659,,"Jan 19, 2016",€4.50m,Costel Pantilimon,['Romania'],Watford-FC,Goalkeeper,2015-2016,Sunderland AFC,
28,Retired,"Dec 1, 1987",left,"1,91m",69001,,"Jul 1, 2015",€1.50m,Giedrius Arlauskis,['Lithuania'],Watford-FC,Goalkeeper,2015-2016,Steaua Bucharest,
35,Retired,"Feb 15, 1981",right,"1,91m",19059,,"Jul 1, 2014",€1.00m,Heurelho Gomes,['Brazil'],Watford-FC,Goalkeeper,2015-2016,Tottenham Hotspur,
29,Retired,"May 31, 1987",,"1,97m",66518,,"Aug 25, 2014",€250k,Rene Gilmartin,['Ireland'],Watford-FC,Goalkeeper,2015-2016,St. Patrick's Athletic,
21,Ashton United,"Sep 23, 1994",left,"1,90m",223790,,"Dec 23, 2015",,Luke Simpson,['England'],Watford-FC,Goalkeeper,2015-2016,Without Club,
21,Manchester City,"Feb 18, 1995",left,"1,80m",177476,,"Aug 14, 2015",€4.50m,Nathan Aké,"['Netherlands', ""Cote d'Ivoire""]",Watford-FC,Centre-Back,2015-2016,Chelsea FC,
29,Retired,"Jun 21, 1987",right,"1,94m",37981,,"Jul 1, 2015",€4.00m,Sebastian Prödl,['Austria'],Watford-FC,Centre-Back,2015-2016,SV Werder Bremen,
27,Retired,"Feb 6, 1989",right,"1,89m",59606,,"Jul 1, 2014",€4.00m,Craig Cathcart,['Northern Ireland'],Watford-FC,Centre-Back,2015-2016,Blackpool FC,
30,Retired,"Jul 17, 1985",left,"1,89m",76799,,"Jul 22, 2015",€3.50m,Miguel Britos,['Uruguay'],Watford-FC,Centre-Back,2015-2016,: Ablöse free transfer,
27,AC Perugia Calcio,"Apr 28, 1989",right,"1,93m",86793,,"Jul 19, 2013",€2.00m,Gabriele Angella,['Italy'],Watford-FC,Centre-Back,2015-2016,Udinese Calcio,
27,Retired,"Jan 1, 1989",left,"1,90m",162395,,"Jul 1, 2014",€1.50m,Essaïd Belkalem,['Algeria'],Watford-FC,Centre-Back,2015-2016,Granada CF,
27,Retired,"Feb 4, 1989",right,"1,88m",69912,,"Jul 24, 2013",€1.00m,Joel Ekstrand,['Sweden'],Watford-FC,Centre-Back,2015-2016,Udinese Calcio,
22,Hornchurch FC,"Jan 24, 1994",right,"1,88m",183161,,"Jul 1, 2012",€1.00m,Tommie Hoban,"['Ireland', 'England']",Watford-FC,Centre-Back,2015-2016,Watford FC U18,
32,Retired,"Jun 27, 1984",left,"1,84m",41112,,"Jul 2, 2015",€2.00m,Jose Cholevas,"['Greece', 'Germany']",Watford-FC,Left-Back,2015-2016,: Ablöse €2.50m,
30,Hallam FC,"Sep 27, 1985",left,"1,84m",35583,,"Jul 19, 2013",€1.50m,Daniel Pudil,['Czech Republic'],Watford-FC,Left-Back,2015-2016,: Ablöse free transfer,
28,Retired,"Jun 25, 1988",right,"1,80m",58576,,"Jan 9, 2015",€7.00m,Miguel Layún,"['Mexico', 'Spain']",Watford-FC,Right-Back,2015-2016,Granada CF,
28,Getafe CF,"May 10, 1988",right,"1,89m",111508,,"Jul 14, 2015",€4.00m,Allan Nyom,"['Cameroon', 'France']",Watford-FC,Right-Back,2015-2016,Udinese Calcio,
27,Without Club,"Jul 11, 1988",right,"1,89m",63494,,"Jul 6, 2015",€9.00m,Étienne Capoue,"['France', 'Guadeloupe']",Watford-FC,Defensive Midfield,2015-2016,Tottenham Hotspur,
29,Retired,"Feb 24, 1987",right,"1,89m",37337,,"Jan 30, 2016",€8.00m,Mario Suárez,['Spain'],Watford-FC,Defensive Midfield,2015-2016,: Ablöse €5.30m,
31,Retired,"Apr 19, 1985",right,"1,84m",21905,,"Jul 11, 2015",€2.50m,Valon Behrami,"['Switzerland', 'Kosovo']",Watford-FC,Defensive Midfield,2015-2016,: Ablöse €3.50m,
28,Cumbayá FC,"Jul 8, 1987",right,"1,78m",100507,,"Jul 16, 2014",€2.00m,Juan Carlos Paredes,['Ecuador'],Watford-FC,Defensive Midfield,2015-2016,Granada CF,
30,Retired,"Nov 12, 1985",right,"1,78m",74768,,"Sep 1, 2015",€1.00m,Adlène Guédioura,"['Algeria', 'France']",Watford-FC,Defensive Midfield,2015-2016,Crystal Palace,
29,Retired,"Oct 21, 1986",right,"1,81m",9966,,"Jul 19, 2013",€3.50m,Almen Abdi,"['Switzerland', 'Kosovo']",Watford-FC,Central Midfield,2015-2016,Udinese Calcio,
30,Retired,"Jul 9, 1985",right,"1,78m",14081,,"Jan 23, 2015",€1.50m,Ben Watson,['England'],Watford-FC,Central Midfield,2015-2016,Wigan Athletic,
22,Cork City FC,"Oct 11, 1993",right,"1,76m",148907,,"Jan 1, 2012",€750k,Sean Murray,"['Ireland', 'England']",Watford-FC,Central Midfield,2015-2016,Watford FC U18,
23,Barnet FC,"Feb 18, 1993",right,"1,81m",177771,,"Jul 1, 2012",€250k,Connor Smith,['Ireland'],Watford-FC,Central Midfield,2015-2016,Watford FC U18,
