age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
23,Manchester City,"Sep 3, 1985",right,"1,88m",14555,"Jul 18, 2008",€4.80m,Scott Carson,['England'],West-Bromwich-Albion,Goalkeeper,2008-2009,: Ablöse €4.00m,
38,Retired,"Oct 10, 1970",left,"1,85m",3748,"Feb 1, 2007",€600k,Dean Kiely,"['Ireland', 'England']",West-Bromwich-Albion,Goalkeeper,2008-2009,: Ablöse free transfer,
17,Birmingham City,"Jun 17, 1992",right,"1,89m",111073,,€50k,Ryan Allsop,['England'],West-Bromwich-Albion,Goalkeeper,2008-2009,,
22,Retired,"Dec 30, 1986",right,"1,78m",27304,"Jul 1, 2008",€4.00m,Gianni Zuiverloon,"['Netherlands', 'Suriname']",West-Bromwich-Albion,Centre-Back,2008-2009,: Ablöse €4.00m,
28,Retired,"Oct 6, 1980",right,"1,85m",5315,"Aug 10, 2008",€3.20m,Abdoulaye Méïté,"[""Cote d'Ivoire"", 'France']",West-Bromwich-Albion,Centre-Back,2008-2009,: Ablöse €2.60m,
23,Retired,"Nov 30, 1985",right,"1,85m",33484,"Jul 26, 2007",€2.60m,Leon Barnett,"['England', 'Jamaica']",West-Bromwich-Albion,Centre-Back,2008-2009,: Ablöse €3.75m,
23,Retired,"Mar 30, 1986",right,"1,92m",38414,"Sep 1, 2008",€2.40m,Ryan Donk,"['Suriname', 'Netherlands']",West-Bromwich-Albion,Centre-Back,2008-2009,AZ Alkmaar,
26,Retired,"Mar 10, 1983",left,"1,93m",25248,"Aug 1, 2008",€1.90m,Jonas Olsson,['Sweden'],West-Bromwich-Albion,Centre-Back,2008-2009,NEC Nijmegen,
31,Retired,"May 2, 1978",left,"1,86m",14203,"Jul 1, 2007",€700k,Pelé,"['Cape Verde', 'Portugal']",West-Bromwich-Albion,Centre-Back,2008-2009,Southampton FC,
30,Retired,"Oct 3, 1978",left,"1,83m",3789,"Mar 1, 2000",€650k,Neil Clement,['England'],West-Bromwich-Albion,Centre-Back,2008-2009,: Ablöse €150k,
26,Retired,"Nov 29, 1982",right,"1,85m",21509,"Jul 2, 2007",€500k,Shelton Martis,"['Curacao', 'Netherlands']",West-Bromwich-Albion,Centre-Back,2008-2009,Hibernian FC,
17,Kidderminster Harriers,"Oct 26, 1991",right,"1,85m",113034,,,Paul Downing,['England'],West-Bromwich-Albion,Centre-Back,2008-2009,,
30,Retired,"Dec 14, 1978",left,"1,75m",14063,"Oct 14, 2003",€2.30m,Paul Robinson,['England'],West-Bromwich-Albion,Left-Back,2008-2009,Watford FC,
26,Retired,"Jan 26, 1983",left,"1,83m",21354,"Jul 1, 2008",€2.20m,Marek Cech,['Slovakia'],West-Bromwich-Albion,Left-Back,2008-2009,FC Porto,
30,Retired,"Oct 6, 1978",right,"1,85m",13061,"Aug 7, 2007",€1.30m,Carl Hoefkens,['Belgium'],West-Bromwich-Albion,Right-Back,2008-2009,Stoke City,
22,Without Club,"Jan 25, 1987",right,"1,77m",45272,"Jul 10, 2009",€800k,Youssouf Mulumbu,"['DR Congo', 'France']",West-Bromwich-Albion,Defensive Midfield,2008-2009,: Ablöse €200k,
24,Retired,"Dec 14, 1984",left,"1,87m",36814,"Aug 15, 2007",€5.00m,Chris Brunt,['Northern Ireland'],West-Bromwich-Albion,Central Midfield,2008-2009,: Ablöse €3.75m,
30,Retired,"Jan 2, 1979",right,"1,80m",3865,"Jul 29, 2004",€4.10m,Jonathan Greening,['England'],West-Bromwich-Albion,Central Midfield,2008-2009,: Ablöse €1.75m,
23,Retired,"May 25, 1986",right,"1,83m",27614,"Aug 7, 2007",€3.50m,James Morrison,"['Scotland', 'England']",West-Bromwich-Albion,Central Midfield,2008-2009,Middlesbrough FC,
24,Retired,"Jan 12, 1985",right,"1,75m",40372,"Aug 22, 2008",€3.30m,Borja Valero,['Spain'],West-Bromwich-Albion,Central Midfield,2008-2009,RCD Mallorca,
26,Retired,"Jul 14, 1982",right,"1,77m",27397,"Jul 1, 2008",€900k,Do-heon Kim,"['Korea, South']",West-Bromwich-Albion,Central Midfield,2008-2009,: Ablöse €720k,
22,Johnstone Burgh FC,"May 5, 1987",right,"1,77m",36608,"Jul 1, 2008",€750k,Graham Dorrans,['Scotland'],West-Bromwich-Albion,Central Midfield,2008-2009,Livingston FC,
28,Retired,"Sep 20, 1980",right,"1,76m",26946,"Jan 1, 2007",€3.20m,Robert Koren,['Slovenia'],West-Bromwich-Albion,Attacking Midfield,2008-2009,Lillestrøm SK,
17,Without Club,"Nov 2, 1991",right,"1,85m",113036,"Jul 27, 2019",,Romaine Sawyers,"['St. Kitts & Nevis', 'England']",West-Bromwich-Albion,Attacking Midfield,2008-2009,Brentford FC,
25,Retired,"Feb 18, 1984",,,8520,"Feb 1, 2009",€1.40m,Juan Carlos Menseguez,"['Argentina', 'Italy']",West-Bromwich-Albion,Right Winger,2008-2009,CA San Lorenzo de Almagro,
28,Retired,"Oct 2, 1980",right,"1,75m",5568,"Jul 1, 2007",€800k,Filipe Teixeira,"['Portugal', 'France']",West-Bromwich-Albion,Right Winger,2008-2009,Académica Coimbra,
