age,currentClub,dateOfBirth,foot,height,id,joined,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
27,Retired,"Jan 18, 1980",right,"1,91m",11680,,"Aug 16, 2006",€4.30m,Rob Green,['England'],West-Ham-United,Goalkeeper,2006-2007,: Ablöse €3.00m,
29,Retired,"Sep 30, 1977",right,"1,89m",3534,,"Jul 1, 2005",€2.40m,Roy Carroll,['Northern Ireland'],West-Ham-United,Goalkeeper,2006-2007,Manchester United,
33,Retired,"Jul 9, 1973",,"1,80m",46746,,"Jul 1, 2004",€150k,Jimmy Walker,['England'],West-Ham-United,Goalkeeper,2006-2007,: Ablöse free transfer,
28,Retired,"Apr 18, 1979",left,"1,85m",3273,,"Jan 18, 2007",€5.75m,Matthew Upson,['England'],West-Ham-United,Centre-Back,2006-2007,: Ablöse €12.60m,
22,Retired,"Feb 18, 1985",right,"1,85m",3698,,"Jul 1, 2003",€3.80m,Anton Ferdinand,"['England', 'St. Lucia']",West-Ham-United,Centre-Back,2006-2007,: Ablöse -,
29,Retired,"Mar 9, 1978",right,"1,85m",3826,,"Jan 22, 2007",€3.60m,Lucas Neill,"['Australia', 'Northern Ireland']",West-Ham-United,Centre-Back,2006-2007,Blackburn Rovers,
21,Retired,"Mar 1, 1986",right,"1,83m",24637,,"Jul 1, 2006",€1.75m,Jonathan Spector,"['United States', 'Germany']",West-Ham-United,Centre-Back,2006-2007,Manchester United,
24,Tavistock FC,"Jan 1, 1983",right,"1,93m",4221,,"Jan 1, 2007",€1.50m,Calum Davenport,['England'],West-Ham-United,Centre-Back,2006-2007,Tottenham Hotspur,
33,Retired,"Oct 23, 1973",right,"1,83m",3799,,"Jan 30, 2001",€1.40m,Christian Dailly,['Scotland'],West-Ham-United,Centre-Back,2006-2007,Blackburn Rovers,
27,Retired,"Aug 8, 1979",right,"1,78m",12709,,"Jul 5, 2005",€1.40m,Danny Gabbidon,"['Wales', 'Jamaica']",West-Ham-United,Centre-Back,2006-2007,: Ablöse €2.00m,
23,Retired,"Aug 23, 1983",right,"1,88m",12691,,"Aug 1, 2012",€500k,James Collins,['Wales'],West-Ham-United,Centre-Back,2006-2007,: Ablöse €3.20m,
26,Retired,"May 15, 1981",left,"1,78m",3296,,"Jul 5, 2005",€3.70m,Paul Konchesky,['England'],West-Ham-United,Left-Back,2006-2007,Charlton Athletic,
26,Retired,"Apr 29, 1981",left,"1,83m",3775,,"Jul 1, 2012",€1.60m,George McCartney,['Northern Ireland'],West-Ham-United,Left-Back,2006-2007,Sunderland AFC,
26,Retired,"Jun 15, 1981",right,"1,78m",35235,,"Jul 1, 2006",€1.60m,John Paintsil,['Ghana'],West-Ham-United,Right-Back,2006-2007,: Ablöse €1.50m,
24,Retired,"Feb 18, 1983",right,"1,81m",14050,,"Jul 1, 2006",€1.50m,Tyrone Mears,"['England', 'Sierra Leone']",West-Ham-United,Right-Back,2006-2007,: Ablöse €1.50m,
23,Retired,"Jun 8, 1984",right,"1,74m",19981,,"Aug 31, 2006",€11.80m,Javier Mascherano,"['Argentina', 'Italy']",West-Ham-United,Defensive Midfield,2006-2007,Sport Club Corinthians Paulista,
23,Retired,"May 14, 1984",right,"1,75m",14060,,"Jan 22, 2004",€4.30m,Nigel Reo-Coker,"['England', 'Sierra Leone']",West-Ham-United,Defensive Midfield,2006-2007,: Ablöse €750k,
28,Retired,"Mar 27, 1979",right,"1,82m",14052,,"Jul 1, 2003",€1.10m,Hayden Mullins,['England'],West-Ham-United,Defensive Midfield,2006-2007,: Ablöse free transfer,
30,Retired,"Jan 3, 1977",right,"1,75m",3877,,"Jul 1, 2006",€2.50m,Lee Bowyer,['England'],West-Ham-United,Central Midfield,2006-2007,Newcastle United,
28,Retired,"Jul 20, 1978",left,"1,75m",4139,,"Jan 1, 2007",€2.00m,Nigel Quashie,"['Scotland', 'England']",West-Ham-United,Central Midfield,2006-2007,West Bromwich Albion,
20,Retired,"May 8, 1987",right,"1,80m",31835,,"Jan 1, 2005",€800k,Mark Noble,"['England', 'Ireland']",West-Ham-United,Central Midfield,2006-2007,: Ablöse -,
