age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
26,Retired,"May 2, 1981",right,"1,98m",3219,"Oct 27, 2006",€3.00m,Chris Kirkland,['England'],Wigan-Athletic,Goalkeeper,2006-2007,: Ablöse €3.73m,
35,Retired,"Feb 29, 1972",right,"1,93m",32217,"Jul 1, 2005",€600k,Mike Pollitt,['England'],Wigan-Athletic,Goalkeeper,2006-2007,Rotherham United,
37,Retired,"Feb 8, 1970",,"1,88m",13516,"Jul 1, 2001",€575k,John Filan,['Australia'],Wigan-Athletic,Goalkeeper,2006-2007,Blackburn Rovers,
33,Retired,"Sep 13, 1973",right,"1,97m",3804,"Feb 1, 2007",€500k,Carlo Nash,['England'],Wigan-Athletic,Goalkeeper,2006-2007,: Ablöse €450k,
26,Retired,"Dec 20, 1980",right,"1,93m",6580,"Jul 1, 2006",€4.50m,Fitz Hall,['England'],Wigan-Athletic,Centre-Back,2006-2007,: Ablöse €4.50m,
37,Retired,"Apr 16, 1970",right,"1,92m",5909,"Jul 1, 2005",€1.60m,Arjan de Zeeuw,['Netherlands'],Wigan-Athletic,Centre-Back,2006-2007,: Ablöse free transfer,
25,Retired,"Apr 23, 1982",both,"1,83m",12610,"Jul 1, 2006",€1.25m,Andy Webster,['Scotland'],Wigan-Athletic,Centre-Back,2006-2007,Heart of Midlothian FC,
22,Retired,"Apr 16, 1985",right,"1,92m",29213,"Jul 1, 2007",€900k,Andreas Granqvist,['Sweden'],Wigan-Athletic,Centre-Back,2006-2007,Helsingborgs IF,
29,Retired,"May 14, 1978",right,"1,85m",11360,"Jul 1, 2001",€900k,Lee McCulloch,['Scotland'],Wigan-Athletic,Centre-Back,2006-2007,Motherwell FC,
35,Retired,"Oct 19, 1971",right,"1,85m",13519,"Oct 1, 2001",€400k,Matt Jackson,['England'],Wigan-Athletic,Centre-Back,2006-2007,: Ablöse free transfer,
22,Retired,"Dec 11, 1984",left,"1,70m",13507,"Jul 1, 2002",€4.00m,Leighton Baines,['England'],Wigan-Athletic,Left-Back,2006-2007,Wigan Athletic U18,
33,Retired,"Oct 16, 1973",left,"1,87m",3272,"Jan 1, 2007",€2.50m,David Unsworth,['England'],Wigan-Athletic,Left-Back,2006-2007,Sheffield United,
