age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
23,Without Club,"Jan 24, 1987",right,"1,98m",45494,"Jul 1, 2006",€2.00m,Wayne Hennessey,['Wales'],Wolverhampton-Wanderers,Goalkeeper,2009-2010,Wolverhampton Wanderers U18,
38,Retired,"Jun 15, 1972",right,"1,87m",4140,"Jul 1, 2009",€1.75m,Marcus Hahnemann,"['United States', 'Germany']",Wolverhampton-Wanderers,Goalkeeper,2009-2010,Reading FC,
24,Retired,"Jun 8, 1986",right,"1,88m",26412,"Jul 1, 2004",€750k,Carl Ikeme,"['Nigeria', 'England']",Wolverhampton-Wanderers,Goalkeeper,2009-2010,Wolverhampton Wanderers U18,
29,Retired,"May 2, 1981",,"1,93m",4234,"Jul 1, 1998",€500k,Matt Murray,['England'],Wolverhampton-Wanderers,Goalkeeper,2009-2010,Wolverhampton Wanderers U18,
25,Retired,"Jan 31, 1985",left,"1,90m",36602,"Feb 2, 2009",€4.50m,Christophe Berra,"['Scotland', 'France']",Wolverhampton-Wanderers,Centre-Back,2009-2010,Heart of Midlothian FC,
22,Retired,"Aug 19, 1987",right,"1,91m",34349,"Aug 31, 2016",€2.50m,Richard Stearman,"['England', 'Ireland']",Wolverhampton-Wanderers,Centre-Back,2009-2010,Fulham FC,
24,Retired,"Jan 31, 1986",left,"1,82m",42048,"Jan 31, 2008",€2.00m,George Elokobi,"['Cameroon', 'England']",Wolverhampton-Wanderers,Centre-Back,2009-2010,Colchester United,
34,Retired,"Jul 25, 1975",right,"1,83m",4129,"Jul 31, 2003",€2.00m,Jody Craddock,['England'],Wolverhampton-Wanderers,Centre-Back,2009-2010,Sunderland AFC,
25,Blyth Spartans,"Dec 8, 1984",right,"1,93m",42062,"Jul 1, 2009",€2.00m,Greg Halford,['England'],Wolverhampton-Wanderers,Centre-Back,2009-2010,Sunderland AFC,
22,Retired,"Jan 8, 1988",right,"1,84m",38100,"Aug 26, 2010",€2.00m,Michael Mancienne,"['Seychelles', 'England']",Wolverhampton-Wanderers,Centre-Back,2009-2010,Chelsea FC,
24,Retired,"Sep 20, 1985",right,"1,86m",22645,"Jul 4, 2009",€2.00m,Ronald Zubar,"['Guadeloupe', 'France']",Wolverhampton-Wanderers,Centre-Back,2009-2010,Olympique Marseille,
26,Retired,"Sep 27, 1983",left,"1,93m",11756,"Sep 1, 2008",€1.25m,Jason Shackell,['England'],Wolverhampton-Wanderers,Centre-Back,2009-2010,: Ablöse €1.40m,
26,Retired,"Sep 2, 1983",right,"1,91m",22162,"Jan 5, 2007",€1.20m,Neill Collins,['Scotland'],Wolverhampton-Wanderers,Centre-Back,2009-2010,Sunderland AFC,
31,Retired,"Sep 13, 1978",right,"1,91m",13614,"Jul 1, 2007",€800k,Darren Ward,['England'],Wolverhampton-Wanderers,Centre-Back,2009-2010,: Ablöse €275k,
24,Retired,"Aug 20, 1985",left,"1,84m",34691,"Jan 1, 2007",€1.25m,Stephen Ward,['Ireland'],Wolverhampton-Wanderers,Left-Back,2009-2010,Bohemian Football Club,
29,Retired,"Mar 26, 1981",left,"1,70m",20969,"Sep 1, 2008",€750k,Matt Hill,['England'],Wolverhampton-Wanderers,Left-Back,2009-2010,: Ablöse €600k,
22,Retired,"Oct 19, 1987",left,"1,88m",77544,"Sep 1, 2008",€250k,George Friend,['England'],Wolverhampton-Wanderers,Left-Back,2009-2010,: Ablöse €475k,
23,Without Club,"Dec 23, 1986",left,"1,88m",38076,"Jul 1, 2005",€225k,Dan Jones,['England'],Wolverhampton-Wanderers,Left-Back,2009-2010,Wolverhampton Wanderers U18,
25,Retired,"Nov 1, 1984",right,"1,83m",33491,"Jul 1, 2007",€2.00m,Kevin Foley,"['Ireland', 'England']",Wolverhampton-Wanderers,Right-Back,2009-2010,: Ablöse free transfer,
27,Retired,"Nov 26, 1982",right,"1,84m",13582,"Jul 1, 2006",€3.00m,Karl Henry,"['England', 'Jamaica']",Wolverhampton-Wanderers,Defensive Midfield,2009-2010,Stoke City,
28,Retired,"May 15, 1982",right,"1,79m",38763,"Aug 31, 2009",€2.00m,Segundo Castillo,['Ecuador'],Wolverhampton-Wanderers,Defensive Midfield,2009-2010,Red Star Belgrade,
24,Retired,"Nov 12, 1985",right,"1,78m",74768,"Jul 1, 2010",€500k,Adlène Guédioura,"['Algeria', 'France']",Wolverhampton-Wanderers,Defensive Midfield,2009-2010,R Charleroi SC,
27,Retired,"Apr 30, 1983",left,"1,88m",36123,"Jul 1, 2009",€4.50m,Nenad Milijas,['Serbia'],Wolverhampton-Wanderers,Central Midfield,2009-2010,Red Star Belgrade,
24,Retired,"Feb 3, 1986",right,"1,80m",54949,"Jan 16, 2008",€2.50m,David Edwards,"['Wales', 'England']",Wolverhampton-Wanderers,Central Midfield,2009-2010,: Ablöse €1.00m,
23,Retired,"Aug 20, 1986",left,"1,78m",29975,"Jul 1, 2009",€1.50m,Andrew Surman,"['England', 'South Africa']",Wolverhampton-Wanderers,Central Midfield,2009-2010,Southampton FC,
25,Retired,"Nov 4, 1984",left,"1,83m",24634,"Jul 1, 2008",€1.50m,David Jones,"['England', 'Wales']",Wolverhampton-Wanderers,Central Midfield,2009-2010,: Ablöse €1.50m,
24,Without Club,"Jan 24, 1986",right,"1,73m",25366,"Jan 1, 2007",€2.75m,Michael Kightly,['England'],Wolverhampton-Wanderers,Left Winger,2009-2010,Grays Athletic FC,
24,Retired,"May 22, 1986",,"1,73m",15921,"Jul 1, 2007",€2.50m,Matt Jarvis,['England'],Wolverhampton-Wanderers,Left Winger,2009-2010,Gillingham FC,
20,FC Ganshoren,"Aug 12, 1989",right,"1,80m",45455,"Jan 21, 2010",€1.50m,Geoffrey Mujangi Bia,"['Belgium', 'DR Congo']",Wolverhampton-Wanderers,Right Winger,2009-2010,R Charleroi SC,
18,Derby County,"Apr 15, 1992",right,"1,78m",125409,,,Nathaniel Méndez-Laing,"['Guatemala', 'England']",Wolverhampton-Wanderers,Right Winger,2009-2010,,
26,Retired,"Sep 18, 1983",right,"1,80m",35193,"Jul 1, 2009",€5.00m,Kevin Doyle,['Ireland'],Wolverhampton-Wanderers,Centre-Forward,2009-2010,Reading FC,
24,Retired,"Mar 29, 1986",right,"1,73m",27621,"Jan 11, 2008",€3.00m,Sylvan Ebanks-Blake,"['England', 'Jamaica']",Wolverhampton-Wanderers,Centre-Forward,2009-2010,Plymouth Argyle,
31,Retired,"Aug 1, 1978",,,2999,"Jul 1, 2008",€2.00m,Chris Iwelumo,"['Scotland', 'Nigeria']",Wolverhampton-Wanderers,Centre-Forward,2009-2010,Charlton Athletic,
24,Dianella White Eagles SC,"May 16, 1986",right,"1,83m",29419,"Feb 1, 2007",€1.50m,Andy Keogh,"['Ireland', 'Australia']",Wolverhampton-Wanderers,Centre-Forward,2009-2010,Scunthorpe United,
27,Retired,"Aug 16, 1982",right,"2,02m",32660,"Aug 31, 2009",€1.25m,Stefan Maierhofer,['Austria'],Wolverhampton-Wanderers,Centre-Forward,2009-2010,Rapid Vienna,
20,Wycombe Wanderers,"Oct 21, 1989",right,"1,86m",48078,"Jul 1, 2008",€750k,Sam Vokes,"['Wales', 'England']",Wolverhampton-Wanderers,Centre-Forward,2009-2010,: Ablöse €300k,
17,Worcester Raiders,"Dec 2, 1992",right,"1,83m",124562,,,James Spray,['England'],Wolverhampton-Wanderers,Centre-Forward,2009-2010,,
24,Without Club,"Jan 24, 1987",right,"1,98m",45494,"Jul 1, 2006",€2.00m,Wayne Hennessey,['Wales'],Wolverhampton-Wanderers,Goalkeeper,2010-2011,Wolverhampton Wanderers U18,
39,Retired,"Jun 15, 1972",right,"1,87m",4140,"Jul 1, 2009",€1.00m,Marcus Hahnemann,"['United States', 'Germany']",Wolverhampton-Wanderers,Goalkeeper,2010-2011,Reading FC,
25,Retired,"Jun 8, 1986",right,"1,88m",26412,"Jul 1, 2004",€750k,Carl Ikeme,"['Nigeria', 'England']",Wolverhampton-Wanderers,Goalkeeper,2010-2011,Wolverhampton Wanderers U18,
36,Retired,"Apr 18, 1975",right,"1,85m",48083,"Jan 31, 2011",,Adriano Basso,"['Brazil', 'Italy']",Wolverhampton-Wanderers,Goalkeeper,2010-2011,CR Flamengo,
26,Retired,"Jan 31, 1985",left,"1,90m",36602,"Feb 2, 2009",€4.50m,Christophe Berra,"['Scotland', 'France']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Heart of Midlothian FC,
27,Retired,"Oct 10, 1983",,,4323,"Jul 1, 2010",€4.00m,Jelle Van Damme,['Belgium'],Wolverhampton-Wanderers,Centre-Back,2010-2011,: Ablöse €3.25m,
23,Retired,"Jan 8, 1988",right,"1,84m",38100,"Aug 26, 2010",€3.50m,Michael Mancienne,"['Seychelles', 'England']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Chelsea FC,
23,Retired,"Aug 19, 1987",right,"1,91m",34349,"Aug 31, 2016",€3.00m,Richard Stearman,"['England', 'Ireland']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Fulham FC,
25,Retired,"Jan 31, 1986",left,"1,82m",42048,"Jan 31, 2008",€2.50m,George Elokobi,"['Cameroon', 'England']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Colchester United,
25,Retired,"Sep 20, 1985",right,"1,86m",22645,"Jul 4, 2009",€2.50m,Ronald Zubar,"['Guadeloupe', 'France']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Olympique Marseille,
26,Blyth Spartans,"Dec 8, 1984",right,"1,93m",42062,"Jul 1, 2009",€2.00m,Greg Halford,['England'],Wolverhampton-Wanderers,Centre-Back,2010-2011,Sunderland AFC,
35,Retired,"Jul 25, 1975",right,"1,83m",4129,"Jul 31, 2003",€1.50m,Jody Craddock,['England'],Wolverhampton-Wanderers,Centre-Back,2010-2011,Sunderland AFC,
24,Retired,"Jan 24, 1987",right,"1,90m",58188,"Jul 1, 2010",€1.50m,Steven Mouyokolo,"['France', 'Congo']",Wolverhampton-Wanderers,Centre-Back,2010-2011,: Ablöse €3.00m,
20,Blackburn Rovers,"Sep 21, 1990",right,"1,91m",129049,"Jul 1, 2012",€100k,Danny Batth,"['England', 'India']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Wolverhampton Wanderers U21,
18,Rochdale AFC,"Dec 16, 1992",right,"1,88m",129067,"Jul 1, 2010",,Ethan Ebanks-Landell,"['England', 'Jamaica']",Wolverhampton-Wanderers,Centre-Back,2010-2011,Wolverhampton Wanderers U18,
19,Evergreen FC Kilkenny,"Jul 3, 1991",right,"1,83m",134450,"Jul 1, 2010",,John Dunleavy,['Ireland'],Wolverhampton-Wanderers,Centre-Back,2010-2011,Wolverhampton Wanderers U18,
25,Retired,"Aug 20, 1985",left,"1,84m",34691,"Jan 1, 2007",€2.50m,Stephen Ward,['Ireland'],Wolverhampton-Wanderers,Left-Back,2010-2011,Bohemian Football Club,
20,Without Club,"Mar 25, 1991",left,"1,89m",101682,"Jul 1, 2008",€100k,Scott Malone,['England'],Wolverhampton-Wanderers,Left-Back,2010-2011,Wolverhampton Wanderers U18,
26,Retired,"Nov 1, 1984",right,"1,83m",33491,"Jul 1, 2007",€3.00m,Kevin Foley,"['Ireland', 'England']",Wolverhampton-Wanderers,Right-Back,2010-2011,: Ablöse free transfer,
19,Wolverhampton Wanderers,"Jan 16, 1992",right,"1,85m",171679,"Jul 20, 2023",,Matt Doherty,['Ireland'],Wolverhampton-Wanderers,Right-Back,2010-2011,: Ablöse free transfer,
28,Retired,"Nov 26, 1982",right,"1,84m",13582,"Jul 1, 2006",€3.50m,Karl Henry,"['England', 'Jamaica']",Wolverhampton-Wanderers,Defensive Midfield,2010-2011,Stoke City,
25,Retired,"Nov 12, 1985",right,"1,78m",74768,"Jul 1, 2010",€1.50m,Adlène Guédioura,"['Algeria', 'France']",Wolverhampton-Wanderers,Defensive Midfield,2010-2011,R Charleroi SC,
24,Retired,"Sep 25, 1986",left,"1,80m",38090,"Jul 1, 2011",€4.50m,Jamie O'Hara,['England'],Wolverhampton-Wanderers,Central Midfield,2010-2011,Tottenham Hotspur,
28,Retired,"Apr 30, 1983",left,"1,88m",36123,"Jul 1, 2009",€4.00m,Nenad Milijas,['Serbia'],Wolverhampton-Wanderers,Central Midfield,2010-2011,Red Star Belgrade,
25,Retired,"Feb 3, 1986",right,"1,80m",54949,"Jan 16, 2008",€2.50m,David Edwards,"['Wales', 'England']",Wolverhampton-Wanderers,Central Midfield,2010-2011,: Ablöse €1.00m,
26,Retired,"Nov 4, 1984",left,"1,83m",24634,"Jul 1, 2008",€2.50m,David Jones,"['England', 'Wales']",Wolverhampton-Wanderers,Central Midfield,2010-2011,: Ablöse €1.50m,
