team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Arsenal,19.0,8.0,63.0,59.0,3.0,638.0,226.0,19.0,10.0,10.0,3.0,53.0,10.0,7.0,111.0,12.0,35.0,6.0,73.0,214.0,998.0,1.0,1202.0,,1.0,3.0,3.0,18458.0,,2045.0,,873.0,278.0,25592.0,,1.0,,0.0,88.0,27.0,2006-2007
Arsenal,24.0,3.0,74.0,55.0,3.0,627.0,208.0,13.0,14.0,5.0,1.0,65.0,9.0,7.0,110.0,15.0,31.0,0.0,91.0,505.0,878.0,1.0,1840.0,926.0,2.0,4.0,3.0,18831.0,92.0,1946.0,,888.0,234.0,28156.0,,2.0,776.0,1.0,45.0,26.0,2007-2008
Arsenal,20.0,6.0,68.0,58.0,3.0,662.0,220.0,22.0,14.0,5.0,0.0,62.0,6.0,7.0,88.0,16.0,37.0,,87.0,872.0,875.0,6.0,1280.0,738.0,3.0,5.0,3.0,18991.0,225.0,2044.0,,1069.0,267.0,29877.0,,9.0,692.0,2.0,65.0,26.0,2008-2009
Arsenal,23.0,9.0,83.0,56.0,1.0,660.0,233.0,15.0,11.0,3.0,2.0,65.0,18.0,9.0,93.0,14.0,41.0,3.0,89.0,839.0,818.0,26.0,1091.0,640.0,2.0,7.0,5.0,19291.0,334.0,1837.0,,1023.0,257.0,29807.0,,3.0,713.0,2.0,75.0,24.0,2009-2010
Arsenal,19.0,8.0,72.0,65.0,6.0,654.0,238.0,23.0,9.0,4.0,1.0,67.0,5.0,3.0,93.0,13.0,43.0,0.0,94.0,709.0,772.0,3.0,1077.0,580.0,1.0,9.0,6.0,20150.0,373.0,1462.0,2278.0,928.0,252.0,28629.0,88.0,4.0,601.0,2.0,56.0,25.0,2010-2011
Arsenal,21.0,10.0,74.0,64.0,4.0,637.0,236.0,15.0,9.0,2.0,2.0,64.0,10.0,9.0,88.0,13.0,49.0,0.0,93.0,605.0,751.0,25.0,766.0,411.0,5.0,4.0,3.0,20599.0,294.0,1665.0,2754.0,896.0,262.0,28338.0,74.0,3.0,587.0,1.0,52.0,27.0,2011-2012
Arsenal,21.0,7.0,72.0,42.0,5.0,597.0,205.0,16.0,11.0,5.0,2.0,65.0,7.0,7.0,80.0,14.0,37.0,0.0,94.0,636.0,748.0,19.0,873.0,492.0,0.0,6.0,4.0,21110.0,226.0,1755.0,3079.0,951.0,260.0,28862.0,50.0,5.0,411.0,1.0,31.0,20.0,2012-2013
Arsenal,24.0,7.0,68.0,53.0,4.0,523.0,213.0,15.0,12.0,3.0,0.0,63.0,5.0,4.0,74.0,17.0,41.0,116.0,101.0,541.0,714.0,14.0,1207.0,703.0,2.0,6.0,5.0,21561.0,144.0,1799.0,3211.0,753.0,210.0,29825.0,50.0,3.0,367.0,1.0,70.0,27.0,2013-2014
Arsenal,22.0,7.0,71.0,68.0,2.0,610.0,227.0,13.0,10.0,6.0,3.0,62.0,9.0,2.0,64.0,13.0,36.0,96.0,106.0,762.0,739.0,3.0,1006.0,565.0,1.0,3.0,3.0,20527.0,202.0,1749.0,2793.0,866.0,254.0,29045.0,51.0,2.0,476.0,0.0,76.0,13.0,2014-2015
Arsenal,20.0,7.0,65.0,40.0,4.0,571.0,211.0,21.0,13.0,1.0,1.0,61.0,4.0,3.0,86.0,18.0,36.0,118.0,128.0,734.0,709.0,4.0,849.0,418.0,3.0,1.0,1.0,21249.0,168.0,1859.0,2946.0,754.0,227.0,29337.0,69.0,3.0,511.0,0.0,45.0,20.0,2015-2016
Arsenal,23.0,9.0,77.0,68.0,3.0,566.0,201.0,17.0,17.0,4.0,2.0,70.0,7.0,2.0,95.0,13.0,44.0,124.0,95.0,536.0,673.0,5.0,838.0,484.0,1.0,10.0,10.0,21394.0,129.0,1979.0,2835.0,697.0,227.0,28931.0,41.0,1.0,465.0,0.0,36.0,10.0,2016-2017
Arsenal,19.0,13.0,74.0,57.0,2.0,594.0,234.0,17.0,13.0,4.0,1.0,68.0,7.0,0.0,89.0,13.0,51.0,100.0,104.0,427.0,623.0,5.0,829.0,449.0,0.0,6.0,5.0,23524.0,117.0,1994.0,3089.0,572.0,225.0,30635.0,57.0,5.0,412.0,1.0,39.0,24.0,2017-2018
