team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Aston Villa,11.0,10.0,43.0,48.0,1.0,470.0,154.0,9.0,5.0,6.0,1.0,34.0,9.0,6.0,147.0,13.0,41.0,1.0,115.0,221.0,936.0,0.0,1212.0,,1.0,4.0,3.0,13254.0,,2152.0,,886.0,213.0,20002.0,,5.0,,0.0,57.0,26.0,2006-2007
Aston Villa,16.0,10.0,71.0,54.0,4.0,511.0,182.0,11.0,16.0,6.0,5.0,55.0,16.0,3.0,115.0,9.0,51.0,3.0,139.0,461.0,885.0,0.0,2220.0,1183.0,3.0,4.0,2.0,11438.0,30.0,1982.0,,932.0,229.0,20734.0,,6.0,655.0,2.0,40.0,14.0,2007-2008
Aston Villa,17.0,10.0,54.0,54.0,2.0,472.0,159.0,15.0,10.0,4.0,2.0,44.0,10.0,10.0,85.0,13.0,48.0,,146.0,710.0,982.0,11.0,1764.0,1088.0,0.0,6.0,6.0,12419.0,81.0,2208.0,,1119.0,257.0,23020.0,,4.0,536.0,0.0,32.0,26.0,2008-2009
Aston Villa,17.0,8.0,52.0,59.0,2.0,497.0,158.0,5.0,12.0,5.0,0.0,44.0,8.0,4.0,81.0,15.0,39.0,0.0,225.0,690.0,880.0,6.0,1531.0,877.0,3.0,6.0,6.0,13127.0,70.0,2055.0,,1031.0,236.0,23210.0,,10.0,520.0,0.0,39.0,39.0,2009-2010
Aston Villa,12.0,14.0,48.0,71.0,2.0,506.0,165.0,19.0,13.0,4.0,2.0,42.0,6.0,4.0,92.0,7.0,59.0,0.0,183.0,667.0,844.0,16.0,1116.0,621.0,1.0,4.0,4.0,14611.0,123.0,1970.0,1901.0,973.0,230.0,22681.0,57.0,7.0,350.0,0.0,30.0,25.0,2010-2011
Aston Villa,7.0,14.0,37.0,70.0,2.0,438.0,138.0,9.0,3.0,3.0,0.0,29.0,8.0,1.0,85.0,9.0,53.0,0.0,176.0,740.0,774.0,4.0,1301.0,682.0,2.0,7.0,6.0,13158.0,62.0,1980.0,2013.0,834.0,218.0,21017.0,39.0,8.0,300.0,0.0,41.0,15.0,2011-2012
Aston Villa,10.0,17.0,47.0,72.0,3.0,438.0,141.0,10.0,7.0,3.0,1.0,35.0,12.0,6.0,97.0,5.0,69.0,2.0,177.0,769.0,741.0,9.0,1520.0,733.0,5.0,8.0,7.0,14247.0,58.0,1900.0,2236.0,676.0,177.0,22314.0,33.0,9.0,505.0,1.0,101.0,25.0,2012-2013
Aston Villa,10.0,20.0,39.0,78.0,0.0,431.0,135.0,11.0,10.0,2.0,3.0,33.0,6.0,4.0,84.0,9.0,61.0,110.0,126.0,460.0,747.0,4.0,1068.0,487.0,4.0,6.0,5.0,13856.0,30.0,2298.0,2231.0,749.0,163.0,21453.0,27.0,3.0,359.0,1.0,102.0,15.0,2013-2014
Aston Villa,10.0,20.0,31.0,70.0,7.0,418.0,125.0,5.0,7.0,1.0,1.0,28.0,3.0,2.0,70.0,10.0,57.0,112.0,135.0,487.0,623.0,6.0,1130.0,661.0,1.0,4.0,4.0,16527.0,14.0,2740.0,2575.0,766.0,171.0,23785.0,26.0,2.0,413.0,0.0,77.0,18.0,2014-2015
Aston Villa,3.0,27.0,27.0,75.0,3.0,380.0,110.0,7.0,6.0,2.0,0.0,21.0,6.0,1.0,42.0,6.0,76.0,116.0,111.0,768.0,731.0,2.0,973.0,499.0,4.0,5.0,3.0,15308.0,12.0,2507.0,2269.0,796.0,167.0,23234.0,20.0,5.0,338.0,1.0,66.0,28.0,2015-2016
