team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Chelsea,24.0,3.0,64.0,62.0,4.0,636.0,216.0,14.0,16.0,3.0,6.0,41.0,23.0,6.0,127.0,22.0,24.0,4.0,74.0,292.0,982.0,0.0,1206.0,,1.0,3.0,2.0,16759.0,,2270.0,,897.0,231.0,24010.0,,2.0,,1.0,74.0,22.0,2006-2007
Chelsea,25.0,3.0,65.0,63.0,5.0,605.0,199.0,12.0,10.0,7.0,1.0,52.0,13.0,3.0,128.0,21.0,26.0,4.0,101.0,506.0,917.0,4.0,1687.0,851.0,0.0,3.0,3.0,17252.0,91.0,2154.0,,945.0,253.0,26290.0,,8.0,687.0,0.0,62.0,19.0,2007-2008
Chelsea,25.0,5.0,68.0,50.0,3.0,797.0,248.0,17.0,12.0,2.0,2.0,59.0,9.0,4.0,114.0,22.0,24.0,,124.0,504.0,773.0,15.0,1069.0,585.0,1.0,1.0,0.0,19923.0,205.0,2121.0,,938.0,237.0,29962.0,,3.0,518.0,1.0,111.0,35.0,2008-2009
Chelsea,27.0,6.0,103.0,54.0,5.0,834.0,288.0,13.0,16.0,11.0,3.0,94.0,9.0,8.0,96.0,18.0,32.0,0.0,103.0,705.0,772.0,10.0,1055.0,560.0,1.0,5.0,4.0,18852.0,268.0,2071.0,,1083.0,286.0,28914.0,,3.0,503.0,1.0,87.0,30.0,2009-2010
Chelsea,21.0,9.0,69.0,59.0,1.0,745.0,244.0,21.0,12.0,6.0,2.0,61.0,8.0,4.0,113.0,15.0,33.0,0.0,127.0,616.0,769.0,19.0,762.0,470.0,1.0,3.0,2.0,19236.0,252.0,2044.0,2465.0,995.0,257.0,27426.0,70.0,7.0,573.0,1.0,84.0,22.0,2010-2011
Chelsea,18.0,10.0,65.0,74.0,4.0,671.0,224.0,20.0,12.0,4.0,0.0,60.0,5.0,2.0,70.0,10.0,46.0,1.0,111.0,637.0,698.0,5.0,881.0,477.0,1.0,6.0,4.0,18766.0,158.0,2021.0,2886.0,972.0,253.0,26276.0,37.0,10.0,571.0,0.0,70.0,17.0,2011-2012
Chelsea,22.0,7.0,75.0,51.0,3.0,626.0,212.0,7.0,16.0,9.0,3.0,64.0,11.0,3.0,80.0,14.0,39.0,6.0,104.0,504.0,710.0,4.0,981.0,603.0,2.0,1.0,0.0,18425.0,52.0,2008.0,2790.0,863.0,240.0,25959.0,45.0,1.0,434.0,0.0,53.0,29.0,2012-2013
Chelsea,25.0,6.0,71.0,57.0,3.0,692.0,229.0,19.0,6.0,5.0,2.0,54.0,17.0,5.0,106.0,18.0,27.0,96.0,95.0,380.0,733.0,4.0,1141.0,741.0,2.0,1.0,1.0,18266.0,53.0,2052.0,2800.0,809.0,248.0,26541.0,44.0,2.0,392.0,0.0,42.0,16.0,2013-2014
Chelsea,26.0,3.0,73.0,73.0,4.0,564.0,210.0,15.0,10.0,4.0,1.0,66.0,7.0,1.0,75.0,17.0,32.0,90.0,102.0,376.0,759.0,2.0,1027.0,611.0,1.0,3.0,3.0,20268.0,73.0,2276.0,3259.0,682.0,226.0,27861.0,40.0,2.0,476.0,0.0,73.0,13.0,2014-2015
Chelsea,12.0,12.0,59.0,58.0,5.0,526.0,173.0,4.0,6.0,4.0,4.0,48.0,11.0,1.0,90.0,9.0,53.0,122.0,136.0,518.0,790.0,2.0,790.0,398.0,2.0,4.0,3.0,19664.0,74.0,2312.0,2933.0,732.0,240.0,27362.0,33.0,4.0,413.0,1.0,54.0,27.0,2015-2016
Chelsea,30.0,5.0,85.0,72.0,0.0,580.0,204.0,17.0,8.0,2.0,3.0,73.0,12.0,7.0,64.0,16.0,33.0,69.0,78.0,510.0,652.0,0.0,839.0,500.0,1.0,2.0,2.0,20125.0,103.0,2399.0,2967.0,688.0,218.0,27658.0,32.0,3.0,436.0,0.0,38.0,18.0,2016-2017
Chelsea,21.0,10.0,62.0,42.0,4.0,606.0,220.0,11.0,17.0,3.0,2.0,52.0,10.0,1.0,108.0,16.0,38.0,83.0,107.0,423.0,636.0,1.0,768.0,419.0,2.0,2.0,2.0,21264.0,70.0,2140.0,3019.0,755.0,230.0,28728.0,48.0,3.0,415.0,0.0,27.0,12.0,2017-2018
