team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Everton,15.0,10.0,52.0,65.0,2.0,465.0,153.0,9.0,9.0,8.0,2.0,44.0,8.0,3.0,81.0,14.0,36.0,5.0,120.0,303.0,860.0,1.0,1386.0,,3.0,4.0,2.0,12274.0,,2288.0,,867.0,208.0,19250.0,,2.0,,1.0,83.0,15.0,2006-2007
Everton,19.0,11.0,55.0,40.0,3.0,474.0,169.0,4.0,13.0,1.0,1.0,48.0,7.0,7.0,73.0,14.0,33.0,0.0,133.0,496.0,816.0,2.0,2136.0,1006.0,1.0,4.0,4.0,12397.0,28.0,2142.0,,877.0,198.0,21360.0,,8.0,620.0,0.0,55.0,20.0,2007-2008
Everton,17.0,9.0,55.0,49.0,1.0,496.0,169.0,12.0,14.0,4.0,4.0,47.0,8.0,0.0,99.0,17.0,37.0,,146.0,660.0,775.0,12.0,1602.0,854.0,2.0,3.0,3.0,15024.0,102.0,2299.0,,1022.0,191.0,25205.0,,4.0,584.0,0.0,74.0,25.0,2008-2009
Everton,16.0,9.0,60.0,57.0,2.0,589.0,194.0,12.0,16.0,5.0,2.0,52.0,8.0,2.0,94.0,11.0,49.0,0.0,137.0,827.0,768.0,19.0,1601.0,880.0,3.0,2.0,0.0,14832.0,115.0,2335.0,,1022.0,230.0,24914.0,,4.0,600.0,2.0,52.0,17.0,2009-2010
Everton,13.0,10.0,51.0,55.0,5.0,580.0,181.0,8.0,14.0,3.0,2.0,43.0,8.0,4.0,78.0,9.0,45.0,0.0,149.0,470.0,768.0,12.0,1265.0,652.0,2.0,2.0,2.0,14371.0,72.0,2232.0,2089.0,1019.0,245.0,22628.0,47.0,2.0,525.0,0.0,51.0,30.0,2010-2011
Everton,15.0,12.0,50.0,60.0,2.0,520.0,164.0,12.0,9.0,5.0,1.0,42.0,8.0,1.0,116.0,12.0,40.0,2.0,145.0,617.0,624.0,6.0,1130.0,555.0,3.0,4.0,1.0,15063.0,67.0,2048.0,2108.0,877.0,180.0,22706.0,43.0,2.0,487.0,2.0,57.0,25.0,2011-2012
Everton,16.0,7.0,55.0,59.0,3.0,633.0,207.0,21.0,13.0,2.0,1.0,44.0,11.0,4.0,100.0,11.0,40.0,4.0,126.0,592.0,720.0,7.0,1172.0,677.0,2.0,2.0,2.0,15829.0,54.0,2055.0,2271.0,989.0,257.0,23854.0,67.0,8.0,449.0,0.0,61.0,28.0,2012-2013
Everton,21.0,8.0,61.0,55.0,1.0,561.0,196.0,14.0,6.0,3.0,5.0,49.0,12.0,3.0,80.0,15.0,39.0,117.0,130.0,463.0,744.0,9.0,1103.0,672.0,4.0,6.0,3.0,18301.0,49.0,2239.0,2871.0,848.0,251.0,26857.0,28.0,2.0,471.0,2.0,59.0,14.0,2013-2014
Everton,12.0,15.0,48.0,66.0,2.0,483.0,166.0,11.0,10.0,4.0,1.0,40.0,8.0,5.0,83.0,10.0,50.0,80.0,167.0,444.0,657.0,8.0,1280.0,737.0,2.0,4.0,4.0,18809.0,64.0,2563.0,2908.0,690.0,194.0,26729.0,32.0,3.0,461.0,0.0,71.0,24.0,2014-2015
Everton,11.0,13.0,59.0,44.0,5.0,491.0,175.0,18.0,10.0,4.0,0.0,53.0,6.0,2.0,55.0,10.0,55.0,127.0,160.0,511.0,730.0,3.0,994.0,489.0,1.0,6.0,5.0,17947.0,57.0,2742.0,2699.0,782.0,218.0,25741.0,49.0,4.0,453.0,0.0,53.0,14.0,2015-2016
Everton,17.0,11.0,62.0,72.0,2.0,502.0,191.0,12.0,13.0,3.0,2.0,59.0,3.0,2.0,82.0,13.0,44.0,96.0,149.0,461.0,712.0,6.0,1118.0,628.0,1.0,6.0,3.0,17586.0,38.0,2968.0,2744.0,767.0,196.0,25309.0,28.0,9.0,469.0,2.0,56.0,19.0,2016-2017
Everton,13.0,15.0,44.0,51.0,3.0,359.0,121.0,7.0,8.0,5.0,0.0,36.0,8.0,2.0,82.0,10.0,58.0,121.0,160.0,514.0,644.0,0.0,1229.0,617.0,1.0,5.0,3.0,14749.0,25.0,2726.0,2212.0,629.0,150.0,22298.0,36.0,6.0,381.0,1.0,28.0,23.0,2017-2018
