team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Liverpool,20.0,10.0,57.0,44.0,0.0,668.0,214.0,15.0,8.0,6.0,1.0,46.0,11.0,3.0,120.0,20.0,27.0,1.0,65.0,246.0,969.0,2.0,1115.0,,0.0,1.0,1.0,17154.0,,2800.0,,1107.0,282.0,24150.0,,1.0,,0.0,51.0,27.0,2006-2007
Liverpool,21.0,4.0,67.0,45.0,1.0,686.0,214.0,13.0,7.0,5.0,2.0,51.0,16.0,7.0,93.0,18.0,28.0,0.0,83.0,614.0,1089.0,2.0,1952.0,1060.0,2.0,5.0,4.0,16360.0,57.0,2761.0,,932.0,237.0,25857.0,,4.0,613.0,1.0,42.0,22.0,2007-2008
Liverpool,25.0,2.0,77.0,50.0,0.0,736.0,224.0,26.0,14.0,5.0,2.0,65.0,12.0,4.0,98.0,20.0,27.0,,66.0,657.0,927.0,5.0,1279.0,722.0,3.0,2.0,2.0,19505.0,192.0,2714.0,,1021.0,269.0,29875.0,,0.0,470.0,0.0,61.0,19.0,2008-2009
Liverpool,18.0,11.0,61.0,55.0,5.0,642.0,189.0,20.0,6.0,3.0,0.0,53.0,8.0,4.0,62.0,17.0,35.0,0.0,81.0,763.0,958.0,6.0,1094.0,603.0,2.0,4.0,3.0,18575.0,142.0,2454.0,,1017.0,268.0,28704.0,,1.0,489.0,1.0,52.0,28.0,2009-2010
Liverpool,17.0,14.0,59.0,63.0,2.0,582.0,205.0,12.0,8.0,6.0,1.0,54.0,5.0,3.0,87.0,14.0,44.0,0.0,128.0,592.0,908.0,2.0,1073.0,563.0,3.0,8.0,7.0,16728.0,148.0,2038.0,2500.0,824.0,212.0,24941.0,43.0,6.0,493.0,0.0,74.0,26.0,2010-2011
Liverpool,14.0,14.0,47.0,53.0,5.0,667.0,207.0,33.0,8.0,1.0,2.0,40.0,7.0,3.0,128.0,12.0,40.0,0.0,108.0,505.0,728.0,5.0,720.0,365.0,3.0,5.0,4.0,18797.0,105.0,2260.0,2991.0,1103.0,309.0,26450.0,66.0,2.0,440.0,1.0,22.0,19.0,2011-2012
Liverpool,16.0,9.0,71.0,54.0,2.0,739.0,232.0,19.0,9.0,5.0,3.0,59.0,12.0,1.0,110.0,16.0,43.0,0.0,107.0,526.0,795.0,2.0,914.0,448.0,1.0,5.0,4.0,19802.0,101.0,2040.0,3004.0,794.0,284.0,27722.0,61.0,3.0,529.0,1.0,38.0,23.0,2012-2013
Liverpool,26.0,6.0,101.0,54.0,1.0,651.0,258.0,27.0,14.0,10.0,6.0,82.0,19.0,9.0,78.0,10.0,50.0,107.0,127.0,465.0,848.0,3.0,1339.0,750.0,6.0,4.0,3.0,19599.0,191.0,1895.0,2959.0,643.0,224.0,28172.0,64.0,5.0,427.0,1.0,36.0,29.0,2013-2014
Liverpool,18.0,12.0,52.0,66.0,3.0,590.0,192.0,12.0,5.0,5.0,1.0,44.0,8.0,2.0,75.0,14.0,48.0,93.0,105.0,442.0,798.0,9.0,1175.0,628.0,2.0,3.0,1.0,19374.0,103.0,2151.0,2787.0,638.0,198.0,27353.0,34.0,3.0,468.0,2.0,38.0,41.0,2014-2015
Liverpool,16.0,10.0,63.0,61.0,3.0,629.0,202.0,16.0,12.0,2.0,1.0,48.0,15.0,1.0,91.0,11.0,50.0,81.0,108.0,549.0,871.0,4.0,871.0,407.0,1.0,3.0,2.0,19733.0,75.0,2370.0,2842.0,780.0,265.0,27890.0,36.0,2.0,560.0,1.0,41.0,18.0,2015-2016
Liverpool,22.0,6.0,78.0,54.0,0.0,640.0,236.0,18.0,12.0,7.0,3.0,65.0,13.0,3.0,77.0,12.0,42.0,73.0,65.0,410.0,719.0,2.0,877.0,451.0,0.0,5.0,3.0,22290.0,57.0,2565.0,3291.0,812.0,249.0,30071.0,35.0,0.0,472.0,2.0,36.0,26.0,2016-2017
Liverpool,21.0,5.0,84.0,44.0,1.0,638.0,233.0,16.0,12.0,2.0,2.0,75.0,9.0,9.0,70.0,17.0,38.0,67.0,71.0,379.0,637.0,4.0,736.0,362.0,0.0,6.0,4.0,22962.0,106.0,2370.0,3313.0,764.0,230.0,30324.0,61.0,2.0,447.0,2.0,25.0,20.0,2017-2018
