team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Manchester City,11.0,18.0,29.0,59.0,4.0,454.0,147.0,5.0,3.0,2.0,0.0,23.0,6.0,5.0,142.0,14.0,44.0,0.0,110.0,234.0,986.0,1.0,1213.0,,2.0,3.0,2.0,12765.0,,2059.0,,811.0,198.0,19378.0,,4.0,,1.0,64.0,17.0,2006-2007
Manchester City,15.0,13.0,45.0,50.0,4.0,423.0,143.0,5.0,5.0,2.0,2.0,34.0,11.0,3.0,103.0,11.0,53.0,4.0,151.0,482.0,916.0,3.0,1852.0,819.0,2.0,4.0,2.0,15149.0,45.0,2289.0,,695.0,156.0,23416.0,,7.0,559.0,2.0,45.0,43.0,2007-2008
Manchester City,15.0,18.0,58.0,49.0,4.0,572.0,201.0,11.0,3.0,6.0,2.0,52.0,6.0,8.0,79.0,10.0,50.0,,124.0,740.0,939.0,18.0,1496.0,828.0,2.0,4.0,3.0,15971.0,187.0,2229.0,,690.0,210.0,26120.0,,7.0,578.0,1.0,54.0,34.0,2008-2009
Manchester City,18.0,7.0,73.0,49.0,2.0,526.0,195.0,9.0,9.0,5.0,3.0,63.0,10.0,10.0,120.0,11.0,45.0,0.0,120.0,805.0,802.0,18.0,1269.0,689.0,1.0,7.0,5.0,16323.0,203.0,2335.0,,809.0,237.0,26446.0,,4.0,509.0,2.0,45.0,21.0,2009-2010
Manchester City,21.0,9.0,60.0,71.0,5.0,546.0,177.0,16.0,4.0,8.0,2.0,51.0,9.0,2.0,103.0,18.0,33.0,2.0,130.0,629.0,826.0,4.0,1206.0,680.0,0.0,4.0,3.0,17768.0,170.0,1721.0,2469.0,762.0,222.0,25892.0,51.0,2.0,520.0,1.0,66.0,27.0,2010-2011
Manchester City,28.0,5.0,93.0,51.0,5.0,738.0,250.0,21.0,10.0,7.0,1.0,73.0,20.0,6.0,85.0,17.0,29.0,1.0,111.0,631.0,694.0,6.0,930.0,525.0,2.0,3.0,2.0,20863.0,321.0,1734.0,2937.0,843.0,269.0,28620.0,65.0,6.0,480.0,1.0,39.0,21.0,2011-2012
Manchester City,23.0,6.0,66.0,62.0,3.0,660.0,231.0,16.0,6.0,4.0,2.0,57.0,9.0,6.0,75.0,18.0,34.0,1.0,111.0,492.0,683.0,3.0,1068.0,551.0,2.0,2.0,1.0,20061.0,161.0,1613.0,2720.0,860.0,269.0,27525.0,86.0,6.0,515.0,1.0,28.0,23.0,2012-2013
Manchester City,27.0,6.0,102.0,72.0,1.0,673.0,238.0,19.0,10.0,6.0,5.0,86.0,16.0,5.0,59.0,16.0,37.0,88.0,61.0,496.0,756.0,8.0,938.0,531.0,2.0,1.0,1.0,20761.0,120.0,1791.0,3195.0,892.0,283.0,28341.0,59.0,0.0,411.0,0.0,64.0,31.0,2013-2014
Manchester City,24.0,7.0,83.0,77.0,2.0,670.0,229.0,18.0,5.0,7.0,3.0,68.0,15.0,9.0,78.0,14.0,38.0,93.0,98.0,569.0,751.0,1.0,872.0,498.0,3.0,4.0,3.0,22107.0,115.0,1937.0,3140.0,795.0,277.0,29652.0,42.0,1.0,546.0,1.0,52.0,31.0,2014-2015
Manchester City,19.0,10.0,71.0,61.0,0.0,615.0,210.0,15.0,13.0,5.0,0.0,57.0,14.0,5.0,63.0,16.0,41.0,86.0,66.0,630.0,729.0,3.0,940.0,513.0,1.0,1.0,1.0,20488.0,84.0,2082.0,2895.0,866.0,257.0,28396.0,50.0,2.0,556.0,0.0,38.0,41.0,2015-2016
Manchester City,23.0,6.0,80.0,71.0,4.0,633.0,216.0,20.0,8.0,7.0,2.0,73.0,7.0,6.0,89.0,12.0,39.0,64.0,66.0,504.0,643.0,0.0,905.0,544.0,1.0,5.0,2.0,22706.0,124.0,1997.0,3534.0,801.0,280.0,30363.0,48.0,4.0,465.0,2.0,26.0,20.0,2016-2017
Manchester City,32.0,2.0,106.0,59.0,2.0,665.0,265.0,23.0,12.0,6.0,1.0,93.0,13.0,4.0,67.0,18.0,27.0,62.0,53.0,346.0,563.0,3.0,588.0,308.0,2.0,2.0,0.0,28241.0,118.0,1775.0,4546.0,691.0,284.0,35130.0,63.0,4.0,406.0,2.0,21.0,15.0,2017-2018
