team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Manchester United,28.0,5.0,83.0,60.0,1.0,698.0,256.0,21.0,12.0,5.0,1.0,72.0,11.0,9.0,80.0,16.0,27.0,2.0,81.0,254.0,890.0,1.0,1222.0,,1.0,5.0,3.0,18723.0,,2397.0,,918.0,258.0,25686.0,,1.0,,2.0,37.0,25.0,2006-2007
Manchester United,27.0,5.0,80.0,51.0,2.0,696.0,260.0,16.0,12.0,6.0,6.0,64.0,16.0,7.0,100.0,21.0,22.0,2.0,96.0,446.0,978.0,2.0,2022.0,1140.0,0.0,1.0,1.0,17422.0,90.0,2417.0,,936.0,261.0,26620.0,,10.0,627.0,0.0,47.0,23.0,2007-2008
Manchester United,28.0,4.0,68.0,61.0,5.0,715.0,230.0,9.0,7.0,4.0,4.0,56.0,12.0,12.0,99.0,24.0,24.0,,120.0,640.0,741.0,8.0,1322.0,716.0,1.0,3.0,3.0,19416.0,291.0,2192.0,,1039.0,257.0,30077.0,,3.0,579.0,0.0,56.0,22.0,2008-2009
Manchester United,27.0,7.0,86.0,49.0,4.0,695.0,221.0,12.0,14.0,6.0,3.0,77.0,9.0,6.0,85.0,19.0,28.0,0.0,100.0,602.0,828.0,13.0,983.0,584.0,0.0,2.0,2.0,19318.0,243.0,2205.0,,1156.0,297.0,28968.0,,2.0,622.0,0.0,65.0,18.0,2009-2010
Manchester United,23.0,4.0,78.0,56.0,3.0,618.0,212.0,15.0,18.0,3.0,1.0,71.0,7.0,5.0,102.0,15.0,37.0,0.0,107.0,646.0,693.0,17.0,1053.0,634.0,1.0,6.0,5.0,18870.0,212.0,2279.0,2411.0,1005.0,243.0,26671.0,50.0,2.0,471.0,0.0,45.0,16.0,2010-2011
Manchester United,28.0,5.0,89.0,51.0,1.0,646.0,243.0,17.0,16.0,9.0,2.0,74.0,15.0,2.0,89.0,20.0,33.0,0.0,138.0,574.0,803.0,6.0,1165.0,749.0,2.0,3.0,2.0,20184.0,103.0,2189.0,2765.0,1018.0,279.0,28113.0,64.0,3.0,521.0,1.0,37.0,26.0,2011-2012
Manchester United,28.0,5.0,86.0,57.0,1.0,561.0,213.0,24.0,14.0,4.0,1.0,77.0,9.0,2.0,96.0,13.0,43.0,1.0,143.0,514.0,731.0,4.0,1319.0,848.0,4.0,0.0,0.0,19696.0,103.0,1973.0,2727.0,962.0,218.0,27264.0,65.0,5.0,506.0,0.0,38.0,28.0,2012-2013
Manchester United,19.0,12.0,64.0,66.0,3.0,526.0,183.0,16.0,10.0,5.0,5.0,53.0,11.0,1.0,97.0,13.0,43.0,103.0,108.0,595.0,676.0,4.0,1382.0,856.0,1.0,4.0,3.0,18894.0,61.0,2077.0,2898.0,1000.0,216.0,27367.0,38.0,1.0,491.0,0.0,32.0,14.0,2013-2014
Manchester United,20.0,8.0,62.0,64.0,5.0,512.0,180.0,11.0,12.0,3.0,2.0,55.0,7.0,2.0,87.0,11.0,37.0,100.0,96.0,679.0,739.0,4.0,1118.0,638.0,1.0,4.0,3.0,21311.0,89.0,2969.0,3457.0,908.0,214.0,29044.0,43.0,5.0,393.0,1.0,33.0,7.0,2014-2015
Manchester United,19.0,10.0,49.0,65.0,1.0,430.0,144.0,9.0,5.0,3.0,1.0,44.0,5.0,2.0,75.0,18.0,35.0,90.0,96.0,594.0,760.0,4.0,755.0,373.0,2.0,2.0,2.0,20070.0,43.0,2649.0,3221.0,786.0,228.0,27542.0,28.0,4.0,522.0,0.0,29.0,13.0,2015-2016
Manchester United,18.0,5.0,54.0,78.0,2.0,591.0,210.0,19.0,9.0,3.0,1.0,47.0,7.0,5.0,99.0,17.0,29.0,85.0,99.0,584.0,690.0,4.0,1112.0,580.0,1.0,5.0,4.0,20245.0,99.0,2424.0,3177.0,848.0,217.0,28119.0,50.0,1.0,389.0,1.0,32.0,4.0,2016-2017
Manchester United,25.0,7.0,68.0,64.0,1.0,512.0,178.0,16.0,12.0,1.0,2.0,56.0,13.0,4.0,88.0,19.0,28.0,118.0,112.0,481.0,564.0,0.0,853.0,436.0,2.0,1.0,1.0,20064.0,85.0,2308.0,2878.0,753.0,220.0,27525.0,42.0,4.0,399.0,0.0,20.0,6.0,2017-2018
