team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Newcastle United,11.0,17.0,38.0,65.0,1.0,454.0,140.0,11.0,8.0,5.0,0.0,30.0,8.0,6.0,102.0,7.0,47.0,5.0,141.0,361.0,965.0,0.0,1004.0,,2.0,2.0,2.0,14628.0,,2649.0,,793.0,195.0,21213.0,,9.0,,0.0,48.0,26.0,2006-2007
Newcastle United,11.0,17.0,45.0,63.0,1.0,481.0,153.0,10.0,10.0,4.0,2.0,34.0,10.0,1.0,102.0,8.0,65.0,0.0,132.0,553.0,876.0,1.0,1823.0,874.0,1.0,2.0,2.0,13947.0,31.0,2420.0,,966.0,209.0,22761.0,,8.0,717.0,0.0,35.0,20.0,2007-2008
Newcastle United,7.0,18.0,40.0,57.0,8.0,444.0,125.0,12.0,10.0,4.0,0.0,38.0,2.0,2.0,73.0,7.0,59.0,,142.0,591.0,735.0,22.0,1278.0,693.0,2.0,9.0,8.0,14172.0,148.0,2300.0,,895.0,165.0,24327.0,,5.0,659.0,1.0,40.0,24.0,2008-2009
Newcastle United,11.0,14.0,56.0,78.0,2.0,507.0,168.0,10.0,15.0,5.0,0.0,50.0,6.0,1.0,82.0,9.0,57.0,0.0,134.0,608.0,666.0,11.0,1025.0,598.0,2.0,6.0,5.0,14194.0,95.0,2104.0,2041.0,1022.0,202.0,22108.0,62.0,7.0,527.0,0.0,56.0,26.0,2010-2011
Newcastle United,19.0,11.0,56.0,67.0,2.0,489.0,154.0,19.0,6.0,2.0,3.0,44.0,12.0,4.0,97.0,15.0,51.0,1.0,143.0,621.0,744.0,8.0,987.0,475.0,0.0,9.0,7.0,14638.0,97.0,2130.0,2384.0,730.0,171.0,22210.0,27.0,12.0,592.0,2.0,59.0,23.0,2011-2012
Newcastle United,11.0,19.0,45.0,71.0,4.0,533.0,174.0,12.0,6.0,4.0,3.0,34.0,11.0,2.0,84.0,6.0,68.0,0.0,115.0,478.0,732.0,9.0,1584.0,741.0,1.0,4.0,4.0,14599.0,84.0,2285.0,2364.0,941.0,203.0,23005.0,44.0,5.0,506.0,0.0,74.0,38.0,2012-2013
Newcastle United,15.0,19.0,43.0,53.0,6.0,579.0,182.0,14.0,8.0,2.0,1.0,35.0,8.0,3.0,78.0,10.0,59.0,108.0,101.0,601.0,736.0,15.0,1110.0,596.0,1.0,5.0,5.0,16087.0,131.0,1810.0,2424.0,787.0,190.0,24484.0,45.0,4.0,453.0,0.0,51.0,21.0,2013-2014
Newcastle United,10.0,19.0,40.0,65.0,7.0,468.0,143.0,6.0,7.0,1.0,0.0,34.0,6.0,1.0,38.0,8.0,63.0,98.0,100.0,639.0,824.0,6.0,1020.0,569.0,1.0,4.0,4.0,15019.0,57.0,2378.0,2320.0,864.0,222.0,23375.0,34.0,3.0,466.0,0.0,53.0,21.0,2014-2015
Newcastle United,9.0,19.0,44.0,60.0,5.0,397.0,151.0,6.0,12.0,3.0,1.0,38.0,6.0,4.0,59.0,8.0,65.0,115.0,155.0,646.0,793.0,4.0,939.0,486.0,2.0,5.0,4.0,15118.0,28.0,2578.0,2357.0,775.0,161.0,22993.0,26.0,2.0,435.0,1.0,70.0,31.0,2015-2016
Newcastle United,12.0,18.0,39.0,52.0,2.0,451.0,149.0,12.0,7.0,0.0,1.0,34.0,5.0,5.0,63.0,9.0,47.0,105.0,117.0,441.0,644.0,6.0,1125.0,594.0,3.0,6.0,4.0,14028.0,67.0,2610.0,2018.0,616.0,167.0,21506.0,33.0,7.0,410.0,2.0,40.0,18.0,2017-2018
