team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Stoke City,12.0,17.0,38.0,73.0,5.0,364.0,100.0,11.0,14.0,5.0,0.0,35.0,3.0,1.0,65.0,12.0,55.0,,169.0,574.0,688.0,11.0,1555.0,926.0,2.0,3.0,2.0,9478.0,66.0,2171.0,,697.0,174.0,18693.0,,7.0,438.0,0.0,85.0,41.0,2008-2009
Stoke City,11.0,13.0,34.0,63.0,5.0,402.0,113.0,5.0,9.0,2.0,0.0,32.0,2.0,1.0,86.0,14.0,48.0,4.0,184.0,738.0,724.0,8.0,1632.0,1010.0,1.0,6.0,3.0,10307.0,61.0,2176.0,,661.0,181.0,19825.0,,3.0,383.0,3.0,117.0,17.0,2009-2010
Stoke City,13.0,18.0,46.0,68.0,2.0,482.0,143.0,20.0,11.0,3.0,2.0,42.0,4.0,4.0,74.0,9.0,48.0,0.0,156.0,532.0,716.0,13.0,1316.0,791.0,2.0,5.0,3.0,10349.0,58.0,2062.0,1382.0,766.0,191.0,18195.0,39.0,5.0,449.0,2.0,64.0,20.0,2010-2011
Stoke City,11.0,15.0,36.0,60.0,2.0,376.0,94.0,7.0,14.0,4.0,0.0,33.0,3.0,1.0,62.0,9.0,53.0,11.0,157.0,461.0,655.0,4.0,1910.0,959.0,3.0,7.0,7.0,10831.0,23.0,2194.0,1699.0,826.0,166.0,18936.0,33.0,4.0,460.0,0.0,68.0,23.0,2011-2012
Stoke City,9.0,14.0,34.0,78.0,4.0,390.0,114.0,12.0,9.0,3.0,0.0,33.0,1.0,1.0,72.0,12.0,45.0,9.0,159.0,499.0,728.0,5.0,1161.0,567.0,4.0,6.0,6.0,12287.0,32.0,1989.0,1838.0,855.0,165.0,19830.0,35.0,3.0,397.0,0.0,91.0,6.0,2012-2013
Stoke City,13.0,14.0,45.0,72.0,5.0,428.0,137.0,14.0,2.0,4.0,2.0,31.0,14.0,3.0,81.0,9.0,52.0,127.0,153.0,474.0,791.0,5.0,1090.0,604.0,1.0,7.0,5.0,15324.0,40.0,1970.0,2453.0,731.0,164.0,23324.0,36.0,2.0,469.0,2.0,84.0,17.0,2013-2014
Stoke City,15.0,14.0,48.0,82.0,1.0,500.0,136.0,9.0,14.0,3.0,0.0,41.0,7.0,1.0,75.0,9.0,45.0,96.0,134.0,496.0,729.0,8.0,1159.0,694.0,0.0,5.0,5.0,15386.0,12.0,2429.0,2317.0,887.0,195.0,23427.0,32.0,3.0,428.0,0.0,68.0,12.0,2014-2015
Stoke City,14.0,15.0,41.0,51.0,4.0,419.0,128.0,5.0,9.0,5.0,0.0,33.0,8.0,0.0,103.0,10.0,55.0,121.0,149.0,576.0,710.0,7.0,826.0,426.0,0.0,5.0,5.0,16342.0,60.0,2379.0,2440.0,683.0,153.0,23663.0,35.0,3.0,359.0,0.0,59.0,15.0,2015-2016
Stoke City,11.0,16.0,41.0,70.0,2.0,425.0,137.0,14.0,7.0,4.0,2.0,36.0,5.0,0.0,85.0,11.0,56.0,127.0,159.0,497.0,666.0,3.0,1009.0,505.0,5.0,3.0,1.0,14558.0,54.0,2507.0,2170.0,718.0,188.0,22087.0,41.0,5.0,415.0,1.0,40.0,23.0,2016-2017
Stoke City,7.0,19.0,35.0,62.0,1.0,384.0,132.0,8.0,8.0,0.0,1.0,28.0,8.0,2.0,87.0,6.0,68.0,152.0,142.0,461.0,678.0,9.0,1164.0,609.0,2.0,5.0,5.0,12892.0,33.0,2528.0,1979.0,598.0,136.0,20368.0,33.0,3.0,402.0,0.0,27.0,14.0,2017-2018
