team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Sunderland,11.0,21.0,36.0,65.0,4.0,483.0,137.0,7.0,10.0,1.0,0.0,31.0,5.0,2.0,75.0,7.0,59.0,0.0,125.0,650.0,892.0,0.0,2051.0,1031.0,3.0,9.0,9.0,12727.0,19.0,2244.0,,889.0,183.0,21415.0,,5.0,586.0,0.0,40.0,25.0,2007-2008
Sunderland,9.0,20.0,34.0,69.0,1.0,473.0,144.0,10.0,8.0,1.0,1.0,27.0,7.0,4.0,96.0,9.0,54.0,,173.0,609.0,888.0,6.0,1596.0,978.0,2.0,5.0,3.0,14144.0,122.0,2126.0,,985.0,172.0,24442.0,,4.0,491.0,1.0,58.0,27.0,2008-2009
Sunderland,11.0,16.0,48.0,77.0,9.0,444.0,159.0,11.0,10.0,6.0,1.0,44.0,4.0,6.0,93.0,7.0,56.0,0.0,162.0,829.0,890.0,10.0,1641.0,904.0,2.0,6.0,5.0,12489.0,136.0,2265.0,,884.0,180.0,22903.0,,7.0,534.0,0.0,54.0,30.0,2009-2010
Sunderland,12.0,15.0,45.0,57.0,5.0,532.0,154.0,10.0,7.0,4.0,1.0,40.0,5.0,2.0,98.0,13.0,56.0,0.0,134.0,694.0,820.0,17.0,1291.0,686.0,1.0,6.0,5.0,14166.0,129.0,2220.0,2072.0,863.0,181.0,22628.0,35.0,16.0,441.0,0.0,62.0,40.0,2010-2011
Sunderland,11.0,15.0,45.0,60.0,4.0,458.0,141.0,11.0,8.0,1.0,5.0,32.0,13.0,3.0,76.0,12.0,46.0,0.0,194.0,652.0,824.0,7.0,1158.0,600.0,2.0,5.0,3.0,13913.0,45.0,2135.0,2159.0,864.0,181.0,21770.0,39.0,8.0,423.0,1.0,65.0,26.0,2011-2012
Sunderland,9.0,17.0,41.0,62.0,3.0,417.0,139.0,7.0,2.0,4.0,1.0,33.0,8.0,3.0,68.0,11.0,54.0,0.0,178.0,582.0,784.0,9.0,1155.0,607.0,4.0,4.0,4.0,13109.0,52.0,1952.0,1984.0,868.0,179.0,20782.0,30.0,8.0,423.0,0.0,52.0,39.0,2012-2013
Sunderland,10.0,20.0,41.0,69.0,7.0,491.0,138.0,10.0,7.0,6.0,1.0,37.0,4.0,4.0,70.0,11.0,60.0,160.0,144.0,414.0,702.0,2.0,903.0,510.0,6.0,2.0,2.0,14457.0,41.0,2092.0,2254.0,749.0,188.0,21922.0,29.0,3.0,411.0,0.0,71.0,20.0,2013-2014
Sunderland,7.0,14.0,31.0,94.0,2.0,408.0,130.0,11.0,8.0,4.0,2.0,25.0,6.0,2.0,69.0,13.0,53.0,144.0,168.0,578.0,759.0,4.0,994.0,525.0,5.0,4.0,4.0,14451.0,40.0,2484.0,2290.0,687.0,186.0,22037.0,23.0,3.0,411.0,0.0,82.0,17.0,2014-2015
Sunderland,9.0,17.0,48.0,64.0,2.0,439.0,141.0,10.0,2.0,3.0,4.0,40.0,8.0,2.0,88.0,7.0,62.0,156.0,144.0,571.0,767.0,4.0,1277.0,616.0,1.0,8.0,7.0,12799.0,57.0,2635.0,1841.0,589.0,153.0,20339.0,29.0,7.0,376.0,0.0,64.0,19.0,2015-2016
Sunderland,6.0,26.0,29.0,78.0,4.0,387.0,119.0,4.0,1.0,5.0,0.0,26.0,3.0,0.0,78.0,6.0,69.0,176.0,171.0,543.0,630.0,0.0,1170.0,616.0,2.0,4.0,4.0,12359.0,38.0,2592.0,1880.0,616.0,159.0,19639.0,19.0,5.0,388.0,0.0,57.0,24.0,2016-2017
