team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Tottenham Hotspur,17.0,12.0,57.0,48.0,3.0,520.0,184.0,6.0,5.0,6.0,2.0,44.0,13.0,9.0,149.0,6.0,54.0,11.0,128.0,276.0,995.0,2.0,1412.0,,2.0,7.0,6.0,14914.0,,2408.0,,796.0,181.0,22200.0,,2.0,,0.0,51.0,24.0,2006-2007
Tottenham Hotspur,11.0,14.0,66.0,51.0,1.0,555.0,195.0,19.0,12.0,4.0,1.0,59.0,7.0,9.0,123.0,9.0,61.0,0.0,125.0,534.0,960.0,2.0,2043.0,1053.0,1.0,1.0,1.0,15466.0,56.0,2428.0,,994.0,238.0,24679.0,,6.0,612.0,0.0,46.0,21.0,2007-2008
Tottenham Hotspur,14.0,15.0,45.0,54.0,5.0,544.0,177.0,7.0,5.0,3.0,0.0,39.0,6.0,7.0,85.0,13.0,45.0,,122.0,743.0,781.0,7.0,1511.0,886.0,2.0,4.0,3.0,15723.0,170.0,2099.0,,1005.0,221.0,26576.0,,6.0,538.0,0.0,69.0,56.0,2008-2009
Tottenham Hotspur,21.0,10.0,67.0,58.0,1.0,681.0,226.0,13.0,12.0,2.0,2.0,59.0,8.0,6.0,117.0,13.0,41.0,4.0,129.0,804.0,844.0,10.0,1360.0,729.0,0.0,9.0,6.0,15474.0,122.0,2535.0,,912.0,241.0,25855.0,,6.0,516.0,3.0,93.0,48.0,2009-2010
Tottenham Hotspur,16.0,8.0,55.0,51.0,2.0,657.0,191.0,15.0,10.0,5.0,0.0,40.0,15.0,3.0,59.0,8.0,46.0,0.0,139.0,661.0,754.0,16.0,1363.0,800.0,1.0,6.0,4.0,16791.0,111.0,2407.0,2142.0,954.0,256.0,25438.0,51.0,6.0,560.0,2.0,68.0,50.0,2010-2011
Tottenham Hotspur,20.0,9.0,66.0,43.0,3.0,701.0,230.0,12.0,5.0,4.0,1.0,52.0,14.0,5.0,93.0,14.0,41.0,0.0,122.0,716.0,733.0,12.0,1045.0,561.0,1.0,1.0,1.0,19564.0,164.0,2323.0,2944.0,846.0,279.0,27761.0,62.0,6.0,539.0,0.0,28.0,12.0,2011-2012
Tottenham Hotspur,21.0,8.0,66.0,55.0,2.0,681.0,241.0,17.0,6.0,0.0,2.0,50.0,16.0,6.0,77.0,9.0,46.0,0.0,90.0,721.0,745.0,8.0,1595.0,870.0,1.0,3.0,3.0,16647.0,101.0,2028.0,2542.0,884.0,262.0,25155.0,41.0,6.0,466.0,0.0,44.0,30.0,2012-2013
Tottenham Hotspur,21.0,11.0,55.0,66.0,4.0,588.0,192.0,12.0,6.0,5.0,2.0,45.0,10.0,4.0,64.0,14.0,51.0,106.0,81.0,560.0,750.0,4.0,974.0,585.0,3.0,5.0,3.0,17933.0,41.0,2121.0,2596.0,849.0,230.0,26241.0,64.0,3.0,598.0,1.0,41.0,38.0,2013-2014
Tottenham Hotspur,19.0,12.0,58.0,79.0,4.0,527.0,171.0,11.0,8.0,3.0,4.0,47.0,11.0,2.0,77.0,9.0,53.0,119.0,117.0,674.0,815.0,6.0,1047.0,636.0,2.0,7.0,5.0,19322.0,69.0,2357.0,2604.0,742.0,224.0,27495.0,39.0,1.0,552.0,1.0,51.0,28.0,2014-2015
Tottenham Hotspur,19.0,6.0,69.0,72.0,0.0,659.0,252.0,19.0,7.0,5.0,2.0,59.0,10.0,3.0,72.0,13.0,35.0,89.0,140.0,645.0,805.0,1.0,1046.0,576.0,3.0,2.0,2.0,18649.0,64.0,2554.0,2708.0,738.0,254.0,27014.0,47.0,2.0,581.0,0.0,38.0,27.0,2015-2016
Tottenham Hotspur,26.0,4.0,86.0,62.0,0.0,669.0,257.0,22.0,10.0,7.0,0.0,74.0,12.0,3.0,74.0,17.0,26.0,85.0,99.0,314.0,661.0,1.0,1003.0,526.0,1.0,2.0,2.0,20150.0,45.0,2662.0,3130.0,761.0,273.0,28150.0,41.0,1.0,484.0,0.0,21.0,11.0,2016-2017
Tottenham Hotspur,23.0,7.0,74.0,50.0,2.0,623.0,216.0,13.0,11.0,2.0,1.0,64.0,11.0,8.0,88.0,16.0,36.0,93.0,74.0,380.0,618.0,3.0,825.0,422.0,1.0,3.0,2.0,21660.0,83.0,2447.0,3176.0,825.0,246.0,29412.0,50.0,1.0,460.0,0.0,20.0,21.0,2017-2018
