team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
West Ham United,12.0,21.0,35.0,85.0,2.0,461.0,134.0,8.0,3.0,1.0,2.0,27.0,8.0,3.0,92.0,9.0,59.0,4.0,132.0,233.0,860.0,1.0,1232.0,,2.0,4.0,4.0,13178.0,,2403.0,,849.0,196.0,20040.0,,5.0,,0.0,64.0,25.0,2006-2007
West Ham United,13.0,15.0,42.0,63.0,1.0,500.0,154.0,15.0,7.0,2.0,2.0,34.0,8.0,3.0,117.0,8.0,50.0,1.0,142.0,444.0,848.0,1.0,1952.0,978.0,1.0,6.0,2.0,13773.0,39.0,2376.0,,910.0,207.0,22347.0,,8.0,511.0,3.0,77.0,19.0,2007-2008
West Ham United,14.0,15.0,42.0,66.0,4.0,515.0,167.0,12.0,4.0,1.0,1.0,37.0,5.0,4.0,130.0,10.0,45.0,,190.0,606.0,896.0,13.0,1601.0,867.0,2.0,6.0,3.0,15316.0,220.0,1901.0,,720.0,189.0,25662.0,,7.0,601.0,2.0,65.0,37.0,2008-2009
West Ham United,8.0,19.0,47.0,62.0,3.0,549.0,191.0,12.0,13.0,7.0,1.0,41.0,6.0,0.0,92.0,8.0,66.0,4.0,160.0,755.0,830.0,10.0,1623.0,870.0,3.0,6.0,5.0,14616.0,164.0,2197.0,,689.0,180.0,24973.0,,8.0,522.0,1.0,72.0,35.0,2009-2010
West Ham United,7.0,19.0,43.0,59.0,1.0,572.0,174.0,18.0,9.0,5.0,0.0,38.0,5.0,1.0,120.0,5.0,70.0,0.0,184.0,583.0,783.0,13.0,1353.0,723.0,2.0,6.0,5.0,13367.0,126.0,2126.0,1903.0,814.0,181.0,21823.0,44.0,9.0,574.0,1.0,39.0,41.0,2010-2011
West Ham United,12.0,16.0,45.0,74.0,1.0,492.0,158.0,9.0,9.0,4.0,2.0,38.0,7.0,2.0,82.0,11.0,53.0,2.0,166.0,459.0,728.0,4.0,1520.0,788.0,1.0,2.0,2.0,12582.0,26.0,1910.0,2111.0,1014.0,212.0,20669.0,38.0,4.0,493.0,0.0,36.0,6.0,2012-2013
West Ham United,11.0,20.0,40.0,62.0,5.0,422.0,122.0,11.0,5.0,2.0,1.0,36.0,4.0,2.0,76.0,14.0,51.0,151.0,199.0,404.0,651.0,12.0,1401.0,820.0,1.0,6.0,6.0,12364.0,34.0,2061.0,2016.0,951.0,185.0,20511.0,33.0,8.0,371.0,0.0,54.0,9.0,2013-2014
West Ham United,12.0,15.0,44.0,64.0,2.0,488.0,152.0,13.0,15.0,1.0,1.0,35.0,9.0,1.0,91.0,9.0,47.0,133.0,165.0,505.0,647.0,7.0,1474.0,835.0,2.0,5.0,2.0,13568.0,42.0,2548.0,2180.0,968.0,241.0,21793.0,37.0,3.0,404.0,3.0,52.0,15.0,2014-2015
West Ham United,16.0,8.0,65.0,58.0,5.0,558.0,185.0,19.0,15.0,4.0,4.0,55.0,10.0,2.0,82.0,11.0,51.0,111.0,162.0,668.0,711.0,1.0,1003.0,568.0,2.0,8.0,6.0,15031.0,32.0,2568.0,2236.0,805.0,224.0,23104.0,39.0,8.0,389.0,2.0,50.0,19.0,2015-2016
West Ham United,12.0,17.0,47.0,78.0,5.0,499.0,138.0,14.0,14.0,3.0,3.0,41.0,6.0,3.0,74.0,10.0,64.0,117.0,112.0,614.0,574.0,4.0,1074.0,625.0,0.0,8.0,5.0,15127.0,37.0,2622.0,2312.0,752.0,172.0,22666.0,24.0,3.0,367.0,1.0,47.0,11.0,2016-2017
West Ham United,10.0,16.0,48.0,73.0,2.0,372.0,133.0,14.0,6.0,2.0,1.0,39.0,10.0,4.0,97.0,10.0,68.0,122.0,154.0,482.0,621.0,2.0,1007.0,560.0,1.0,7.0,5.0,14369.0,51.0,2567.0,2177.0,732.0,161.0,21928.0,29.0,4.0,390.0,1.0,19.0,19.0,2017-2018
